Jan 19, 2018  03:13:28 PM
Residual Gas Analyzer Software 
Software Version, 3.101.209

Analog Scan Setup:

Data Points in Scan, 641 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 65, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.61E-004 
Filament Current, 1.00, mAmps


  1.00,   1.00E-008, 
  1.10,   1.04E-008, 
  1.20,   5.11E-008, 
  1.30,   2.34E-007, 
  1.40,   1.76E-007, 
  1.50,   1.71E-007, 
  1.60,   2.14E-007, 
  1.70,   2.33E-007, 
  1.80,   2.39E-007, 
  1.90,   2.36E-007, 
  2.00,   2.16E-007, 
  2.10,   2.02E-007, 
  2.20,   1.81E-007, 
  2.30,   1.38E-007, 
  2.40,   8.76E-008, 
  2.50,   2.16E-008, 
  2.60,   8.49E-009, 
  2.70,   5.60E-009, 
  2.80,   4.29E-009, 
  2.90,   3.53E-009, 
  3.00,   3.07E-009, 
  3.10,   2.71E-009, 
  3.20,   2.47E-009, 
  3.30,   2.20E-009, 
  3.40,   1.97E-009, 
  3.50,   1.83E-009, 
  3.60,   1.69E-009, 
  3.70,   1.57E-009, 
  3.80,   1.41E-009, 
  3.90,   1.33E-009, 
  4.00,   1.24E-009, 
  4.10,   1.11E-009, 
  4.20,   1.02E-009, 
  4.30,   9.50E-010, 
  4.40,   9.00E-010, 
  4.50,   8.63E-010, 
  4.60,   8.01E-010, 
  4.70,   7.99E-010, 
  4.80,   7.67E-010, 
  4.90,   6.06E-010, 
  5.00,   4.34E-010, 
  5.10,   4.82E-010, 
  5.20,   4.31E-010, 
  5.30,   3.93E-010, 
  5.40,   4.40E-010, 
  5.50,   4.98E-010, 
  5.60,   5.13E-010, 
  5.70,   4.88E-010, 
  5.80,   4.38E-010, 
  5.90,   4.09E-010, 
  6.00,   4.59E-010, 
  6.10,   5.02E-010, 
  6.20,   4.40E-010, 
  6.30,   4.11E-010, 
  6.40,   3.84E-010, 
  6.50,   3.11E-010, 
  6.60,   2.76E-010, 
  6.70,   3.02E-010, 
  6.80,   3.42E-010, 
  6.90,   2.99E-010, 
  7.00,   2.82E-010, 
  7.10,   3.48E-010, 
  7.20,   2.98E-010, 
  7.30,   2.58E-010, 
  7.40,   2.68E-010, 
  7.50,   2.68E-010, 
  7.60,   2.57E-010, 
  7.70,   2.65E-010, 
  7.80,   2.56E-010, 
  7.90,   2.19E-010, 
  8.00,   2.23E-010, 
  8.10,   1.51E-010, 
  8.20,   1.26E-010, 
  8.30,   1.74E-010, 
  8.40,   1.98E-010, 
  8.50,   2.13E-010, 
  8.60,   2.11E-010, 
  8.70,   1.85E-010, 
  8.80,   1.84E-010, 
  8.90,   1.09E-010, 
  9.00,   1.05E-010, 
  9.10,   1.35E-010, 
  9.20,   1.24E-010, 
  9.30,   1.68E-010, 
  9.40,   1.34E-010, 
  9.50,   1.59E-010, 
  9.60,   1.60E-010, 
  9.70,   1.43E-010, 
  9.80,   1.95E-010, 
  9.90,   1.55E-010, 
 10.00,   1.06E-010, 
 10.10,   2.00E-010, 
 10.20,   2.32E-010, 
 10.30,   1.78E-010, 
 10.40,   1.66E-010, 
 10.50,   1.20E-010, 
 10.60,   9.44E-011, 
 10.70,   1.05E-010, 
 10.80,   1.52E-010, 
 10.90,   1.68E-010, 
 11.00,   1.65E-010, 
 11.10,   2.08E-010, 
 11.20,   1.56E-010, 
 11.30,   1.76E-010, 
 11.40,   2.81E-010, 
 11.50,   4.77E-010, 
 11.60,   1.60E-009, 
 11.70,   3.51E-009, 
 11.80,   5.22E-009, 
 11.90,   6.97E-009, 
 12.00,   8.14E-009, 
 12.10,   8.80E-009, 
 12.20,   8.45E-009, 
 12.30,   7.19E-009, 
 12.40,   4.38E-009, 
 12.50,   2.42E-009, 
 12.60,   1.63E-009, 
 12.70,   1.40E-009, 
 12.80,   1.41E-009, 
 12.90,   1.51E-009, 
 13.00,   1.55E-009, 
 13.10,   1.68E-009, 
 13.20,   1.72E-009, 
 13.30,   1.55E-009, 
 13.40,   1.20E-009, 
 13.50,   9.48E-010, 
 13.60,   1.24E-009, 
 13.70,   2.57E-009, 
 13.80,   4.09E-009, 
 13.90,   5.50E-009, 
 14.00,   6.61E-009, 
 14.10,   7.32E-009, 
 14.20,   7.26E-009, 
 14.30,   6.41E-009, 
 14.40,   4.19E-009, 
 14.50,   2.56E-009, 
 14.60,   2.06E-009, 
 14.70,   2.75E-009, 
 14.80,   3.90E-009, 
 14.90,   4.92E-009, 
 15.00,   5.75E-009, 
 15.10,   6.34E-009, 
 15.20,   6.28E-009, 
 15.30,   5.82E-009, 
 15.40,   4.25E-009, 
 15.50,   3.26E-009, 
 15.60,   4.76E-009, 
 15.70,   1.36E-008, 
 15.80,   2.49E-008, 
 15.90,   3.19E-008, 
 16.00,   3.39E-008, 
 16.10,   3.62E-008, 
 16.20,   3.20E-008, 
 16.30,   2.52E-008, 
 16.40,   1.19E-008, 
 16.50,   1.05E-008, 
 16.60,   3.50E-008, 
 16.70,   1.54E-007, 
 16.80,   2.09E-007, 
 16.90,   2.40E-007, 
 17.00,   2.38E-007, 
 17.10,   2.56E-007, 
 17.20,   2.10E-007, 
 17.30,   1.34E-007, 
 17.40,   3.07E-008, 
 17.50,   3.46E-008, 
 17.60,   1.52E-007, 
 17.70,   6.16E-007, 
 17.80,   8.58E-007, 
 17.90,   9.72E-007, 
 18.00,   9.34E-007, 
 18.10,   1.01E-006, 
 18.20,   8.51E-007, 
 18.30,   5.00E-007, 
 18.40,   3.86E-008, 
 18.50,   8.87E-009, 
 18.60,   4.29E-009, 
 18.70,   2.76E-009, 
 18.80,   2.33E-009, 
 18.90,   2.24E-009, 
 19.00,   2.16E-009, 
 19.10,   2.20E-009, 
 19.20,   2.11E-009, 
 19.30,   1.95E-009, 
 19.40,   1.31E-009, 
 19.50,   6.95E-010, 
 19.60,   2.99E-010, 
 19.70,   4.16E-010, 
 19.80,   1.01E-009, 
 19.90,   1.31E-009, 
 20.00,   1.50E-009, 
 20.10,   1.68E-009, 
 20.20,   1.70E-009, 
 20.30,   1.61E-009, 
 20.40,   1.07E-009, 
 20.50,   3.86E-010, 
 20.60,   1.78E-010, 
 20.70,   5.65E-011, 
 20.80,  -1.18E-011, 
 20.90,  -4.35E-012, 
 21.00,   6.09E-011, 
 21.10,   1.30E-011, 
 21.20,   1.93E-011, 
 21.30,   8.07E-012, 
 21.40,  -1.61E-011, 
 21.50,  -3.60E-011, 
 21.60,  -1.18E-011, 
 21.70,   8.01E-011, 
 21.80,   2.90E-010, 
 21.90,   4.45E-010, 
 22.00,   5.12E-010, 
 22.10,   5.38E-010, 
 22.20,   5.26E-010, 
 22.30,   4.71E-010, 
 22.40,   2.78E-010, 
 22.50,   1.32E-010, 
 22.60,  -1.86E-012, 
 22.70,  -3.42E-011, 
 22.80,  -2.92E-011, 
 22.90,  -7.45E-011, 
 23.00,  -7.76E-011, 
 23.10,  -8.76E-011, 
 23.20,  -4.84E-011, 
 23.30,  -5.65E-011, 
 23.40,  -6.15E-011, 
 23.50,  -1.14E-010, 
 23.60,  -8.51E-011, 
 23.70,  -4.91E-011, 
 23.80,   3.04E-011, 
 23.90,   1.08E-010, 
 24.00,   1.70E-010, 
 24.10,   1.54E-010, 
 24.20,   1.68E-010, 
 24.30,   1.71E-010, 
 24.40,   1.49E-011, 
 24.50,  -8.94E-011, 
 24.60,  -9.13E-011, 
 24.70,  -5.65E-011, 
 24.80,   1.12E-010, 
 24.90,   3.21E-010, 
 25.00,   6.73E-010, 
 25.10,   8.77E-010, 
 25.20,   8.23E-010, 
 25.30,   6.57E-010, 
 25.40,   2.52E-010, 
 25.50,   1.94E-010, 
 25.60,   1.98E-010, 
 25.70,   3.93E-010, 
 25.80,   1.29E-009, 
 25.90,   2.49E-009, 
 26.00,   3.31E-009, 
 26.10,   3.90E-009, 
 26.20,   3.93E-009, 
 26.30,   3.58E-009, 
 26.40,   2.26E-009, 
 26.50,   1.40E-009, 
 26.60,   1.04E-009, 
 26.70,   1.01E-009, 
 26.80,   1.95E-009, 
 26.90,   4.09E-009, 
 27.00,   5.80E-009, 
 27.10,   6.89E-009, 
 27.20,   6.99E-009, 
 27.30,   6.51E-009, 
 27.40,   4.48E-009, 
 27.50,   3.56E-009, 
 27.60,   4.62E-009, 
 27.70,   1.08E-008, 
 27.80,   5.88E-008, 
 27.90,   1.20E-007, 
 28.00,   1.24E-007, 
 28.10,   1.20E-007, 
 28.20,   1.07E-007, 
 28.30,   6.02E-008, 
 28.40,   1.33E-008, 
 28.50,   5.59E-009, 
 28.60,   3.26E-009, 
 28.70,   2.48E-009, 
 28.80,   3.69E-009, 
 28.90,   7.24E-009, 
 29.00,   1.04E-008, 
 29.10,   1.24E-008, 
 29.20,   1.19E-008, 
 29.30,   9.70E-009, 
 29.40,   5.16E-009, 
 29.50,   2.82E-009, 
 29.60,   1.74E-009, 
 29.70,   1.21E-009, 
 29.80,   1.44E-009, 
 29.90,   2.73E-009, 
 30.00,   3.90E-009, 
 30.10,   4.66E-009, 
 30.20,   4.80E-009, 
 30.30,   4.27E-009, 
 30.40,   2.57E-009, 
 30.50,   1.48E-009, 
 30.60,   9.48E-010, 
 30.70,   4.56E-010, 
 30.80,   3.98E-010, 
 30.90,   1.06E-009, 
 31.00,   1.43E-009, 
 31.10,   1.83E-009, 
 31.20,   1.96E-009, 
 31.30,   1.88E-009, 
 31.40,   1.22E-009, 
 31.50,   8.18E-010, 
 31.60,   7.58E-010, 
 31.70,   1.05E-009, 
 31.80,   2.62E-009, 
 31.90,   7.00E-009, 
 32.00,   1.11E-008, 
 32.10,   1.39E-008, 
 32.20,   1.39E-008, 
 32.30,   1.01E-008, 
 32.40,   4.93E-009, 
 32.50,   2.61E-009, 
 32.60,   1.50E-009, 
 32.70,   8.90E-010, 
 32.80,   4.37E-010, 
 32.90,   2.29E-010, 
 33.00,   1.80E-010, 
 33.10,   9.13E-011, 
 33.20,   4.22E-011, 
 33.30,  -3.91E-011, 
 33.40,  -9.01E-011, 
 33.50,  -7.64E-011, 
 33.60,  -3.29E-011, 
 33.70,  -4.35E-011, 
 33.80,  -6.83E-012, 
 33.90,   5.59E-012, 
 34.00,   1.30E-011, 
 34.10,   5.71E-011, 
 34.20,   1.16E-010, 
 34.30,   8.82E-011, 
 34.40,   8.76E-011, 
 34.50,   5.28E-011, 
 34.60,   1.24E-012, 
 34.70,  -1.03E-010, 
 34.80,  -1.05E-010, 
 34.90,  -1.13E-010, 
 35.00,  -1.07E-010, 
 35.10,  -8.45E-011, 
 35.20,  -1.02E-010, 
 35.30,  -7.83E-011, 
 35.40,  -1.52E-010, 
 35.50,  -1.81E-010, 
 35.60,  -1.58E-010, 
 35.70,  -9.81E-011, 
 35.80,  -2.73E-011, 
 35.90,  -4.97E-012, 
 36.00,   7.64E-011, 
 36.10,   1.35E-010, 
 36.20,   1.68E-010, 
 36.30,   1.88E-010, 
 36.40,   1.00E-010, 
 36.50,   4.53E-011, 
 36.60,   3.54E-011, 
 36.70,   2.48E-011, 
 36.80,  -5.03E-011, 
 36.90,   4.29E-011, 
 37.00,   2.01E-010, 
 37.10,   3.03E-010, 
 37.20,   3.05E-010, 
 37.30,   2.54E-010, 
 37.40,   1.47E-010, 
 37.50,   9.50E-011, 
 37.60,   7.76E-011, 
 37.70,   1.68E-011, 
 37.80,   8.94E-011, 
 37.90,   1.81E-010, 
 38.00,   3.36E-010, 
 38.10,   6.45E-010, 
 38.20,   8.85E-010, 
 38.30,   8.20E-010, 
 38.40,   3.73E-010, 
 38.50,   1.58E-010, 
 38.60,   1.65E-010, 
