Jan 19, 2018  03:07:28 PM
Residual Gas Analyzer Software 
Software Version, 3.101.209

Analog Scan Setup:

Data Points in Scan, 641 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 65, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.61E-004 
Filament Current, 1.00, mAmps


  1.00,   1.32E-008, 
  1.10,   1.31E-008, 
  1.20,   6.78E-008, 
  1.30,   3.00E-007, 
  1.40,   2.34E-007, 
  1.50,   2.20E-007, 
  1.60,   2.60E-007, 
  1.70,   2.81E-007, 
  1.80,   2.86E-007, 
  1.90,   2.85E-007, 
  2.00,   2.56E-007, 
  2.10,   2.44E-007, 
  2.20,   2.14E-007, 
  2.30,   1.66E-007, 
  2.40,   1.10E-007, 
  2.50,   2.57E-008, 
  2.60,   9.40E-009, 
  2.70,   6.16E-009, 
  2.80,   4.79E-009, 
  2.90,   4.09E-009, 
  3.00,   3.58E-009, 
  3.10,   3.26E-009, 
  3.20,   3.02E-009, 
  3.30,   2.83E-009, 
  3.40,   2.55E-009, 
  3.50,   2.30E-009, 
  3.60,   2.10E-009, 
  3.70,   1.86E-009, 
  3.80,   1.73E-009, 
  3.90,   1.63E-009, 
  4.00,   1.56E-009, 
  4.10,   1.48E-009, 
  4.20,   1.43E-009, 
  4.30,   1.30E-009, 
  4.40,   1.16E-009, 
  4.50,   1.12E-009, 
  4.60,   1.00E-009, 
  4.70,   9.40E-010, 
  4.80,   9.02E-010, 
  4.90,   8.50E-010, 
  5.00,   8.38E-010, 
  5.10,   8.60E-010, 
  5.20,   8.42E-010, 
  5.30,   8.25E-010, 
  5.40,   6.21E-010, 
  5.50,   8.34E-010, 
  5.60,   8.61E-010, 
  5.70,   6.95E-010, 
  5.80,   5.69E-010, 
  5.90,   5.51E-010, 
  6.00,   5.09E-010, 
  6.10,   5.39E-010, 
  6.20,   5.69E-010, 
  6.30,   5.53E-010, 
  6.40,   5.09E-010, 
  6.50,   4.88E-010, 
  6.60,   4.70E-010, 
  6.70,   4.55E-010, 
  6.80,   4.66E-010, 
  6.90,   4.25E-010, 
  7.00,   3.56E-010, 
  7.10,   3.01E-010, 
  7.20,   3.12E-010, 
  7.30,   3.29E-010, 
  7.40,   3.23E-010, 
  7.50,   3.23E-010, 
  7.60,   2.85E-010, 
  7.70,   3.01E-010, 
  7.80,   2.99E-010, 
  7.90,   3.40E-010, 
  8.00,   3.24E-010, 
  8.10,   3.20E-010, 
  8.20,   3.57E-010, 
  8.30,   3.16E-010, 
  8.40,   3.19E-010, 
  8.50,   3.11E-010, 
  8.60,   2.82E-010, 
  8.70,   2.83E-010, 
  8.80,   2.44E-010, 
  8.90,   3.14E-010, 
  9.00,   3.24E-010, 
  9.10,   3.05E-010, 
  9.20,   2.78E-010, 
  9.30,   2.61E-010, 
  9.40,   2.41E-010, 
  9.50,   2.63E-010, 
  9.60,   2.61E-010, 
  9.70,   2.63E-010, 
  9.80,   2.47E-010, 
  9.90,   2.33E-010, 
 10.00,   2.32E-010, 
 10.10,   2.43E-010, 
 10.20,   2.06E-010, 
 10.30,   1.98E-010, 
 10.40,   1.81E-010, 
 10.50,   1.39E-010, 
 10.60,   1.60E-010, 
 10.70,   2.10E-010, 
 10.80,   2.02E-010, 
 10.90,   2.01E-010, 
 11.00,   2.61E-010, 
 11.10,   2.68E-010, 
 11.20,   2.45E-010, 
 11.30,   3.10E-010, 
 11.40,   4.47E-010, 
 11.50,   7.38E-010, 
 11.60,   1.90E-009, 
 11.70,   4.30E-009, 
 11.80,   6.66E-009, 
 11.90,   8.82E-009, 
 12.00,   1.05E-008, 
 12.10,   1.16E-008, 
 12.20,   1.10E-008, 
 12.30,   9.03E-009, 
 12.40,   5.54E-009, 
 12.50,   3.12E-009, 
 12.60,   2.10E-009, 
 12.70,   1.82E-009, 
 12.80,   1.77E-009, 
 12.90,   1.89E-009, 
 13.00,   2.11E-009, 
 13.10,   2.24E-009, 
 13.20,   2.23E-009, 
 13.30,   2.05E-009, 
 13.40,   1.59E-009, 
 13.50,   1.27E-009, 
 13.60,   1.59E-009, 
 13.70,   3.34E-009, 
 13.80,   5.45E-009, 
 13.90,   7.31E-009, 
 14.00,   8.45E-009, 
 14.10,   9.25E-009, 
 14.20,   9.09E-009, 
 14.30,   8.03E-009, 
 14.40,   5.24E-009, 
 14.50,   3.11E-009, 
 14.60,   2.40E-009, 
 14.70,   3.32E-009, 
 14.80,   4.93E-009, 
 14.90,   6.44E-009, 
 15.00,   7.52E-009, 
 15.10,   8.19E-009, 
 15.20,   8.16E-009, 
 15.30,   7.59E-009, 
 15.40,   5.53E-009, 
 15.50,   4.12E-009, 
 15.60,   6.06E-009, 
 15.70,   1.79E-008, 
 15.80,   3.20E-008, 
 15.90,   4.08E-008, 
 16.00,   4.27E-008, 
 16.10,   4.57E-008, 
 16.20,   4.00E-008, 
 16.30,   3.19E-008, 
 16.40,   1.50E-008, 
 16.50,   1.30E-008, 
 16.60,   4.44E-008, 
 16.70,   1.89E-007, 
 16.80,   2.57E-007, 
 16.90,   3.00E-007, 
 17.00,   2.95E-007, 
 17.10,   3.21E-007, 
 17.20,   2.65E-007, 
 17.30,   1.81E-007, 
 17.40,   3.98E-008, 
 17.50,   4.36E-008, 
 17.60,   1.90E-007, 
 17.70,   7.40E-007, 
 17.80,   1.04E-006, 
 17.90,   1.21E-006, 
 18.00,   1.16E-006, 
 18.10,   1.28E-006, 
 18.20,   1.06E-006, 
 18.30,   6.92E-007, 
 18.40,   5.38E-008, 
 18.50,   1.03E-008, 
 18.60,   4.81E-009, 
 18.70,   3.15E-009, 
 18.80,   2.88E-009, 
 18.90,   3.00E-009, 
 19.00,   3.17E-009, 
 19.10,   3.24E-009, 
 19.20,   3.22E-009, 
 19.30,   2.97E-009, 
 19.40,   2.05E-009, 
 19.50,   1.26E-009, 
 19.60,   6.82E-010, 
 19.70,   7.63E-010, 
 19.80,   1.32E-009, 
 19.90,   1.78E-009, 
 20.00,   2.02E-009, 
 20.10,   2.27E-009, 
 20.20,   2.36E-009, 
 20.30,   2.17E-009, 
 20.40,   1.37E-009, 
 20.50,   8.24E-010, 
 20.60,   2.78E-010, 
 20.70,   2.08E-010, 
 20.80,   1.14E-010, 
 20.90,   6.09E-011, 
 21.00,   4.10E-011, 
 21.10,   9.75E-011, 
 21.20,   1.20E-010, 
 21.30,   7.45E-011, 
 21.40,   4.66E-011, 
 21.50,   3.98E-011, 
 21.60,   1.01E-010, 
 21.70,   1.75E-010, 
 21.80,   4.52E-010, 
 21.90,   9.32E-010, 
 22.00,   9.90E-010, 
 22.10,   1.08E-009, 
 22.20,   9.68E-010, 
 22.30,   8.86E-010, 
 22.40,   3.40E-010, 
 22.50,   1.41E-010, 
 22.60,   1.52E-010, 
 22.70,   5.47E-011, 
 22.80,   9.94E-012, 
 22.90,  -9.94E-012, 
 23.00,  -2.05E-011, 
 23.10,  -1.80E-011, 
 23.20,  -1.80E-011, 
 23.30,  -3.79E-011, 
 23.40,  -7.95E-011, 
 23.50,  -2.36E-011, 
 23.60,   3.60E-011, 
 23.70,   7.08E-011, 
 23.80,   8.76E-011, 
 23.90,   1.76E-010, 
 24.00,   2.06E-010, 
 24.10,   2.70E-010, 
 24.20,   3.47E-010, 
 24.30,   3.37E-010, 
 24.40,   2.22E-010, 
 24.50,   1.23E-010, 
 24.60,   1.37E-010, 
 24.70,   1.83E-010, 
 24.80,   3.48E-010, 
 24.90,   7.20E-010, 
 25.00,   1.16E-009, 
 25.10,   1.22E-009, 
 25.20,   1.25E-009, 
 25.30,   1.16E-009, 
 25.40,   7.27E-010, 
 25.50,   3.76E-010, 
 25.60,   3.68E-010, 
 25.70,   5.06E-010, 
 25.80,   1.61E-009, 
 25.90,   3.20E-009, 
 26.00,   4.46E-009, 
 26.10,   5.19E-009, 
 26.20,   5.21E-009, 
 26.30,   4.89E-009, 
 26.40,   3.04E-009, 
 26.50,   1.86E-009, 
 26.60,   1.29E-009, 
 26.70,   1.31E-009, 
 26.80,   2.52E-009, 
 26.90,   5.47E-009, 
 27.00,   7.70E-009, 
 27.10,   9.00E-009, 
 27.20,   9.06E-009, 
 27.30,   8.68E-009, 
 27.40,   6.01E-009, 
 27.50,   4.62E-009, 
 27.60,   5.89E-009, 
 27.70,   1.43E-008, 
 27.80,   7.67E-008, 
 27.90,   1.53E-007, 
 28.00,   1.56E-007, 
 28.10,   1.55E-007, 
 28.20,   1.37E-007, 
 28.30,   8.11E-008, 
 28.40,   1.61E-008, 
 28.50,   6.22E-009, 
 28.60,   3.76E-009, 
 28.70,   3.08E-009, 
 28.80,   4.57E-009, 
 28.90,   9.71E-009, 
 29.00,   1.46E-008, 
 29.10,   1.76E-008, 
 29.20,   1.68E-008, 
 29.30,   1.37E-008, 
 29.40,   6.80E-009, 
 29.50,   3.64E-009, 
 29.60,   2.16E-009, 
 29.70,   1.59E-009, 
 29.80,   1.81E-009, 
 29.90,   3.40E-009, 
 30.00,   4.79E-009, 
 30.10,   5.92E-009, 
 30.20,   6.09E-009, 
 30.30,   5.55E-009, 
 30.40,   3.31E-009, 
 30.50,   1.84E-009, 
 30.60,   1.05E-009, 
 30.70,   5.88E-010, 
 30.80,   6.70E-010, 
 30.90,   1.45E-009, 
 31.00,   1.97E-009, 
 31.10,   2.50E-009, 
 31.20,   2.64E-009, 
 31.30,   2.51E-009, 
 31.40,   1.67E-009, 
 31.50,   1.17E-009, 
 31.60,   1.03E-009, 
 31.70,   1.20E-009, 
 31.80,   3.00E-009, 
 31.90,   8.43E-009, 
 32.00,   1.38E-008, 
 32.10,   1.73E-008, 
 32.20,   1.67E-008, 
 32.30,   1.21E-008, 
 32.40,   5.64E-009, 
 32.50,   3.01E-009, 
 32.60,   1.74E-009, 
 32.70,   1.12E-009, 
 32.80,   6.21E-010, 
 32.90,   4.59E-010, 
 33.00,   3.48E-010, 
 33.10,   2.74E-010, 
 33.20,   2.02E-010, 
 33.30,   1.90E-010, 
 33.40,   1.66E-010, 
 33.50,   7.14E-011, 
 33.60,   1.68E-011, 
 33.70,   3.79E-011, 
 33.80,   1.43E-011, 
 33.90,   1.49E-011, 
 34.00,   1.17E-010, 
 34.10,   2.08E-010, 
 34.20,   1.93E-010, 
 34.30,   1.98E-010, 
 34.40,   1.83E-010, 
 34.50,   9.81E-011, 
 34.60,   8.70E-012, 
 34.70,   3.91E-011, 
 34.80,   5.59E-011, 
 34.90,   5.03E-011, 
 35.00,   5.40E-011, 
 35.10,   4.29E-011, 
 35.20,   2.48E-011, 
 35.30,   5.40E-011, 
 35.40,   8.32E-011, 
 35.50,   9.38E-011, 
 35.60,   7.27E-011, 
 35.70,   3.17E-011, 
 35.80,   7.52E-011, 
 35.90,   1.93E-010, 
 36.00,   2.89E-010, 
 36.10,   3.71E-010, 
 36.20,   4.07E-010, 
 36.30,   4.51E-010, 
 36.40,   3.45E-010, 
 36.50,   1.91E-010, 
 36.60,   1.71E-010, 
 36.70,   1.49E-010, 
 36.80,   9.32E-011, 
 36.90,   1.64E-010, 
 37.00,   2.96E-010, 
 37.10,   4.86E-010, 
 37.20,   5.51E-010, 
 37.30,   5.58E-010, 
 37.40,   5.63E-010, 
 37.50,   3.22E-010, 
 37.60,   2.41E-010, 
 37.70,   2.56E-010, 
 37.80,   1.46E-010, 
 37.90,   3.84E-010, 
 38.00,   7.01E-010, 
 38.10,   1.13E-009, 
 38.20,   1.13E-009, 
 38.30,   1.11E-009, 
 38.40,   7.33E-010, 
 38.50,   3.47E-010, 
 38.60,   3.16E-010, 
 38.70,   3.02E-010, 
 38.80,   4.22E-010, 
