Jan 19, 2018  02:57:32 PM
Residual Gas Analyzer Software 
Software Version, 3.101.209

Analog Scan Setup:

Data Points in Scan, 641 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 65, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.61E-004 
Filament Current, 1.00, mAmps


  1.00,   2.30E-008, 
  1.10,   2.42E-008, 
  1.20,   1.46E-007, 
  1.30,   5.70E-007, 
  1.40,   4.53E-007, 
  1.50,   4.47E-007, 
  1.60,   5.12E-007, 
  1.70,   5.41E-007, 
  1.80,   5.48E-007, 
  1.90,   5.37E-007, 
  2.00,   4.72E-007, 
  2.10,   4.58E-007, 
  2.20,   4.06E-007, 
  2.30,   3.11E-007, 
  2.40,   2.07E-007, 
  2.50,   3.71E-008, 
  2.60,   1.20E-008, 
  2.70,   7.85E-009, 
  2.80,   6.46E-009, 
  2.90,   5.70E-009, 
  3.00,   5.26E-009, 
  3.10,   4.83E-009, 
  3.20,   4.41E-009, 
  3.30,   4.12E-009, 
  3.40,   3.85E-009, 
  3.50,   3.59E-009, 
  3.60,   3.29E-009, 
  3.70,   2.96E-009, 
  3.80,   2.75E-009, 
  3.90,   2.48E-009, 
  4.00,   2.34E-009, 
  4.10,   2.25E-009, 
  4.20,   2.03E-009, 
  4.30,   1.91E-009, 
  4.40,   1.84E-009, 
  4.50,   1.80E-009, 
  4.60,   1.68E-009, 
  4.70,   1.55E-009, 
  4.80,   1.45E-009, 
  4.90,   1.36E-009, 
  5.00,   1.31E-009, 
  5.10,   1.23E-009, 
  5.20,   1.24E-009, 
  5.30,   1.20E-009, 
  5.40,   1.24E-009, 
  5.50,   1.15E-009, 
  5.60,   1.12E-009, 
  5.70,   1.09E-009, 
  5.80,   1.04E-009, 
  5.90,   1.01E-009, 
  6.00,   9.47E-010, 
  6.10,   9.21E-010, 
  6.20,   9.35E-010, 
  6.30,   8.68E-010, 
  6.40,   8.14E-010, 
  6.50,   7.78E-010, 
  6.60,   6.20E-010, 
  6.70,   5.19E-010, 
  6.80,   5.70E-010, 
  6.90,   5.85E-010, 
  7.00,   5.39E-010, 
  7.10,   5.37E-010, 
  7.20,   5.45E-010, 
  7.30,   5.06E-010, 
  7.40,   4.86E-010, 
  7.50,   4.89E-010, 
  7.60,   5.04E-010, 
  7.70,   5.33E-010, 
  7.80,   5.69E-010, 
  7.90,   5.30E-010, 
  8.00,   5.17E-010, 
  8.10,   5.28E-010, 
  8.20,   5.26E-010, 
  8.30,   5.06E-010, 
  8.40,   4.19E-010, 
  8.50,   3.71E-010, 
  8.60,   3.21E-010, 
  8.70,   3.16E-010, 
  8.80,   3.60E-010, 
  8.90,   3.63E-010, 
  9.00,   3.62E-010, 
  9.10,   3.63E-010, 
  9.20,   3.71E-010, 
  9.30,   3.70E-010, 
  9.40,   3.19E-010, 
  9.50,   2.97E-010, 
  9.60,   3.63E-010, 
  9.70,   3.39E-010, 
  9.80,   3.20E-010, 
  9.90,   3.22E-010, 
 10.00,   3.35E-010, 
 10.10,   4.21E-010, 
 10.20,   3.94E-010, 
 10.30,   3.43E-010, 
 10.40,   3.63E-010, 
 10.50,   3.94E-010, 
 10.60,   4.53E-010, 
 10.70,   4.17E-010, 
 10.80,   4.04E-010, 
 10.90,   4.57E-010, 
 11.00,   3.78E-010, 
 11.10,   3.65E-010, 
 11.20,   4.50E-010, 
 11.30,   5.27E-010, 
 11.40,   8.83E-010, 
 11.50,   1.31E-009, 
 11.60,   3.12E-009, 
 11.70,   7.55E-009, 
 11.80,   1.24E-008, 
 11.90,   1.73E-008, 
 12.00,   2.02E-008, 
 12.10,   2.17E-008, 
 12.20,   1.99E-008, 
 12.30,   1.61E-008, 
 12.40,   8.63E-009, 
 12.50,   4.46E-009, 
 12.60,   2.92E-009, 
 12.70,   2.74E-009, 
 12.80,   2.96E-009, 
 12.90,   3.32E-009, 
 13.00,   3.64E-009, 
 13.10,   3.96E-009, 
 13.20,   4.02E-009, 
 13.30,   3.74E-009, 
 13.40,   2.87E-009, 
 13.50,   2.17E-009, 
 13.60,   2.72E-009, 
 13.70,   5.93E-009, 
 13.80,   9.79E-009, 
 13.90,   1.38E-008, 
 14.00,   1.64E-008, 
 14.10,   1.75E-008, 
 14.20,   1.69E-008, 
 14.30,   1.45E-008, 
 14.40,   8.55E-009, 
 14.50,   4.74E-009, 
 14.60,   3.80E-009, 
 14.70,   5.70E-009, 
 14.80,   8.86E-009, 
 14.90,   1.22E-008, 
 15.00,   1.48E-008, 
 15.10,   1.61E-008, 
 15.20,   1.60E-008, 
 15.30,   1.41E-008, 
 15.40,   9.45E-009, 
 15.50,   6.60E-009, 
 15.60,   1.07E-008, 
 15.70,   3.67E-008, 
 15.80,   6.11E-008, 
 15.90,   7.39E-008, 
 16.00,   7.60E-008, 
 16.10,   8.15E-008, 
 16.20,   7.04E-008, 
 16.30,   5.71E-008, 
 16.40,   2.41E-008, 
 16.50,   2.27E-008, 
 16.60,   8.86E-008, 
 16.70,   3.30E-007, 
 16.80,   4.42E-007, 
 16.90,   5.23E-007, 
 17.00,   5.06E-007, 
 17.10,   5.63E-007, 
 17.20,   4.55E-007, 
 17.30,   3.44E-007, 
 17.40,   6.99E-008, 
 17.50,   8.32E-008, 
 17.60,   3.53E-007, 
 17.70,   1.28E-006, 
 17.80,   1.81E-006, 
 17.90,   2.19E-006, 
 18.00,   2.06E-006, 
 18.10,   2.33E-006, 
 18.20,   1.88E-006, 
 18.30,   1.41E-006, 
 18.40,   1.15E-007, 
 18.50,   1.41E-008, 
 18.60,   6.09E-009, 
 18.70,   4.73E-009, 
 18.80,   5.53E-009, 
 18.90,   6.74E-009, 
 19.00,   7.56E-009, 
 19.10,   8.01E-009, 
 19.20,   8.11E-009, 
 19.30,   7.53E-009, 
 19.40,   4.99E-009, 
 19.50,   2.61E-009, 
 19.60,   1.64E-009, 
 19.70,   1.64E-009, 
 19.80,   2.37E-009, 
 19.90,   3.29E-009, 
 20.00,   3.89E-009, 
 20.10,   4.25E-009, 
 20.20,   4.35E-009, 
 20.30,   4.17E-009, 
 20.40,   2.88E-009, 
 20.50,   1.66E-009, 
 20.60,   9.45E-010, 
 20.70,   3.43E-010, 
 20.80,   1.84E-010, 
 20.90,   1.36E-010, 
 21.00,   1.34E-010, 
 21.10,   1.26E-010, 
 21.20,   1.22E-010, 
 21.30,   6.89E-011, 
 21.40,   9.88E-011, 
 21.50,   3.42E-011, 
 21.60,   1.18E-011, 
 21.70,   2.85E-010, 
 21.80,   9.05E-010, 
 21.90,   1.44E-009, 
 22.00,   1.68E-009, 
 22.10,   1.84E-009, 
 22.20,   1.86E-009, 
 22.30,   1.70E-009, 
 22.40,   1.08E-009, 
 22.50,   4.67E-010, 
 22.60,   2.01E-010, 
 22.70,   1.86E-012, 
 22.80,  -6.27E-011, 
 22.90,  -1.39E-010, 
 23.00,  -1.83E-010, 
 23.10,  -1.55E-010, 
 23.20,  -1.88E-010, 
 23.30,  -1.57E-010, 
 23.40,  -7.27E-011, 
 23.50,  -1.78E-010, 
 23.60,  -1.11E-010, 
 23.70,  -6.40E-011, 
 23.80,   1.10E-010, 
 23.90,   3.47E-010, 
 24.00,   4.83E-010, 
 24.10,   7.61E-010, 
 24.20,   8.02E-010, 
 24.30,   5.77E-010, 
 24.40,   3.13E-010, 
 24.50,   7.95E-011, 
 24.60,   5.71E-011, 
 24.70,   1.53E-010, 
 24.80,   4.62E-010, 
 24.90,   1.24E-009, 
 25.00,   1.72E-009, 
 25.10,   2.35E-009, 
 25.20,   3.06E-009, 
 25.30,   3.52E-009, 
 25.40,   2.68E-009, 
 25.50,   1.99E-009, 
 25.60,   1.96E-009, 
 25.70,   3.16E-009, 
 25.80,   8.45E-009, 
 25.90,   2.07E-008, 
 26.00,   2.60E-008, 
 26.10,   2.74E-008, 
 26.20,   2.46E-008, 
 26.30,   2.12E-008, 
 26.40,   9.95E-009, 
 26.50,   4.91E-009, 
 26.60,   3.49E-009, 
 26.70,   3.91E-009, 
 26.80,   8.47E-009, 
 26.90,   2.21E-008, 
 27.00,   3.00E-008, 
 27.10,   3.28E-008, 
 27.20,   3.04E-008, 
 27.30,   2.81E-008, 
 27.40,   1.50E-008, 
 27.50,   1.04E-008, 
 27.60,   1.80E-008, 
 27.70,   5.85E-008, 
 27.80,   2.43E-007, 
 27.90,   4.08E-007, 
 28.00,   3.99E-007, 
 28.10,   4.12E-007, 
 28.20,   3.59E-007, 
 28.30,   2.19E-007, 
 28.40,   2.92E-008, 
 28.50,   8.09E-009, 
 28.60,   4.91E-009, 
 28.70,   5.05E-009, 
 28.80,   1.17E-008, 
 28.90,   3.39E-008, 
 29.00,   4.53E-008, 
 29.10,   5.04E-008, 
 29.20,   4.43E-008, 
 29.30,   3.62E-008, 
 29.40,   1.36E-008, 
 29.50,   5.50E-009, 
 29.60,   3.20E-009, 
 29.70,   2.56E-009, 
 29.80,   3.72E-009, 
 29.90,   8.73E-009, 
 30.00,   1.39E-008, 
 30.10,   1.72E-008, 
 30.20,   1.64E-008, 
 30.30,   1.42E-008, 
 30.40,   7.15E-009, 
 30.50,   3.58E-009, 
 30.60,   2.06E-009, 
 30.70,   1.46E-009, 
 30.80,   1.43E-009, 
 30.90,   2.54E-009, 
 31.00,   4.02E-009, 
 31.10,   5.18E-009, 
 31.20,   5.58E-009, 
 31.30,   5.42E-009, 
 31.40,   3.68E-009, 
 31.50,   2.16E-009, 
 31.60,   1.71E-009, 
 31.70,   2.17E-009, 
 31.80,   4.96E-009, 
 31.90,   1.57E-008, 
 32.00,   2.48E-008, 
 32.10,   2.96E-008, 
 32.20,   2.73E-008, 
 32.30,   2.09E-008, 
 32.40,   8.13E-009, 
 32.50,   3.85E-009, 
 32.60,   2.10E-009, 
 32.70,   1.27E-009, 
 32.80,   6.90E-010, 
 32.90,   3.35E-010, 
 33.00,   2.60E-010, 
 33.10,   2.70E-010, 
 33.20,   2.30E-010, 
 33.30,   2.84E-010, 
 33.40,   1.91E-010, 
 33.50,   5.03E-011, 
 33.60,  -6.83E-012, 
 33.70,  -2.24E-011, 
 33.80,   6.65E-011, 
 33.90,   1.39E-010, 
 34.00,   1.94E-010, 
 34.10,   2.99E-010, 
 34.20,   3.47E-010, 
 34.30,   3.30E-010, 
 34.40,   2.09E-010, 
 34.50,   8.20E-011, 
 34.60,   2.17E-011, 
 34.70,   3.98E-011, 
 34.80,  -1.18E-011, 
 34.90,  -2.80E-011, 
 35.00,   1.55E-011, 
 35.10,   6.77E-011, 
 35.20,   2.98E-011, 
 35.30,  -2.24E-011, 
 35.40,  -1.99E-011, 
 35.50,  -2.67E-011, 
 35.60,  -2.11E-011, 
 35.70,  -1.55E-011, 
 35.80,   8.01E-011, 
 35.90,   2.94E-010, 
 36.00,   4.56E-010, 
 36.10,   7.56E-010, 
 36.20,   8.93E-010, 
 36.30,   7.72E-010, 
 36.40,   3.43E-010, 
 36.50,   1.64E-010, 
 36.60,   5.40E-011, 
 36.70,   1.14E-010, 
 36.80,   1.56E-010, 
 36.90,   3.02E-010, 
 37.00,   6.91E-010, 
 37.10,   1.14E-009, 
 37.20,   1.26E-009, 
 37.30,   1.31E-009, 
 37.40,   9.07E-010, 
 37.50,   3.16E-010, 
 37.60,   1.29E-010, 
 37.70,   9.44E-011, 
 37.80,   1.30E-010, 
 37.90,   5.52E-010, 
 38.00,   1.33E-009, 
 38.10,   1.85E-009, 
 38.20,   2.19E-009, 
 38.30,   2.20E-009, 
 38.40,   1.54E-009, 
 38.50,   9.33E-010, 
 38.60,   4.35E-010, 
 38.70,   3.62E-010, 
