Jan 19, 2018  03:12:29 PM
Residual Gas Analyzer Software 
Software Version, 3.101.209

Analog Scan Setup:

Data Points in Scan, 641 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 65, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.61E-004 
Filament Current, 1.00, mAmps


  1.00,   1.06E-008, 
  1.10,   1.08E-008, 
  1.20,   4.64E-008, 
  1.30,   2.46E-007, 
  1.40,   2.07E-007, 
  1.50,   1.87E-007, 
  1.60,   2.17E-007, 
  1.70,   2.37E-007, 
  1.80,   2.42E-007, 
  1.90,   2.45E-007, 
  2.00,   2.19E-007, 
  2.10,   2.13E-007, 
  2.20,   1.85E-007, 
  2.30,   1.46E-007, 
  2.40,   1.01E-007, 
  2.50,   2.60E-008, 
  2.60,   9.17E-009, 
  2.70,   5.83E-009, 
  2.80,   4.43E-009, 
  2.90,   3.68E-009, 
  3.00,   3.15E-009, 
  3.10,   2.81E-009, 
  3.20,   2.54E-009, 
  3.30,   2.30E-009, 
  3.40,   2.14E-009, 
  3.50,   1.88E-009, 
  3.60,   1.70E-009, 
  3.70,   1.55E-009, 
  3.80,   1.48E-009, 
  3.90,   1.42E-009, 
  4.00,   1.32E-009, 
  4.10,   1.26E-009, 
  4.20,   1.14E-009, 
  4.30,   1.07E-009, 
  4.40,   9.90E-010, 
  4.50,   9.23E-010, 
  4.60,   8.51E-010, 
  4.70,   8.18E-010, 
  4.80,   5.76E-010, 
  4.90,   5.41E-010, 
  5.00,   5.60E-010, 
  5.10,   7.78E-010, 
  5.20,   7.58E-010, 
  5.30,   4.99E-010, 
  5.40,   4.81E-010, 
  5.50,   5.15E-010, 
  5.60,   5.24E-010, 
  5.70,   4.88E-010, 
  5.80,   4.58E-010, 
  5.90,   4.40E-010, 
  6.00,   4.29E-010, 
  6.10,   4.26E-010, 
  6.20,   4.17E-010, 
  6.30,   4.13E-010, 
  6.40,   4.49E-010, 
  6.50,   3.34E-010, 
  6.60,   3.32E-010, 
  6.70,   3.16E-010, 
  6.80,   3.19E-010, 
  6.90,   3.04E-010, 
  7.00,   3.56E-010, 
  7.10,   2.94E-010, 
  7.20,   3.13E-010, 
  7.30,   3.05E-010, 
  7.40,   2.97E-010, 
  7.50,   2.80E-010, 
  7.60,   2.45E-010, 
  7.70,   2.11E-010, 
  7.80,   2.36E-010, 
  7.90,   2.57E-010, 
  8.00,   2.25E-010, 
  8.10,   1.96E-010, 
  8.20,   2.14E-010, 
  8.30,   1.73E-010, 
  8.40,   1.81E-010, 
  8.50,   1.77E-010, 
  8.60,   1.54E-010, 
  8.70,   1.76E-010, 
  8.80,   2.23E-010, 
  8.90,   1.85E-010, 
  9.00,   1.24E-010, 
  9.10,   1.29E-010, 
  9.20,   1.73E-010, 
  9.30,   1.45E-010, 
  9.40,   1.61E-010, 
  9.50,   1.96E-010, 
  9.60,   1.78E-010, 
  9.70,   1.24E-010, 
  9.80,   4.41E-011, 
  9.90,   4.53E-011, 
 10.00,   9.57E-011, 
 10.10,   7.58E-011, 
 10.20,   8.26E-011, 
 10.30,   1.47E-010, 
 10.40,   1.19E-010, 
 10.50,   1.36E-010, 
 10.60,   1.62E-010, 
 10.70,   1.86E-010, 
 10.80,   1.88E-010, 
 10.90,   2.02E-010, 
 11.00,   1.85E-010, 
 11.10,   1.73E-010, 
 11.20,   1.70E-010, 
 11.30,   2.19E-010, 
 11.40,   3.24E-010, 
 11.50,   4.57E-010, 
 11.60,   1.47E-009, 
 11.70,   3.35E-009, 
 11.80,   5.22E-009, 
 11.90,   6.98E-009, 
 12.00,   8.25E-009, 
 12.10,   9.01E-009, 
 12.20,   8.81E-009, 
 12.30,   7.60E-009, 
 12.40,   4.87E-009, 
 12.50,   2.76E-009, 
 12.60,   1.81E-009, 
 12.70,   1.52E-009, 
 12.80,   1.48E-009, 
 12.90,   1.48E-009, 
 13.00,   1.58E-009, 
 13.10,   1.70E-009, 
 13.20,   1.75E-009, 
 13.30,   1.62E-009, 
 13.40,   1.28E-009, 
 13.50,   9.73E-010, 
 13.60,   1.06E-009, 
 13.70,   2.47E-009, 
 13.80,   4.16E-009, 
 13.90,   5.62E-009, 
 14.00,   6.72E-009, 
 14.10,   7.45E-009, 
 14.20,   7.52E-009, 
 14.30,   6.82E-009, 
 14.40,   4.64E-009, 
 14.50,   2.75E-009, 
 14.60,   2.08E-009, 
 14.70,   2.62E-009, 
 14.80,   3.88E-009, 
 14.90,   5.08E-009, 
 15.00,   5.89E-009, 
 15.10,   6.42E-009, 
 15.20,   6.56E-009, 
 15.30,   6.10E-009, 
 15.40,   4.62E-009, 
 15.50,   3.37E-009, 
 15.60,   4.53E-009, 
 15.70,   1.27E-008, 
 15.80,   2.48E-008, 
 15.90,   3.23E-008, 
 16.00,   3.51E-008, 
 16.10,   3.79E-008, 
 16.20,   3.36E-008, 
 16.30,   2.77E-008, 
 16.40,   1.35E-008, 
 16.50,   1.04E-008, 
 16.60,   2.87E-008, 
 16.70,   1.44E-007, 
 16.80,   2.11E-007, 
 16.90,   2.48E-007, 
 17.00,   2.44E-007, 
 17.10,   2.69E-007, 
 17.20,   2.20E-007, 
 17.30,   1.60E-007, 
 17.40,   3.71E-008, 
 17.50,   3.29E-008, 
 17.60,   1.24E-007, 
 17.70,   5.76E-007, 
 17.80,   8.66E-007, 
 17.90,   1.01E-006, 
 18.00,   9.72E-007, 
 18.10,   1.07E-006, 
 18.20,   8.84E-007, 
 18.30,   6.09E-007, 
 18.40,   5.73E-008, 
 18.50,   1.02E-008, 
 18.60,   4.71E-009, 
 18.70,   2.94E-009, 
 18.80,   2.42E-009, 
 18.90,   2.34E-009, 
 19.00,   2.32E-009, 
 19.10,   2.31E-009, 
 19.20,   2.33E-009, 
 19.30,   2.19E-009, 
 19.40,   1.52E-009, 
 19.50,   8.99E-010, 
 19.60,   3.96E-010, 
 19.70,   4.31E-010, 
 19.80,   1.05E-009, 
 19.90,   1.45E-009, 
 20.00,   1.62E-009, 
 20.10,   1.79E-009, 
 20.20,   1.87E-009, 
 20.30,   1.75E-009, 
 20.40,   1.13E-009, 
 20.50,   4.12E-010, 
 20.60,   9.07E-011, 
 20.70,   1.43E-011, 
 20.80,  -3.73E-012, 
 20.90,  -6.83E-012, 
 21.00,  -4.35E-012, 
 21.10,  -6.71E-011, 
 21.20,  -1.43E-010, 
 21.30,  -1.46E-010, 
 21.40,  -1.17E-010, 
 21.50,  -7.33E-011, 
 21.60,  -5.03E-011, 
 21.70,   4.04E-011, 
 21.80,   1.88E-010, 
 21.90,   5.42E-010, 
 22.00,   7.86E-010, 
 22.10,   7.43E-010, 
 22.20,   5.43E-010, 
 22.30,   6.53E-010, 
 22.40,   2.34E-010, 
 22.50,   1.60E-010, 
 22.60,   1.57E-010, 
 22.70,   8.88E-011, 
 22.80,   2.05E-011, 
 22.90,  -3.66E-011, 
 23.00,  -7.70E-011, 
 23.10,  -2.48E-011, 
 23.20,  -3.98E-011, 
 23.30,  -8.88E-011, 
 23.40,  -1.39E-010, 
 23.50,  -8.76E-011, 
 23.60,  -7.33E-011, 
 23.70,  -5.84E-011, 
 23.80,  -1.68E-011, 
 23.90,  -3.11E-012, 
 24.00,   8.07E-011, 
 24.10,   1.96E-010, 
 24.20,   1.78E-010, 
 24.30,   1.76E-010, 
 24.40,   1.07E-010, 
 24.50,   5.47E-011, 
 24.60,   9.94E-012, 
 24.70,   7.45E-011, 
 24.80,   1.88E-010, 
 24.90,   4.65E-010, 
 25.00,   9.11E-010, 
 25.10,   9.70E-010, 
 25.20,   9.43E-010, 
 25.30,   8.29E-010, 
 25.40,   4.39E-010, 
 25.50,   2.95E-010, 
 25.60,   2.45E-010, 
 25.70,   3.57E-010, 
 25.80,   1.18E-009, 
 25.90,   2.43E-009, 
 26.00,   3.56E-009, 
 26.10,   4.19E-009, 
 26.20,   4.24E-009, 
 26.30,   4.04E-009, 
 26.40,   2.73E-009, 
 26.50,   1.65E-009, 
 26.60,   1.17E-009, 
 26.70,   1.06E-009, 
 26.80,   1.83E-009, 
 26.90,   4.05E-009, 
 27.00,   5.95E-009, 
 27.10,   7.15E-009, 
 27.20,   7.28E-009, 
 27.30,   6.99E-009, 
 27.40,   4.91E-009, 
 27.50,   3.71E-009, 
 27.60,   4.39E-009, 
 27.70,   9.35E-009, 
 27.80,   5.00E-008, 
 27.90,   1.21E-007, 
 28.00,   1.27E-007, 
 28.10,   1.28E-007, 
 28.20,   1.12E-007, 
 28.30,   7.23E-008, 
 28.40,   1.62E-008, 
 28.50,   6.21E-009, 
 28.60,   3.58E-009, 
 28.70,   2.67E-009, 
 28.80,   3.41E-009, 
 28.90,   6.93E-009, 
 29.00,   1.03E-008, 
 29.10,   1.27E-008, 
 29.20,   1.25E-008, 
 29.30,   1.07E-008, 
 29.40,   5.88E-009, 
 29.50,   3.10E-009, 
 29.60,   1.80E-009, 
 29.70,   1.26E-009, 
 29.80,   1.38E-009, 
 29.90,   2.60E-009, 
 30.00,   3.81E-009, 
 30.10,   4.85E-009, 
 30.20,   5.02E-009, 
 30.30,   4.54E-009, 
 30.40,   2.84E-009, 
 30.50,   1.66E-009, 
 30.60,   9.38E-010, 
 30.70,   4.61E-010, 
 30.80,   4.17E-010, 
 30.90,   9.91E-010, 
 31.00,   1.67E-009, 
 31.10,   2.02E-009, 
 31.20,   2.11E-009, 
 31.30,   2.11E-009, 
 31.40,   1.47E-009, 
 31.50,   9.32E-010, 
 31.60,   8.42E-010, 
 31.70,   1.02E-009, 
 31.80,   2.29E-009, 
 31.90,   6.75E-009, 
 32.00,   1.10E-008, 
 32.10,   1.44E-008, 
 32.20,   1.46E-008, 
 32.30,   1.13E-008, 
 32.40,   5.41E-009, 
 32.50,   2.88E-009, 
 32.60,   1.67E-009, 
 32.70,   9.92E-010, 
 32.80,   3.34E-010, 
 32.90,   1.97E-010, 
 33.00,   7.95E-011, 
 33.10,   5.09E-011, 
 33.20,   2.92E-011, 
 33.30,   2.17E-011, 
 33.40,   1.18E-011, 
 33.50,   2.17E-011, 
 33.60,   1.99E-011, 
 33.70,   2.67E-011, 
 33.80,  -4.97E-012, 
 33.90,   8.07E-011, 
 34.00,   1.56E-010, 
 34.10,   2.05E-010, 
 34.20,   1.81E-010, 
 34.30,   1.45E-010, 
 34.40,   9.19E-011, 
 34.50,   3.73E-012, 
 34.60,  -3.66E-011, 
 34.70,  -4.78E-011, 
 34.80,  -3.48E-011, 
 34.90,  -8.32E-011, 
 35.00,  -1.16E-010, 
 35.10,  -1.39E-010, 
 35.20,  -8.14E-011, 
 35.30,  -9.94E-012, 
 35.40,   2.11E-011, 
 35.50,  -4.35E-012, 
 35.60,  -1.43E-011, 
 35.70,  -6.34E-011, 
 35.80,  -9.19E-011, 
 35.90,   6.21E-011, 
 36.00,   1.58E-010, 
 36.10,   2.07E-010, 
 36.20,   2.75E-010, 
 36.30,   2.75E-010, 
 36.40,   9.38E-011, 
 36.50,  -5.16E-011, 
 36.60,  -7.52E-011, 
 36.70,  -6.21E-012, 
 36.80,  -2.67E-011, 
 36.90,   6.21E-013, 
 37.00,   1.56E-010, 
 37.10,   2.35E-010, 
 37.20,   2.84E-010, 
 37.30,   3.11E-010, 
 37.40,   2.30E-010, 
 37.50,   7.33E-011, 
 37.60,   1.30E-011, 
 37.70,   1.06E-011, 
 37.80,  -1.68E-011, 
 37.90,   8.88E-011, 
 38.00,   2.88E-010, 
 38.10,   4.84E-010, 
 38.20,   7.68E-010, 
 38.30,   8.88E-010, 
 38.40,   4.68E-010, 
 38.50,   2.30E-010, 
 38.60,   1.70E-010, 
