Jan 19, 2018  03:10:28 PM
Residual Gas Analyzer Software 
Software Version, 3.101.209

Analog Scan Setup:

Data Points in Scan, 641 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 65, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.61E-004 
Filament Current, 1.00, mAmps


  1.00,   1.10E-008, 
  1.10,   1.16E-008, 
  1.20,   7.02E-008, 
  1.30,   2.52E-007, 
  1.40,   1.65E-007, 
  1.50,   1.87E-007, 
  1.60,   2.41E-007, 
  1.70,   2.57E-007, 
  1.80,   2.65E-007, 
  1.90,   2.53E-007, 
  2.00,   2.36E-007, 
  2.10,   2.14E-007, 
  2.20,   1.94E-007, 
  2.30,   1.46E-007, 
  2.40,   8.24E-008, 
  2.50,   1.89E-008, 
  2.60,   8.13E-009, 
  2.70,   5.55E-009, 
  2.80,   4.34E-009, 
  2.90,   3.64E-009, 
  3.00,   3.25E-009, 
  3.10,   2.98E-009, 
  3.20,   2.72E-009, 
  3.30,   2.46E-009, 
  3.40,   2.28E-009, 
  3.50,   2.12E-009, 
  3.60,   1.96E-009, 
  3.70,   1.77E-009, 
  3.80,   1.60E-009, 
  3.90,   1.45E-009, 
  4.00,   1.43E-009, 
  4.10,   1.37E-009, 
  4.20,   1.27E-009, 
  4.30,   1.18E-009, 
  4.40,   1.15E-009, 
  4.50,   1.06E-009, 
  4.60,   9.66E-010, 
  4.70,   9.78E-010, 
  4.80,   8.91E-010, 
  4.90,   8.63E-010, 
  5.00,   8.40E-010, 
  5.10,   6.21E-010, 
  5.20,   5.35E-010, 
  5.30,   5.09E-010, 
  5.40,   5.29E-010, 
  5.50,   5.87E-010, 
  5.60,   5.60E-010, 
  5.70,   5.52E-010, 
  5.80,   5.38E-010, 
  5.90,   5.55E-010, 
  6.00,   5.75E-010, 
  6.10,   5.09E-010, 
  6.20,   5.63E-010, 
  6.30,   5.43E-010, 
  6.40,   5.56E-010, 
  6.50,   5.16E-010, 
  6.60,   4.70E-010, 
  6.70,   4.60E-010, 
  6.80,   4.17E-010, 
  6.90,   3.89E-010, 
  7.00,   3.50E-010, 
  7.10,   3.75E-010, 
  7.20,   3.30E-010, 
  7.30,   3.10E-010, 
  7.40,   2.89E-010, 
  7.50,   2.81E-010, 
  7.60,   3.07E-010, 
  7.70,   2.76E-010, 
  7.80,   3.17E-010, 
  7.90,   3.43E-010, 
  8.00,   4.04E-010, 
  8.10,   4.12E-010, 
  8.20,   3.56E-010, 
  8.30,   3.53E-010, 
  8.40,   3.24E-010, 
  8.50,   2.76E-010, 
  8.60,   2.93E-010, 
  8.70,   2.86E-010, 
  8.80,   3.25E-010, 
  8.90,   3.45E-010, 
  9.00,   3.28E-010, 
  9.10,   2.58E-010, 
  9.20,   2.78E-010, 
  9.30,   2.96E-010, 
  9.40,   2.48E-010, 
  9.50,   2.36E-010, 
  9.60,   2.47E-010, 
  9.70,   2.73E-010, 
  9.80,   2.77E-010, 
  9.90,   3.10E-010, 
 10.00,   3.32E-010, 
 10.10,   2.76E-010, 
 10.20,   2.74E-010, 
 10.30,   2.60E-010, 
 10.40,   2.17E-010, 
 10.50,   1.97E-010, 
 10.60,   2.81E-010, 
 10.70,   2.35E-010, 
 10.80,   2.61E-010, 
 10.90,   3.00E-010, 
 11.00,   3.09E-010, 
 11.10,   3.16E-010, 
 11.20,   3.21E-010, 
 11.30,   3.35E-010, 
 11.40,   3.89E-010, 
 11.50,   8.36E-010, 
 11.60,   2.07E-009, 
 11.70,   4.20E-009, 
 11.80,   6.23E-009, 
 11.90,   8.01E-009, 
 12.00,   9.16E-009, 
 12.10,   9.99E-009, 
 12.20,   9.29E-009, 
 12.30,   7.66E-009, 
 12.40,   4.60E-009, 
 12.50,   2.67E-009, 
 12.60,   1.80E-009, 
 12.70,   1.66E-009, 
 12.80,   1.67E-009, 
 12.90,   1.79E-009, 
 13.00,   1.92E-009, 
 13.10,   2.05E-009, 
 13.20,   2.00E-009, 
 13.30,   1.87E-009, 
 13.40,   1.44E-009, 
 13.50,   1.25E-009, 
 13.60,   1.64E-009, 
 13.70,   3.35E-009, 
 13.80,   5.03E-009, 
 13.90,   6.63E-009, 
 14.00,   7.71E-009, 
 14.10,   8.28E-009, 
 14.20,   8.04E-009, 
 14.30,   7.01E-009, 
 14.40,   4.39E-009, 
 14.50,   2.74E-009, 
 14.60,   2.30E-009, 
 14.70,   3.24E-009, 
 14.80,   4.65E-009, 
 14.90,   5.92E-009, 
 15.00,   6.67E-009, 
 15.10,   7.20E-009, 
 15.20,   7.12E-009, 
 15.30,   6.53E-009, 
 15.40,   4.64E-009, 
 15.50,   3.86E-009, 
 15.60,   6.34E-009, 
 15.70,   1.79E-008, 
 15.80,   2.94E-008, 
 15.90,   3.63E-008, 
 16.00,   3.83E-008, 
 16.10,   4.04E-008, 
 16.20,   3.52E-008, 
 16.30,   2.61E-008, 
 16.40,   1.24E-008, 
 16.50,   1.27E-008, 
 16.60,   5.20E-008, 
 16.70,   1.85E-007, 
 16.80,   2.36E-007, 
 16.90,   2.68E-007, 
 17.00,   2.65E-007, 
 17.10,   2.76E-007, 
 17.20,   2.31E-007, 
 17.30,   1.33E-007, 
 17.40,   3.15E-008, 
 17.50,   4.46E-008, 
 17.60,   2.21E-007, 
 17.70,   7.32E-007, 
 17.80,   9.64E-007, 
 17.90,   1.08E-006, 
 18.00,   1.05E-006, 
 18.10,   1.11E-006, 
 18.20,   9.27E-007, 
 18.30,   4.79E-007, 
 18.40,   3.23E-008, 
 18.50,   8.34E-009, 
 18.60,   4.21E-009, 
 18.70,   2.86E-009, 
 18.80,   2.51E-009, 
 18.90,   2.51E-009, 
 19.00,   2.61E-009, 
 19.10,   2.69E-009, 
 19.20,   2.52E-009, 
 19.30,   2.27E-009, 
 19.40,   1.48E-009, 
 19.50,   9.16E-010, 
 19.60,   4.27E-010, 
 19.70,   6.39E-010, 
 19.80,   1.21E-009, 
 19.90,   1.59E-009, 
 20.00,   1.76E-009, 
 20.10,   2.00E-009, 
 20.20,   2.07E-009, 
 20.30,   1.85E-009, 
 20.40,   1.15E-009, 
 20.50,   4.63E-010, 
 20.60,   1.56E-010, 
 20.70,   1.11E-010, 
 20.80,   1.84E-010, 
 20.90,   2.08E-010, 
 21.00,   8.01E-011, 
 21.10,   8.70E-012, 
 21.20,   2.48E-011, 
 21.30,   2.98E-011, 
 21.40,   3.04E-011, 
 21.50,   7.02E-011, 
 21.60,   7.83E-011, 
 21.70,   1.47E-010, 
 21.80,   3.49E-010, 
 21.90,   6.14E-010, 
 22.00,   9.29E-010, 
 22.10,   9.99E-010, 
 22.20,   8.88E-010, 
 22.30,   6.17E-010, 
 22.40,   2.58E-010, 
 22.50,   8.07E-011, 
 22.60,  -3.73E-011, 
 22.70,  -1.24E-012, 
 22.80,   1.06E-011, 
 22.90,  -1.24E-012, 
 23.00,  -1.18E-011, 
 23.10,  -3.11E-011, 
 23.20,  -4.35E-012, 
 23.30,   2.24E-011, 
 23.40,   4.78E-011, 
 23.50,   7.83E-011, 
 23.60,   5.47E-011, 
 23.70,   1.06E-010, 
 23.80,   1.80E-010, 
 23.90,   2.57E-010, 
 24.00,   3.42E-010, 
 24.10,   3.59E-010, 
 24.20,   3.60E-010, 
 24.30,   2.43E-010, 
 24.40,   1.91E-010, 
 24.50,   1.44E-010, 
 24.60,   1.39E-010, 
 24.70,   1.70E-010, 
 24.80,   3.39E-010, 
 24.90,   7.65E-010, 
 25.00,   1.03E-009, 
 25.10,   1.02E-009, 
 25.20,   1.04E-009, 
 25.30,   9.53E-010, 
 25.40,   5.07E-010, 
 25.50,   2.81E-010, 
 25.60,   2.93E-010, 
 25.70,   5.45E-010, 
 25.80,   1.67E-009, 
 25.90,   3.09E-009, 
 26.00,   4.04E-009, 
 26.10,   4.51E-009, 
 26.20,   4.48E-009, 
 26.30,   4.01E-009, 
 26.40,   2.49E-009, 
 26.50,   1.53E-009, 
 26.60,   1.13E-009, 
 26.70,   1.21E-009, 
 26.80,   2.41E-009, 
 26.90,   4.93E-009, 
 27.00,   6.77E-009, 
 27.10,   7.84E-009, 
 27.20,   7.91E-009, 
 27.30,   7.18E-009, 
 27.40,   4.84E-009, 
 27.50,   4.08E-009, 
 27.60,   5.67E-009, 
 27.70,   1.48E-008, 
 27.80,   7.88E-008, 
 27.90,   1.37E-007, 
 28.00,   1.41E-007, 
 28.10,   1.31E-007, 
 28.20,   1.19E-007, 
 28.30,   5.98E-008, 
 28.40,   1.25E-008, 
 28.50,   5.46E-009, 
 28.60,   3.29E-009, 
 28.70,   2.74E-009, 
 28.80,   4.41E-009, 
 28.90,   8.85E-009, 
 29.00,   1.26E-008, 
 29.10,   1.46E-008, 
 29.20,   1.39E-008, 
 29.30,   1.06E-008, 
 29.40,   5.34E-009, 
 29.50,   2.85E-009, 
 29.60,   1.76E-009, 
 29.70,   1.34E-009, 
 29.80,   1.76E-009, 
 29.90,   3.31E-009, 
 30.00,   4.48E-009, 
 30.10,   5.33E-009, 
 30.20,   5.38E-009, 
 30.30,   4.66E-009, 
 30.40,   2.72E-009, 
 30.50,   1.57E-009, 
 30.60,   9.87E-010, 
 30.70,   5.53E-010, 
 30.80,   6.26E-010, 
 30.90,   1.36E-009, 
 31.00,   1.86E-009, 
 31.10,   2.26E-009, 
 31.20,   2.34E-009, 
 31.30,   2.13E-009, 
 31.40,   1.51E-009, 
 31.50,   1.05E-009, 
 31.60,   9.34E-010, 
 31.70,   1.20E-009, 
 31.80,   3.31E-009, 
 31.90,   8.24E-009, 
 32.00,   1.30E-008, 
 32.10,   1.57E-008, 
 32.20,   1.53E-008, 
 32.30,   1.02E-008, 
 32.40,   4.85E-009, 
 32.50,   2.56E-009, 
 32.60,   1.52E-009, 
 32.70,   9.35E-010, 
 32.80,   4.37E-010, 
 32.90,   2.71E-010, 
 33.00,   2.64E-010, 
 33.10,   2.46E-010, 
 33.20,   2.22E-010, 
 33.30,   1.66E-010, 
 33.40,   6.52E-011, 
 33.50,   2.05E-011, 
 33.60,   6.46E-011, 
 33.70,   5.28E-011, 
 33.80,   2.55E-011, 
 33.90,   1.16E-010, 
 34.00,   1.43E-010, 
 34.10,   2.53E-010, 
 34.20,   1.99E-010, 
 34.30,   1.58E-010, 
 34.40,   3.54E-011, 
 34.50,  -3.73E-011, 
 34.60,  -7.58E-011, 
 34.70,  -6.21E-011, 
 34.80,  -8.76E-011, 
 34.90,  -5.47E-011, 
 35.00,  -1.12E-011, 
 35.10,  -1.30E-011, 
 35.20,   1.99E-011, 
 35.30,   5.34E-011, 
 35.40,   1.01E-010, 
 35.50,   7.95E-011, 
 35.60,   9.13E-011, 
 35.70,   4.53E-011, 
 35.80,   6.27E-011, 
 35.90,   1.15E-010, 
 36.00,   1.75E-010, 
 36.10,   2.81E-010, 
 36.20,   3.06E-010, 
 36.30,   3.30E-010, 
 36.40,   2.78E-010, 
 36.50,   2.06E-010, 
 36.60,   1.22E-010, 
 36.70,   6.02E-011, 
 36.80,   8.01E-011, 
 36.90,   1.86E-010, 
 37.00,   2.81E-010, 
 37.10,   4.24E-010, 
 37.20,   4.85E-010, 
 37.30,   4.20E-010, 
 37.40,   2.73E-010, 
 37.50,   1.48E-010, 
 37.60,   1.05E-010, 
 37.70,   1.29E-010, 
 37.80,   1.73E-010, 
 37.90,   3.07E-010, 
 38.00,   5.17E-010, 
 38.10,   9.40E-010, 
 38.20,   9.89E-010, 
 38.30,   9.37E-010, 
 38.40,   4.06E-010, 
 38.50,   3.11E-010, 
 38.60,   2.35E-010, 
 38.70,   2.56E-010, 
 38.80,   3.65E-010, 
