Jan 19, 2018  03:10:28 PM
Residual Gas Analyzer Software 
Software Version, 3.101.209

Analog Scan Setup:

Data Points in Scan, 641 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
 38.90,   1.05E-009, 
 39.00,   2.05E-009, 
 39.10,   2.96E-009, 
 39.20,   3.53E-009, 
 39.30,   3.50E-009, 
 39.40,   2.26E-009, 
 39.50,   1.31E-009, 
 39.60,   7.72E-010, 
 39.70,   3.82E-010, 
 39.80,   3.71E-010, 
 39.90,   9.06E-010, 
 40.00,   1.56E-009, 
 40.10,   2.03E-009, 
 40.20,   2.40E-009, 
 40.30,   2.16E-009, 
 40.40,   1.44E-009, 
 40.50,   8.79E-010, 
 40.60,   4.50E-010, 
 40.70,   4.02E-010, 
 40.80,   4.83E-010, 
 40.90,   1.24E-009, 
 41.00,   2.61E-009, 
 41.10,   4.24E-009, 
 41.20,   5.26E-009, 
 41.30,   5.45E-009, 
 41.40,   3.57E-009, 
 41.50,   2.14E-009, 
 41.60,   1.29E-009, 
 41.70,   8.47E-010, 
 41.80,   4.89E-010, 
 41.90,   1.05E-009, 
 42.00,   2.12E-009, 
 42.10,   3.42E-009, 
 42.20,   4.24E-009, 
 42.30,   4.26E-009, 
 42.40,   2.82E-009, 
 42.50,   1.71E-009, 
 42.60,   1.06E-009, 
 42.70,   8.01E-010, 
 42.80,   6.53E-010, 
 42.90,   1.33E-009, 
 43.00,   2.99E-009, 
 43.10,   5.37E-009, 
 43.20,   6.99E-009, 
 43.30,   7.15E-009, 
 43.40,   4.83E-009, 
 43.50,   3.28E-009, 
 43.60,   2.85E-009, 
 43.70,   3.20E-009, 
 43.80,   5.06E-009, 
 43.90,   1.71E-008, 
 44.00,   6.09E-008, 
 44.10,   8.10E-008, 
 44.20,   8.63E-008, 
 44.30,   4.26E-008, 
 44.40,   1.11E-008, 
 44.50,   4.93E-009, 
 44.60,   2.81E-009, 
 44.70,   1.77E-009, 
 44.80,   1.21E-009, 
 44.90,   1.13E-009, 
 45.00,   1.52E-009, 
 45.10,   2.17E-009, 
 45.20,   2.66E-009, 
 45.30,   2.55E-009, 
 45.40,   1.70E-009, 
 45.50,   1.12E-009, 
 45.60,   6.13E-010, 
 45.70,   3.58E-010, 
 45.80,   2.68E-010, 
 45.90,   2.86E-010, 
 46.00,   4.13E-010, 
 46.10,   6.42E-010, 
 46.20,   1.06E-009, 
 46.30,   9.72E-010, 
 46.40,   5.04E-010, 
 46.50,   2.64E-010, 
 46.60,   1.58E-010, 
 46.70,   1.35E-010, 
 46.80,   4.84E-011, 
 46.90,  -2.80E-011, 
 47.00,   3.73E-012, 
 47.10,   9.94E-012, 
 47.20,   2.86E-011, 
 47.30,   1.36E-010, 
 47.40,   1.34E-010, 
 47.50,   5.34E-011, 
 47.60,   8.70E-012, 
 47.70,  -3.11E-011, 
 47.80,  -2.92E-011, 
 47.90,  -2.55E-011, 
 48.00,   2.80E-011, 
 48.10,   1.61E-011, 
 48.20,   1.04E-010, 
 48.30,   1.97E-010, 
 48.40,   1.47E-010, 
 48.50,   5.16E-011, 
 48.60,  -8.07E-012, 
 48.70,   2.42E-011, 
 48.80,   4.91E-011, 
 48.90,   4.53E-011, 
 49.00,   5.09E-011, 
 49.10,   8.07E-012, 
 49.20,   1.80E-011, 
 49.30,   4.04E-011, 
 49.40,   2.11E-011, 
 49.50,  -4.10E-011, 
 49.60,  -4.66E-011, 
 49.70,  -1.02E-010, 
 49.80,  -7.45E-011, 
 49.90,  -3.73E-012, 
 50.00,   4.60E-011, 
 50.10,   8.20E-011, 
 50.20,   2.34E-010, 
 50.30,   2.20E-010, 
 50.40,   1.77E-010, 
 50.50,   2.04E-010, 
 50.60,   9.81E-011, 
 50.70,   7.39E-011, 
 50.80,   6.21E-011, 
 50.90,   4.66E-011, 
 51.00,   1.34E-010, 
 51.10,   2.13E-010, 
 51.20,   3.11E-010, 
 51.30,   3.86E-010, 
 51.40,   3.39E-010, 
 51.50,   2.34E-010, 
 51.60,   9.07E-011, 
 51.70,   6.65E-011, 
 51.80,   1.26E-010, 
 51.90,   5.96E-011, 
 52.00,   2.98E-011, 
 52.10,   3.79E-011, 
 52.20,   1.29E-010, 
 52.30,   2.17E-010, 
 52.40,   1.83E-010, 
 52.50,   9.07E-011, 
 52.60,   2.98E-011, 
 52.70,   2.30E-011, 
 52.80,   9.50E-011, 
 52.90,   1.23E-010, 
 53.00,   1.07E-010, 
 53.10,   1.61E-010, 
 53.20,   2.36E-010, 
 53.30,   3.35E-010, 
 53.40,   2.41E-010, 
 53.50,   1.37E-010, 
 53.60,   7.02E-011, 
 53.70,   7.95E-011, 
 53.80,   6.46E-011, 
 53.90,   4.53E-011, 
 54.00,   4.66E-011, 
 54.10,   1.26E-010, 
 54.20,   2.20E-010, 
 54.30,   3.44E-010, 
 54.40,   2.92E-010, 
 54.50,   2.62E-010, 
 54.60,   2.12E-010, 
 54.70,   1.06E-010, 
 54.80,   7.70E-011, 
 54.90,   7.52E-011, 
 55.00,   1.91E-010, 
 55.10,   3.54E-010, 
 55.20,   9.55E-010, 
 55.30,   1.29E-009, 
 55.40,   9.82E-010, 
 55.50,   4.50E-010, 
 55.60,   2.24E-010, 
 55.70,   1.53E-010, 
 55.80,   8.88E-011, 
 55.90,   4.91E-011, 
 56.00,   4.60E-011, 
 56.10,   1.47E-010, 
 56.20,   3.88E-010, 
 56.30,   7.66E-010, 
 56.40,   6.00E-010, 
 56.50,   2.88E-010, 
 56.60,   1.50E-010, 
 56.70,   7.39E-011, 
 56.80,   4.16E-011, 
 56.90,   1.86E-011, 
 57.00,  -6.96E-011, 
 57.10,   8.45E-011, 
 57.20,   4.09E-010, 
 57.30,   6.32E-010, 
 57.40,   5.43E-010, 
 57.50,   3.31E-010, 
 57.60,   1.90E-010, 
 57.70,   1.07E-010, 
 57.80,   7.02E-011, 
 57.90,   8.94E-011, 
 58.00,   7.14E-011, 
 58.10,   1.19E-010, 
 58.20,   2.42E-010, 
 58.30,   3.12E-010, 
 58.40,   2.87E-010, 
 58.50,   1.76E-010, 
 58.60,   1.57E-010, 
 58.70,   1.31E-010, 
 58.80,   3.35E-011, 
 58.90,  -3.60E-011, 
 59.00,  -4.53E-011, 
 59.10,  -4.72E-011, 
 59.20,  -8.07E-012, 
 59.30,  -3.85E-011, 
 59.40,   7.70E-011, 
 59.50,   7.02E-011, 
 59.60,   2.86E-011, 
 59.70,   2.67E-011, 
 59.80,   1.37E-011, 
 59.90,  -1.93E-011, 
 60.00,  -7.27E-011, 
 60.10,   8.70E-012, 
 60.20,   1.59E-010, 
 60.30,   2.57E-010, 
 60.40,   2.34E-010, 
 60.50,   7.08E-011, 
 60.60,   1.02E-010, 
 60.70,   1.17E-010, 
 60.80,   4.35E-011, 
 60.90,   7.39E-011, 
 61.00,   3.66E-011, 
 61.10,   6.09E-011, 
 61.20,   9.63E-011, 
 61.30,   9.07E-011, 
 61.40,   6.77E-011, 
 61.50,   4.04E-011, 
 61.60,   3.54E-011, 
 61.70,   2.05E-011, 
 61.80,  -4.35E-012, 
 61.90,  -2.73E-011, 
 62.00,   4.97E-012, 
 62.10,  -1.68E-011, 
 62.20,  -3.54E-011, 
 62.30,   8.07E-012, 
 62.40,   4.10E-011, 
 62.50,  -1.24E-012, 
 62.60,  -2.86E-011, 
 62.70,  -8.76E-011, 
 62.80,  -9.32E-011, 
 62.90,  -6.83E-011, 
 63.00,  -7.45E-011, 
 63.10,  -5.03E-011, 
 63.20,  -1.74E-011, 
 63.30,  -1.30E-011, 
 63.40,   2.24E-011, 
 63.50,   1.24E-011, 
 63.60,   9.94E-012, 
 63.70,   2.86E-011, 
 63.80,   4.10E-011, 
 63.90,   7.33E-011, 
 64.00,   1.17E-010, 
 64.10,   1.19E-010, 
 64.20,   9.32E-011, 
 64.30,   7.39E-011, 
 64.40,   6.65E-011, 
 64.50,   6.09E-011, 
 64.60,   1.43E-010, 
 64.70,   9.88E-011, 
 64.80,   8.57E-011, 
 64.90,   9.81E-011, 
 65.00,   6.52E-011, 
