Jan 19, 2018  03:06:28 PM
Residual Gas Analyzer Software 
Software Version, 3.101.209

Analog Scan Setup:

Data Points in Scan, 641 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 65, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.61E-004 
Filament Current, 1.00, mAmps


  1.00,   1.35E-008, 
  1.10,   1.42E-008, 
  1.20,   4.60E-008, 
  1.30,   3.19E-007, 
  1.40,   3.14E-007, 
  1.50,   2.74E-007, 
  1.60,   2.61E-007, 
  1.70,   2.84E-007, 
  1.80,   2.91E-007, 
  1.90,   3.02E-007, 
  2.00,   2.63E-007, 
  2.10,   2.65E-007, 
  2.20,   2.19E-007, 
  2.30,   1.88E-007, 
  2.40,   1.39E-007, 
  2.50,   4.41E-008, 
  2.60,   1.17E-008, 
  2.70,   6.82E-009, 
  2.80,   5.17E-009, 
  2.90,   4.25E-009, 
  3.00,   3.70E-009, 
  3.10,   3.25E-009, 
  3.20,   2.91E-009, 
  3.30,   2.65E-009, 
  3.40,   2.48E-009, 
  3.50,   2.20E-009, 
  3.60,   2.01E-009, 
  3.70,   1.84E-009, 
  3.80,   1.66E-009, 
  3.90,   1.55E-009, 
  4.00,   1.45E-009, 
  4.10,   1.33E-009, 
  4.20,   1.24E-009, 
  4.30,   1.16E-009, 
  4.40,   1.17E-009, 
  4.50,   1.09E-009, 
  4.60,   9.40E-010, 
  4.70,   8.99E-010, 
  4.80,   8.40E-010, 
  4.90,   7.69E-010, 
  5.00,   7.47E-010, 
  5.10,   6.16E-010, 
  5.20,   4.61E-010, 
  5.30,   4.45E-010, 
  5.40,   4.63E-010, 
  5.50,   4.86E-010, 
  5.60,   4.93E-010, 
  5.70,   5.18E-010, 
  5.80,   4.79E-010, 
  5.90,   4.90E-010, 
  6.00,   4.72E-010, 
  6.10,   5.01E-010, 
  6.20,   5.05E-010, 
  6.30,   4.43E-010, 
  6.40,   4.35E-010, 
  6.50,   4.02E-010, 
  6.60,   3.25E-010, 
  6.70,   2.81E-010, 
  6.80,   2.31E-010, 
  6.90,   2.57E-010, 
  7.00,   1.78E-010, 
  7.10,   1.98E-010, 
  7.20,   2.07E-010, 
  7.30,   2.36E-010, 
  7.40,   2.40E-010, 
  7.50,   2.58E-010, 
  7.60,   2.58E-010, 
  7.70,   2.77E-010, 
  7.80,   2.32E-010, 
  7.90,   1.81E-010, 
  8.00,   1.93E-010, 
  8.10,   2.16E-010, 
  8.20,   2.16E-010, 
  8.30,   1.88E-010, 
  8.40,   1.36E-010, 
  8.50,   1.71E-010, 
  8.60,   1.80E-010, 
  8.70,   1.47E-010, 
  8.80,   1.06E-010, 
  8.90,   1.61E-010, 
  9.00,   1.04E-010, 
  9.10,   1.01E-010, 
  9.20,   5.22E-011, 
  9.30,   4.47E-011, 
  9.40,   2.11E-011, 
  9.50,  -5.59E-012, 
  9.60,   4.41E-011, 
  9.70,   5.34E-011, 
  9.80,   2.24E-011, 
  9.90,   5.65E-011, 
 10.00,   7.45E-011, 
 10.10,   7.08E-011, 
 10.20,  -1.24E-012, 
 10.30,  -4.97E-011, 
 10.40,  -2.73E-011, 
 10.50,   4.72E-011, 
 10.60,   9.75E-011, 
 10.70,   3.91E-011, 
 10.80,   5.28E-011, 
 10.90,   8.63E-011, 
 11.00,   5.90E-011, 
 11.10,   9.25E-011, 
 11.20,   1.52E-010, 
 11.30,   1.33E-010, 
 11.40,   2.11E-010, 
 11.50,   3.92E-010, 
 11.60,   1.42E-009, 
 11.70,   3.60E-009, 
 11.80,   6.20E-009, 
 11.90,   8.47E-009, 
 12.00,   1.07E-008, 
 12.10,   1.18E-008, 
 12.20,   1.17E-008, 
 12.30,   9.92E-009, 
 12.40,   6.78E-009, 
 12.50,   3.63E-009, 
 12.60,   2.29E-009, 
 12.70,   1.90E-009, 
 12.80,   1.86E-009, 
 12.90,   1.83E-009, 
 13.00,   2.02E-009, 
 13.10,   2.09E-009, 
 13.20,   2.24E-009, 
 13.30,   2.15E-009, 
 13.40,   1.77E-009, 
 13.50,   1.31E-009, 
 13.60,   1.41E-009, 
 13.70,   2.89E-009, 
 13.80,   5.04E-009, 
 13.90,   6.91E-009, 
 14.00,   8.41E-009, 
 14.10,   9.16E-009, 
 14.20,   9.44E-009, 
 14.30,   8.59E-009, 
 14.40,   6.30E-009, 
 14.50,   3.58E-009, 
 14.60,   2.54E-009, 
 14.70,   2.99E-009, 
 14.80,   4.65E-009, 
 14.90,   6.23E-009, 
 15.00,   7.63E-009, 
 15.10,   8.36E-009, 
 15.20,   8.71E-009, 
 15.30,   8.14E-009, 
 15.40,   6.45E-009, 
 15.50,   4.33E-009, 
 15.60,   4.92E-009, 
 15.70,   1.39E-008, 
 15.80,   3.02E-008, 
 15.90,   4.07E-008, 
 16.00,   4.48E-008, 
 16.10,   4.79E-008, 
 16.20,   4.39E-008, 
 16.30,   3.76E-008, 
 16.40,   1.98E-008, 
 16.50,   1.24E-008, 
 16.60,   2.74E-008, 
 16.70,   1.52E-007, 
 16.80,   2.53E-007, 
 16.90,   3.06E-007, 
 17.00,   3.07E-007, 
 17.10,   3.34E-007, 
 17.20,   2.83E-007, 
 17.30,   2.37E-007, 
 17.40,   6.52E-008, 
 17.50,   3.68E-008, 
 17.60,   1.17E-007, 
 17.70,   5.99E-007, 
 17.80,   1.02E-006, 
 17.90,   1.24E-006, 
 18.00,   1.22E-006, 
 18.10,   1.33E-006, 
 18.20,   1.13E-006, 
 18.30,   9.55E-007, 
 18.40,   1.61E-007, 
 18.50,   1.46E-008, 
 18.60,   5.72E-009, 
 18.70,   3.43E-009, 
 18.80,   2.92E-009, 
 18.90,   2.95E-009, 
 19.00,   3.11E-009, 
 19.10,   3.15E-009, 
 19.20,   3.26E-009, 
 19.30,   3.17E-009, 
 19.40,   2.42E-009, 
 19.50,   1.39E-009, 
 19.60,   8.42E-010, 
 19.70,   4.73E-010, 
 19.80,   1.16E-009, 
 19.90,   1.75E-009, 
 20.00,   2.12E-009, 
 20.10,   2.30E-009, 
 20.20,   2.41E-009, 
 20.30,   2.30E-009, 
 20.40,   1.72E-009, 
 20.50,   9.47E-010, 
 20.60,   2.94E-010, 
 20.70,   6.96E-011, 
 20.80,  -3.35E-011, 
 20.90,  -7.39E-011, 
 21.00,  -1.05E-010, 
 21.10,  -1.12E-010, 
 21.20,  -1.38E-010, 
 21.30,  -2.04E-010, 
 21.40,  -1.70E-010, 
 21.50,  -1.85E-010, 
 21.60,  -1.96E-010, 
 21.70,  -1.88E-010, 
 21.80,   6.77E-011, 
 21.90,   3.62E-010, 
 22.00,   6.20E-010, 
 22.10,   9.60E-010, 
 22.20,   8.66E-010, 
 22.30,   8.11E-010, 
 22.40,   3.56E-010, 
 22.50,   1.49E-010, 
 22.60,   2.42E-011, 
 22.70,  -6.09E-011, 
 22.80,  -1.30E-010, 
 22.90,  -1.50E-010, 
 23.00,  -1.09E-010, 
 23.10,  -1.49E-010, 
 23.20,  -1.73E-010, 
 23.30,  -1.64E-010, 
 23.40,  -2.01E-010, 
 23.50,  -2.75E-010, 
 23.60,  -2.54E-010, 
 23.70,  -2.43E-010, 
 23.80,  -1.35E-010, 
 23.90,  -3.17E-011, 
 24.00,   9.69E-011, 
 24.10,   1.70E-010, 
 24.20,   1.90E-010, 
 24.30,   9.57E-011, 
 24.40,   1.43E-011, 
 24.50,  -8.39E-011, 
 24.60,  -9.01E-011, 
 24.70,   1.30E-011, 
 24.80,   2.06E-010, 
 24.90,   4.93E-010, 
 25.00,   1.01E-009, 
 25.10,   1.12E-009, 
 25.20,   1.13E-009, 
 25.30,   1.11E-009, 
 25.40,   8.45E-010, 
 25.50,   3.22E-010, 
 25.60,   2.14E-010, 
 25.70,   3.37E-010, 
 25.80,   1.21E-009, 
 25.90,   2.81E-009, 
 26.00,   4.33E-009, 
 26.10,   5.18E-009, 
 26.20,   5.45E-009, 
 26.30,   5.41E-009, 
 26.40,   3.86E-009, 
 26.50,   2.26E-009, 
 26.60,   1.49E-009, 
 26.70,   1.27E-009, 
 26.80,   2.01E-009, 
 26.90,   4.70E-009, 
 27.00,   7.52E-009, 
 27.10,   9.24E-009, 
 27.20,   9.71E-009, 
 27.30,   9.51E-009, 
 27.40,   6.97E-009, 
 27.50,   4.81E-009, 
 27.60,   5.19E-009, 
 27.70,   1.03E-008, 
 27.80,   5.09E-008, 
 27.90,   1.48E-007, 
 28.00,   1.59E-007, 
 28.10,   1.69E-007, 
 28.20,   1.44E-007, 
 28.30,   1.13E-007, 
 28.40,   2.66E-008, 
 28.50,   7.71E-009, 
 28.60,   4.17E-009, 
 28.70,   3.04E-009, 
 28.80,   3.70E-009, 
 28.90,   8.15E-009, 
 29.00,   1.39E-008, 
 29.10,   1.77E-008, 
 29.20,   1.76E-008, 
 29.30,   1.60E-008, 
 29.40,   8.65E-009, 
 29.50,   4.21E-009, 
 29.60,   2.36E-009, 
 29.70,   1.60E-009, 
 29.80,   1.56E-009, 
 29.90,   2.90E-009, 
 30.00,   4.73E-009, 
 30.10,   6.01E-009, 
 30.20,   6.32E-009, 
 30.30,   6.15E-009, 
 30.40,   4.20E-009, 
 30.50,   2.37E-009, 
 30.60,   1.41E-009, 
 30.70,   8.32E-010, 
 30.80,   4.83E-010, 
 30.90,   1.19E-009, 
 31.00,   1.84E-009, 
 31.10,   2.38E-009, 
 31.20,   2.68E-009, 
 31.30,   2.69E-009, 
 31.40,   2.07E-009, 
 31.50,   1.33E-009, 
 31.60,   1.00E-009, 
 31.70,   1.10E-009, 
 31.80,   2.11E-009, 
 31.90,   6.70E-009, 
 32.00,   1.27E-008, 
 32.10,   1.77E-008, 
 32.20,   1.76E-008, 
 32.30,   1.50E-008, 
 32.40,   7.14E-009, 
 32.50,   3.66E-009, 
 32.60,   2.05E-009, 
 32.70,   1.19E-009, 
 32.80,   5.76E-010, 
 32.90,   2.29E-010, 
 33.00,   1.71E-010, 
 33.10,   1.24E-010, 
 33.20,   5.96E-011, 
 33.30,   7.70E-011, 
 33.40,   4.22E-011, 
 33.50,   1.06E-011, 
 33.60,  -2.80E-011, 
 33.70,  -4.22E-011, 
 33.80,   3.11E-012, 
 33.90,   5.16E-011, 
 34.00,   8.20E-011, 
 34.10,   1.37E-010, 
 34.20,   2.00E-010, 
 34.30,   2.06E-010, 
 34.40,   1.51E-010, 
 34.50,   8.88E-011, 
 34.60,   3.66E-011, 
 34.70,   3.91E-011, 
 34.80,   8.01E-011, 
 34.90,   1.43E-011, 
 35.00,   2.30E-011, 
 35.10,  -3.11E-011, 
 35.20,  -1.06E-011, 
 35.30,  -1.86E-011, 
 35.40,  -5.59E-011, 
 35.50,  -2.24E-011, 
 35.60,  -3.79E-011, 
 35.70,  -4.91E-011, 
 35.80,  -5.96E-011, 
 35.90,   2.61E-011, 
 36.00,   1.80E-010, 
 36.10,   3.14E-010, 
 36.20,   3.58E-010, 
 36.30,   3.69E-010, 
 36.40,   2.32E-010, 
 36.50,   1.68E-010, 
 36.60,   7.27E-011, 
 36.70,  -3.11E-012, 
 36.80,  -2.80E-011, 
 36.90,   2.17E-011, 
 37.00,   1.52E-010, 
 37.10,   3.50E-010, 
 37.20,   4.22E-010, 
 37.30,   4.33E-010, 
 37.40,   3.57E-010, 
 37.50,   1.55E-010, 
 37.60,   4.84E-011, 
 37.70,   1.06E-011, 
 37.80,   3.66E-011, 
 37.90,   1.75E-010, 
 38.00,   4.24E-010, 
 38.10,   8.91E-010, 
 38.20,   1.08E-009, 
 38.30,   1.05E-009, 
 38.40,   7.70E-010, 
 38.50,   2.91E-010, 
 38.60,   2.36E-010, 
