Jan 19, 2018  03:02:31 PM
Residual Gas Analyzer Software 
Software Version, 3.101.209

Analog Scan Setup:

Data Points in Scan, 641 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 65, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.61E-004 
Filament Current, 1.00, mAmps


  1.00,   1.62E-008, 
  1.10,   1.69E-008, 
  1.20,   1.03E-007, 
  1.30,   3.95E-007, 
  1.40,   3.01E-007, 
  1.50,   2.97E-007, 
  1.60,   3.43E-007, 
  1.70,   3.61E-007, 
  1.80,   3.66E-007, 
  1.90,   3.60E-007, 
  2.00,   3.26E-007, 
  2.10,   3.13E-007, 
  2.20,   2.77E-007, 
  2.30,   2.09E-007, 
  2.40,   1.37E-007, 
  2.50,   2.86E-008, 
  2.60,   1.01E-008, 
  2.70,   6.66E-009, 
  2.80,   5.36E-009, 
  2.90,   4.76E-009, 
  3.00,   4.18E-009, 
  3.10,   3.84E-009, 
  3.20,   3.49E-009, 
  3.30,   3.19E-009, 
  3.40,   2.91E-009, 
  3.50,   2.69E-009, 
  3.60,   2.52E-009, 
  3.70,   2.33E-009, 
  3.80,   2.22E-009, 
  3.90,   2.10E-009, 
  4.00,   1.95E-009, 
  4.10,   1.73E-009, 
  4.20,   1.58E-009, 
  4.30,   1.45E-009, 
  4.40,   1.37E-009, 
  4.50,   1.35E-009, 
  4.60,   1.29E-009, 
  4.70,   1.23E-009, 
  4.80,   1.14E-009, 
  4.90,   1.06E-009, 
  5.00,   1.06E-009, 
  5.10,   9.48E-010, 
  5.20,   9.83E-010, 
  5.30,   9.19E-010, 
  5.40,   8.80E-010, 
  5.50,   8.50E-010, 
  5.60,   8.52E-010, 
  5.70,   6.68E-010, 
  5.80,   5.52E-010, 
  5.90,   6.01E-010, 
  6.00,   8.17E-010, 
  6.10,   5.37E-010, 
  6.20,   7.30E-010, 
  6.30,   8.46E-010, 
  6.40,   5.93E-010, 
  6.50,   4.59E-010, 
  6.60,   4.32E-010, 
  6.70,   4.45E-010, 
  6.80,   4.57E-010, 
  6.90,   5.48E-010, 
  7.00,   5.63E-010, 
  7.10,   5.60E-010, 
  7.20,   5.25E-010, 
  7.30,   4.94E-010, 
  7.40,   4.47E-010, 
  7.50,   4.15E-010, 
  7.60,   3.87E-010, 
  7.70,   3.96E-010, 
  7.80,   3.84E-010, 
  7.90,   3.78E-010, 
  8.00,   3.73E-010, 
  8.10,   4.07E-010, 
  8.20,   3.99E-010, 
  8.30,   3.80E-010, 
  8.40,   4.29E-010, 
  8.50,   3.17E-010, 
  8.60,   3.55E-010, 
  8.70,   3.19E-010, 
  8.80,   3.34E-010, 
  8.90,   3.60E-010, 
  9.00,   2.97E-010, 
  9.10,   2.65E-010, 
  9.20,   2.91E-010, 
  9.30,   2.83E-010, 
  9.40,   2.83E-010, 
  9.50,   2.24E-010, 
  9.60,   2.49E-010, 
  9.70,   2.55E-010, 
  9.80,   3.27E-010, 
  9.90,   3.64E-010, 
 10.00,   3.26E-010, 
 10.10,   3.37E-010, 
 10.20,   3.53E-010, 
 10.30,   3.40E-010, 
 10.40,   2.78E-010, 
 10.50,   2.63E-010, 
 10.60,   2.38E-010, 
 10.70,   1.96E-010, 
 10.80,   1.81E-010, 
 10.90,   1.71E-010, 
 11.00,   1.99E-010, 
 11.10,   1.87E-010, 
 11.20,   2.30E-010, 
 11.30,   3.60E-010, 
 11.40,   4.52E-010, 
 11.50,   8.70E-010, 
 11.60,   2.29E-009, 
 11.70,   5.56E-009, 
 11.80,   8.64E-009, 
 11.90,   1.19E-008, 
 12.00,   1.41E-008, 
 12.10,   1.51E-008, 
 12.20,   1.39E-008, 
 12.30,   1.15E-008, 
 12.40,   6.60E-009, 
 12.50,   3.54E-009, 
 12.60,   2.40E-009, 
 12.70,   2.16E-009, 
 12.80,   2.19E-009, 
 12.90,   2.48E-009, 
 13.00,   2.68E-009, 
 13.10,   2.84E-009, 
 13.20,   2.85E-009, 
 13.30,   2.65E-009, 
 13.40,   2.05E-009, 
 13.50,   1.61E-009, 
 13.60,   2.08E-009, 
 13.70,   4.40E-009, 
 13.80,   7.08E-009, 
 13.90,   9.41E-009, 
 14.00,   1.13E-008, 
 14.10,   1.22E-008, 
 14.20,   1.18E-008, 
 14.30,   1.03E-008, 
 14.40,   6.49E-009, 
 14.50,   3.82E-009, 
 14.60,   3.00E-009, 
 14.70,   4.31E-009, 
 14.80,   6.50E-009, 
 14.90,   8.52E-009, 
 15.00,   1.01E-008, 
 15.10,   1.12E-008, 
 15.20,   1.10E-008, 
 15.30,   9.92E-009, 
 15.40,   7.07E-009, 
 15.50,   5.14E-009, 
 15.60,   7.97E-009, 
 15.70,   2.53E-008, 
 15.80,   4.38E-008, 
 15.90,   5.48E-008, 
 16.00,   5.68E-008, 
 16.10,   6.05E-008, 
 16.20,   5.25E-008, 
 16.30,   4.16E-008, 
 16.40,   1.86E-008, 
 16.50,   1.71E-008, 
 16.60,   6.47E-008, 
 16.70,   2.46E-007, 
 16.80,   3.32E-007, 
 16.90,   3.90E-007, 
 17.00,   3.77E-007, 
 17.10,   4.09E-007, 
 17.20,   3.38E-007, 
 17.30,   2.37E-007, 
 17.40,   4.98E-008, 
 17.50,   5.95E-008, 
 17.60,   2.64E-007, 
 17.70,   9.62E-007, 
 17.80,   1.34E-006, 
 17.90,   1.57E-006, 
 18.00,   1.50E-006, 
 18.10,   1.65E-006, 
 18.20,   1.36E-006, 
 18.30,   9.38E-007, 
 18.40,   7.06E-008, 
 18.50,   1.16E-008, 
 18.60,   5.30E-009, 
 18.70,   3.68E-009, 
 18.80,   3.68E-009, 
 18.90,   4.21E-009, 
 19.00,   4.56E-009, 
 19.10,   4.81E-009, 
 19.20,   4.85E-009, 
 19.30,   4.54E-009, 
 19.40,   3.02E-009, 
 19.50,   1.71E-009, 
 19.60,   1.12E-009, 
 19.70,   1.15E-009, 
 19.80,   1.69E-009, 
 19.90,   2.36E-009, 
 20.00,   2.73E-009, 
 20.10,   3.09E-009, 
 20.20,   3.11E-009, 
 20.30,   2.94E-009, 
 20.40,   1.94E-009, 
 20.50,   1.18E-009, 
 20.60,   5.63E-010, 
 20.70,   2.72E-010, 
 20.80,   1.35E-010, 
 20.90,   5.84E-011, 
 21.00,   3.29E-011, 
 21.10,   1.43E-011, 
 21.20,  -5.78E-011, 
 21.30,  -8.26E-011, 
 21.40,  -7.64E-011, 
 21.50,  -3.60E-011, 
 21.60,   1.37E-011, 
 21.70,   1.39E-010, 
 21.80,   4.73E-010, 
 21.90,   1.05E-009, 
 22.00,   1.30E-009, 
 22.10,   1.40E-009, 
 22.20,   1.40E-009, 
 22.30,   1.35E-009, 
 22.40,   8.53E-010, 
 22.50,   3.12E-010, 
 22.60,   2.15E-010, 
 22.70,   1.21E-010, 
 22.80,   7.70E-011, 
 22.90,   6.58E-011, 
 23.00,   9.94E-011, 
 23.10,   6.52E-011, 
 23.20,  -5.09E-011, 
 23.30,  -1.37E-011, 
 23.40,  -1.86E-011, 
 23.50,  -5.96E-011, 
 23.60,   1.61E-011, 
 23.70,   9.32E-012, 
 23.80,   1.66E-010, 
 23.90,   3.15E-010, 
 24.00,   3.94E-010, 
 24.10,   4.53E-010, 
 24.20,   4.04E-010, 
 24.30,   3.71E-010, 
 24.40,   2.25E-010, 
 24.50,   1.98E-010, 
 24.60,   1.29E-010, 
 24.70,   1.17E-010, 
 24.80,   4.42E-010, 
 24.90,   1.14E-009, 
 25.00,   1.42E-009, 
 25.10,   1.57E-009, 
 25.20,   1.58E-009, 
 25.30,   1.45E-009, 
 25.40,   1.01E-009, 
 25.50,   4.78E-010, 
 25.60,   3.86E-010, 
 25.70,   8.99E-010, 
 25.80,   2.09E-009, 
 25.90,   4.30E-009, 
 26.00,   5.99E-009, 
 26.10,   6.98E-009, 
 26.20,   7.18E-009, 
 26.30,   6.70E-009, 
 26.40,   4.26E-009, 
 26.50,   2.51E-009, 
 26.60,   1.74E-009, 
 26.70,   1.76E-009, 
 26.80,   3.37E-009, 
 26.90,   7.44E-009, 
 27.00,   1.09E-008, 
 27.10,   1.33E-008, 
 27.20,   1.32E-008, 
 27.30,   1.21E-008, 
 27.40,   7.65E-009, 
 27.50,   5.71E-009, 
 27.60,   7.49E-009, 
 27.70,   2.04E-008, 
 27.80,   1.04E-007, 
 27.90,   1.97E-007, 
 28.00,   1.97E-007, 
 28.10,   2.01E-007, 
 28.20,   1.78E-007, 
 28.30,   1.09E-007, 
 28.40,   1.96E-008, 
 28.50,   6.83E-009, 
 28.60,   4.04E-009, 
 28.70,   3.47E-009, 
 28.80,   5.73E-009, 
 28.90,   1.39E-008, 
 29.00,   2.12E-008, 
 29.10,   2.45E-008, 
 29.20,   2.30E-008, 
 29.30,   1.91E-008, 
 29.40,   8.44E-009, 
 29.50,   4.09E-009, 
 29.60,   2.42E-009, 
 29.70,   1.73E-009, 
 29.80,   2.20E-009, 
 29.90,   4.44E-009, 
 30.00,   6.38E-009, 
 30.10,   7.79E-009, 
 30.20,   7.88E-009, 
 30.30,   7.15E-009, 
 30.40,   4.38E-009, 
 30.50,   2.44E-009, 
 30.60,   1.42E-009, 
 30.70,   9.60E-010, 
 30.80,   9.09E-010, 
 30.90,   1.59E-009, 
 31.00,   2.57E-009, 
 31.10,   3.39E-009, 
 31.20,   3.63E-009, 
 31.30,   3.49E-009, 
 31.40,   2.40E-009, 
 31.50,   1.51E-009, 
 31.60,   1.22E-009, 
 31.70,   1.48E-009, 
 31.80,   3.45E-009, 
 31.90,   1.03E-008, 
 32.00,   1.69E-008, 
 32.10,   2.11E-008, 
 32.20,   2.01E-008, 
 32.30,   1.50E-008, 
 32.40,   6.48E-009, 
 32.50,   3.29E-009, 
 32.60,   1.82E-009, 
 32.70,   1.08E-009, 
 32.80,   5.68E-010, 
 32.90,   3.45E-010, 
 33.00,   3.41E-010, 
 33.10,   2.84E-010, 
 33.20,   2.45E-010, 
 33.30,   2.52E-010, 
 33.40,   1.40E-010, 
 33.50,   3.17E-011, 
 33.60,   3.04E-011, 
 33.70,   5.09E-011, 
 33.80,  -1.49E-011, 
 33.90,   6.52E-011, 
 34.00,   2.01E-010, 
 34.10,   2.49E-010, 
 34.20,   2.60E-010, 
 34.30,   3.45E-010, 
 34.40,   2.78E-010, 
 34.50,   1.80E-010, 
 34.60,   1.52E-010, 
 34.70,   7.52E-011, 
 34.80,   4.29E-011, 
 34.90,   7.70E-011, 
 35.00,  -2.48E-012, 
 35.10,  -3.48E-011, 
 35.20,   5.65E-011, 
 35.30,   3.35E-011, 
 35.40,  -3.79E-011, 
 35.50,  -6.77E-011, 
 35.60,  -1.86E-011, 
 35.70,   2.48E-011, 
 35.80,   7.58E-011, 
 35.90,   2.49E-010, 
 36.00,   3.81E-010, 
 36.10,   4.70E-010, 
 36.20,   4.88E-010, 
 36.30,   4.56E-010, 
 36.40,   2.99E-010, 
 36.50,   1.74E-010, 
 36.60,   6.71E-011, 
 36.70,  -1.12E-011, 
 36.80,   5.59E-012, 
 36.90,   1.22E-010, 
 37.00,   4.07E-010, 
 37.10,   5.85E-010, 
 37.20,   8.48E-010, 
 37.30,   8.48E-010, 
 37.40,   3.40E-010, 
 37.50,   2.60E-010, 
 37.60,   1.23E-010, 
 37.70,   1.14E-010, 
 37.80,   1.61E-010, 
 37.90,   3.03E-010, 
 38.00,   6.50E-010, 
 38.10,   1.18E-009, 
 38.20,   1.30E-009, 
 38.30,   1.28E-009, 
 38.40,   9.71E-010, 
 38.50,   4.53E-010, 
 38.60,   4.08E-010, 
 38.70,   3.86E-010, 
 38.80,   4.07E-010, 
