Jan 19, 2018  03:14:27 PM
Residual Gas Analyzer Software 
Software Version, 3.101.209

Analog Scan Setup:

Data Points in Scan, 641 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 65, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.61E-004 
Filament Current, 1.00, mAmps


  1.00,   9.80E-009, 
  1.10,   1.02E-008, 
  1.20,   5.78E-008, 
  1.30,   2.16E-007, 
  1.40,   1.40E-007, 
  1.50,   1.60E-007, 
  1.60,   2.12E-007, 
  1.70,   2.28E-007, 
  1.80,   2.35E-007, 
  1.90,   2.23E-007, 
  2.00,   2.11E-007, 
  2.10,   1.89E-007, 
  2.20,   1.73E-007, 
  2.30,   1.30E-007, 
  2.40,   7.21E-008, 
  2.50,   1.74E-008, 
  2.60,   7.70E-009, 
  2.70,   5.23E-009, 
  2.80,   4.06E-009, 
  2.90,   3.39E-009, 
  3.00,   2.91E-009, 
  3.10,   2.62E-009, 
  3.20,   2.33E-009, 
  3.30,   2.07E-009, 
  3.40,   1.94E-009, 
  3.50,   1.84E-009, 
  3.60,   1.69E-009, 
  3.70,   1.55E-009, 
  3.80,   1.33E-009, 
  3.90,   1.30E-009, 
  4.00,   1.09E-009, 
  4.10,   1.07E-009, 
  4.20,   9.51E-010, 
  4.30,   9.64E-010, 
  4.40,   9.73E-010, 
  4.50,   8.60E-010, 
  4.60,   7.80E-010, 
  4.70,   5.33E-010, 
  4.80,   4.68E-010, 
  4.90,   4.75E-010, 
  5.00,   5.35E-010, 
  5.10,   5.78E-010, 
  5.20,   7.75E-010, 
  5.30,   4.85E-010, 
  5.40,   5.34E-010, 
  5.50,   5.57E-010, 
  5.60,   5.19E-010, 
  5.70,   5.20E-010, 
  5.80,   4.17E-010, 
  5.90,   4.39E-010, 
  6.00,   4.35E-010, 
  6.10,   4.11E-010, 
  6.20,   4.60E-010, 
  6.30,   3.03E-010, 
  6.40,   2.74E-010, 
  6.50,   2.77E-010, 
  6.60,   2.29E-010, 
  6.70,   2.37E-010, 
  6.80,   1.87E-010, 
  6.90,   2.78E-010, 
  7.00,   1.99E-010, 
  7.10,   2.22E-010, 
  7.20,   2.81E-010, 
  7.30,   2.57E-010, 
  7.40,   2.94E-010, 
  7.50,   2.83E-010, 
  7.60,   2.65E-010, 
  7.70,   1.94E-010, 
  7.80,   1.57E-010, 
  7.90,   1.42E-010, 
  8.00,   1.45E-010, 
  8.10,   1.63E-010, 
  8.20,   1.68E-010, 
  8.30,   2.42E-010, 
  8.40,   2.20E-010, 
  8.50,   2.01E-010, 
  8.60,   2.47E-010, 
  8.70,   1.29E-010, 
  8.80,   1.11E-010, 
  8.90,   1.59E-010, 
  9.00,   1.06E-010, 
  9.10,   1.98E-010, 
  9.20,   2.19E-010, 
  9.30,   1.55E-010, 
  9.40,   2.23E-010, 
  9.50,   2.11E-010, 
  9.60,   2.37E-010, 
  9.70,   2.16E-010, 
  9.80,   1.63E-010, 
  9.90,   2.27E-010, 
 10.00,   1.81E-010, 
 10.10,   9.75E-011, 
 10.20,   1.39E-010, 
 10.30,   9.75E-011, 
 10.40,   8.01E-011, 
 10.50,   1.84E-010, 
 10.60,   1.96E-010, 
 10.70,   2.88E-010, 
 10.80,   2.30E-010, 
 10.90,   2.28E-010, 
 11.00,   1.98E-010, 
 11.10,   2.12E-010, 
 11.20,   1.99E-010, 
 11.30,   2.45E-010, 
 11.40,   3.17E-010, 
 11.50,   7.27E-010, 
 11.60,   1.83E-009, 
 11.70,   3.70E-009, 
 11.80,   5.41E-009, 
 11.90,   7.03E-009, 
 12.00,   8.10E-009, 
 12.10,   8.66E-009, 
 12.20,   8.14E-009, 
 12.30,   6.75E-009, 
 12.40,   4.01E-009, 
 12.50,   2.38E-009, 
 12.60,   1.70E-009, 
 12.70,   1.51E-009, 
 12.80,   1.40E-009, 
 12.90,   1.51E-009, 
 13.00,   1.61E-009, 
 13.10,   1.70E-009, 
 13.20,   1.64E-009, 
 13.30,   1.48E-009, 
 13.40,   1.12E-009, 
 13.50,   1.02E-009, 
 13.60,   1.41E-009, 
 13.70,   2.85E-009, 
 13.80,   4.38E-009, 
 13.90,   5.63E-009, 
 14.00,   6.50E-009, 
 14.10,   7.06E-009, 
 14.20,   6.83E-009, 
 14.30,   5.87E-009, 
 14.40,   3.69E-009, 
 14.50,   2.35E-009, 
 14.60,   1.93E-009, 
 14.70,   2.79E-009, 
 14.80,   3.94E-009, 
 14.90,   4.96E-009, 
 15.00,   5.64E-009, 
 15.10,   6.23E-009, 
 15.20,   6.13E-009, 
 15.30,   5.60E-009, 
 15.40,   3.87E-009, 
 15.50,   3.18E-009, 
 15.60,   5.52E-009, 
 15.70,   1.52E-008, 
 15.80,   2.57E-008, 
 15.90,   3.16E-008, 
 16.00,   3.35E-008, 
 16.10,   3.50E-008, 
 16.20,   3.12E-008, 
 16.30,   2.27E-008, 
 16.40,   1.09E-008, 
 16.50,   1.14E-008, 
 16.60,   4.68E-008, 
 16.70,   1.65E-007, 
 16.80,   2.11E-007, 
 16.90,   2.35E-007, 
 17.00,   2.36E-007, 
 17.10,   2.40E-007, 
 17.20,   2.02E-007, 
 17.30,   1.10E-007, 
 17.40,   2.76E-008, 
 17.50,   3.93E-008, 
 17.60,   1.98E-007, 
 17.70,   6.61E-007, 
 17.80,   8.68E-007, 
 17.90,   9.50E-007, 
 18.00,   9.39E-007, 
 18.10,   9.60E-007, 
 18.20,   8.12E-007, 
 18.30,   3.83E-007, 
 18.40,   2.66E-008, 
 18.50,   7.61E-009, 
 18.60,   3.95E-009, 
 18.70,   2.63E-009, 
 18.80,   2.30E-009, 
 18.90,   2.26E-009, 
 19.00,   2.23E-009, 
 19.10,   2.29E-009, 
 19.20,   2.21E-009, 
 19.30,   1.92E-009, 
 19.40,   1.29E-009, 
 19.50,   7.73E-010, 
 19.60,   3.35E-010, 
 19.70,   5.83E-010, 
 19.80,   1.18E-009, 
 19.90,   1.56E-009, 
 20.00,   1.74E-009, 
 20.10,   1.85E-009, 
 20.20,   1.88E-009, 
 20.30,   1.65E-009, 
 20.40,   1.02E-009, 
 20.50,   4.32E-010, 
 20.60,   1.97E-010, 
 20.70,   8.94E-011, 
 20.80,   7.39E-011, 
 20.90,   1.04E-010, 
 21.00,   7.89E-011, 
 21.10,   4.29E-011, 
 21.20,   2.98E-011, 
 21.30,   1.30E-011, 
 21.40,   1.99E-011, 
 21.50,  -9.94E-012, 
 21.60,   6.89E-011, 
 21.70,   2.04E-010, 
 21.80,   4.19E-010, 
 21.90,   6.14E-010, 
 22.00,   9.03E-010, 
 22.10,   8.80E-010, 
 22.20,   7.83E-010, 
 22.30,   5.39E-010, 
 22.40,   2.49E-010, 
 22.50,   1.76E-010, 
 22.60,   6.65E-011, 
 22.70,  -6.83E-012, 
 22.80,  -2.05E-011, 
 22.90,   0.00E+000, 
 23.00,  -6.83E-012, 
 23.10,  -1.06E-011, 
 23.20,  -3.29E-011, 
 23.30,  -5.03E-011, 
 23.40,  -9.63E-011, 
 23.50,  -7.39E-011, 
 23.60,  -1.68E-011, 
 23.70,   8.07E-012, 
 23.80,   8.01E-011, 
 23.90,   1.53E-010, 
 24.00,   1.69E-010, 
 24.10,   2.58E-010, 
 24.20,   2.83E-010, 
 24.30,   2.16E-010, 
 24.40,   9.13E-011, 
 24.50,   3.29E-011, 
 24.60,   2.86E-011, 
 24.70,   5.40E-011, 
 24.80,   2.78E-010, 
 24.90,   4.53E-010, 
 25.00,   7.01E-010, 
 25.10,   8.57E-010, 
 25.20,   8.48E-010, 
 25.30,   7.55E-010, 
 25.40,   2.87E-010, 
 25.50,   2.28E-010, 
 25.60,   2.53E-010, 
 25.70,   4.72E-010, 
 25.80,   1.37E-009, 
 25.90,   2.52E-009, 
 26.00,   3.37E-009, 
 26.10,   3.83E-009, 
 26.20,   3.80E-009, 
 26.30,   3.42E-009, 
 26.40,   2.11E-009, 
 26.50,   1.28E-009, 
 26.60,   9.49E-010, 
 26.70,   1.02E-009, 
 26.80,   2.16E-009, 
 26.90,   4.32E-009, 
 27.00,   5.80E-009, 
 27.10,   6.72E-009, 
 27.20,   6.86E-009, 
 27.30,   6.10E-009, 
 27.40,   4.13E-009, 
 27.50,   3.60E-009, 
 27.60,   5.03E-009, 
 27.70,   1.32E-008, 
 27.80,   7.01E-008, 
 27.90,   1.18E-007, 
 28.00,   1.24E-007, 
 28.10,   1.11E-007, 
 28.20,   1.02E-007, 
 28.30,   4.70E-008, 
 28.40,   1.08E-008, 
 28.50,   5.01E-009, 
 28.60,   3.10E-009, 
 28.70,   2.55E-009, 
 28.80,   4.06E-009, 
 28.90,   7.58E-009, 
 29.00,   1.03E-008, 
 29.10,   1.19E-008, 
 29.20,   1.15E-008, 
 29.30,   8.73E-009, 
 29.40,   4.59E-009, 
 29.50,   2.58E-009, 
 29.60,   1.58E-009, 
 29.70,   1.18E-009, 
 29.80,   1.54E-009, 
 29.90,   2.78E-009, 
 30.00,   3.96E-009, 
 30.10,   4.62E-009, 
 30.20,   4.65E-009, 
 30.30,   3.90E-009, 
 30.40,   2.37E-009, 
 30.50,   1.36E-009, 
 30.60,   8.78E-010, 
 30.70,   4.83E-010, 
 30.80,   5.15E-010, 
 30.90,   1.17E-009, 
 31.00,   1.51E-009, 
 31.10,   1.88E-009, 
 31.20,   1.96E-009, 
 31.30,   1.83E-009, 
 31.40,   1.24E-009, 
 31.50,   8.32E-010, 
 31.60,   6.55E-010, 
 31.70,   1.21E-009, 
 31.80,   3.16E-009, 
 31.90,   7.58E-009, 
 32.00,   1.17E-008, 
 32.10,   1.35E-008, 
 32.20,   1.35E-008, 
 32.30,   8.67E-009, 
 32.40,   4.27E-009, 
 32.50,   2.37E-009, 
 32.60,   1.43E-009, 
 32.70,   8.65E-010, 
 32.80,   3.17E-010, 
 32.90,   1.98E-010, 
 33.00,   1.71E-010, 
 33.10,   1.55E-010, 
 33.20,   8.45E-011, 
 33.30,   7.33E-011, 
 33.40,   2.05E-011, 
 33.50,   7.45E-012, 
 33.60,   7.02E-011, 
 33.70,   1.55E-011, 
 33.80,   1.09E-010, 
 33.90,   1.35E-010, 
 34.00,   1.53E-010, 
 34.10,   1.45E-010, 
 34.20,   9.32E-011, 
 34.30,   9.50E-011, 
 34.40,   2.48E-011, 
 34.50,  -5.90E-011, 
 34.60,  -6.89E-011, 
 34.70,  -5.03E-011, 
 34.80,  -8.07E-011, 
 34.90,  -8.07E-011, 
 35.00,  -9.01E-011, 
 35.10,  -3.73E-011, 
 35.20,  -2.92E-011, 
 35.30,  -1.24E-012, 
 35.40,   2.55E-011, 
 35.50,   3.79E-011, 
 35.60,   1.37E-011, 
 35.70,   2.11E-011, 
 35.80,   5.71E-011, 
 35.90,   1.91E-010, 
 36.00,   2.60E-010, 
 36.10,   3.39E-010, 
 36.20,   3.48E-010, 
 36.30,   2.52E-010, 
 36.40,   1.08E-010, 
 36.50,  -3.48E-011, 
 36.60,   6.21E-012, 
 36.70,   4.66E-011, 
 36.80,   2.73E-011, 
 36.90,   1.31E-010, 
 37.00,   2.66E-010, 
 37.10,   3.39E-010, 
 37.20,   4.14E-010, 
 37.30,   3.54E-010, 
 37.40,   2.46E-010, 
 37.50,   1.35E-010, 
 37.60,   3.23E-011, 
 37.70,  -1.49E-011, 
 37.80,   2.80E-011, 
 37.90,   2.28E-010, 
 38.00,   3.97E-010, 
 38.10,   5.79E-010, 
 38.20,   8.29E-010, 
 38.30,   6.21E-010, 
 38.40,   2.10E-010, 
 38.50,   1.42E-010, 
 38.60,   1.20E-010, 
 38.70,   1.22E-010, 
