Jan 19, 2018  03:17:30 PM
Residual Gas Analyzer Software 
Software Version, 3.101.209

Analog Scan Setup:

Data Points in Scan, 641 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 65, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.61E-004 
Filament Current, 1.00, mAmps


  1.00,   9.12E-009, 
  1.10,   9.30E-009, 
  1.20,   3.53E-008, 
  1.30,   2.07E-007, 
  1.40,   1.78E-007, 
  1.50,   1.59E-007, 
  1.60,   1.87E-007, 
  1.70,   2.07E-007, 
  1.80,   2.13E-007, 
  1.90,   2.16E-007, 
  2.00,   1.94E-007, 
  2.10,   1.89E-007, 
  2.20,   1.65E-007, 
  2.30,   1.30E-007, 
  2.40,   8.99E-008, 
  2.50,   2.42E-008, 
  2.60,   8.68E-009, 
  2.70,   5.44E-009, 
  2.80,   4.07E-009, 
  2.90,   3.36E-009, 
  3.00,   2.88E-009, 
  3.10,   2.54E-009, 
  3.20,   2.21E-009, 
  3.30,   2.01E-009, 
  3.40,   1.82E-009, 
  3.50,   1.66E-009, 
  3.60,   1.52E-009, 
  3.70,   1.34E-009, 
  3.80,   1.26E-009, 
  3.90,   1.09E-009, 
  4.00,   1.05E-009, 
  4.10,   1.03E-009, 
  4.20,   9.80E-010, 
  4.30,   8.96E-010, 
  4.40,   8.27E-010, 
  4.50,   6.55E-010, 
  4.60,   4.58E-010, 
  4.70,   5.62E-010, 
  4.80,   7.61E-010, 
  4.90,   5.46E-010, 
  5.00,   4.35E-010, 
  5.10,   4.66E-010, 
  5.20,   4.88E-010, 
  5.30,   4.31E-010, 
  5.40,   4.53E-010, 
  5.50,   4.39E-010, 
  5.60,   4.47E-010, 
  5.70,   4.59E-010, 
  5.80,   4.12E-010, 
  5.90,   4.06E-010, 
  6.00,   3.23E-010, 
  6.10,   3.39E-010, 
  6.20,   3.26E-010, 
  6.30,   2.91E-010, 
  6.40,   2.71E-010, 
  6.50,   2.35E-010, 
  6.60,   2.41E-010, 
  6.70,   1.65E-010, 
  6.80,   2.17E-010, 
  6.90,   1.53E-010, 
  7.00,   1.19E-010, 
  7.10,   1.30E-010, 
  7.20,   1.52E-010, 
  7.30,   2.29E-010, 
  7.40,   1.74E-010, 
  7.50,   1.55E-010, 
  7.60,   1.38E-010, 
  7.70,   1.58E-010, 
  7.80,   1.91E-010, 
  7.90,   2.16E-010, 
  8.00,   2.12E-010, 
  8.10,   1.80E-010, 
  8.20,   2.12E-010, 
  8.30,   2.48E-010, 
  8.40,   2.47E-010, 
  8.50,   2.24E-010, 
  8.60,   1.96E-010, 
  8.70,   1.69E-010, 
  8.80,   1.45E-010, 
  8.90,   2.04E-010, 
  9.00,   1.83E-010, 
  9.10,   1.77E-010, 
  9.20,   1.72E-010, 
  9.30,   2.19E-010, 
  9.40,   1.70E-010, 
  9.50,   1.81E-010, 
  9.60,   1.73E-010, 
  9.70,   1.91E-010, 
  9.80,   1.63E-010, 
  9.90,   2.01E-010, 
 10.00,   2.11E-010, 
 10.10,   2.70E-010, 
 10.20,   2.47E-010, 
 10.30,   2.35E-010, 
 10.40,   2.05E-010, 
 10.50,   1.42E-010, 
 10.60,   9.75E-011, 
 10.70,   1.55E-010, 
 10.80,   1.92E-010, 
 10.90,   1.72E-010, 
 11.00,   1.65E-010, 
 11.10,   1.69E-010, 
 11.20,   1.75E-010, 
 11.30,   1.80E-010, 
 11.40,   1.67E-010, 
 11.50,   3.15E-010, 
 11.60,   1.16E-009, 
 11.70,   2.97E-009, 
 11.80,   4.56E-009, 
 11.90,   6.06E-009, 
 12.00,   7.18E-009, 
 12.10,   7.81E-009, 
 12.20,   7.67E-009, 
 12.30,   6.65E-009, 
 12.40,   4.23E-009, 
 12.50,   2.37E-009, 
 12.60,   1.50E-009, 
 12.70,   1.29E-009, 
 12.80,   1.28E-009, 
 12.90,   1.37E-009, 
 13.00,   1.50E-009, 
 13.10,   1.54E-009, 
 13.20,   1.52E-009, 
 13.30,   1.39E-009, 
 13.40,   1.06E-009, 
 13.50,   8.86E-010, 
 13.60,   1.05E-009, 
 13.70,   2.21E-009, 
 13.80,   3.59E-009, 
 13.90,   4.85E-009, 
 14.00,   5.73E-009, 
 14.10,   6.40E-009, 
 14.20,   6.41E-009, 
 14.30,   5.77E-009, 
 14.40,   3.95E-009, 
 14.50,   2.46E-009, 
 14.60,   1.89E-009, 
 14.70,   2.29E-009, 
 14.80,   3.32E-009, 
 14.90,   4.28E-009, 
 15.00,   5.06E-009, 
 15.10,   5.60E-009, 
 15.20,   5.69E-009, 
 15.30,   5.24E-009, 
 15.40,   3.96E-009, 
 15.50,   2.90E-009, 
 15.60,   3.83E-009, 
 15.70,   1.06E-008, 
 15.80,   2.10E-008, 
 15.90,   2.81E-008, 
 16.00,   3.02E-008, 
 16.10,   3.24E-008, 
 16.20,   2.94E-008, 
 16.30,   2.37E-008, 
 16.40,   1.13E-008, 
 16.50,   9.00E-009, 
 16.60,   2.41E-008, 
 16.70,   1.25E-007, 
 16.80,   1.86E-007, 
 16.90,   2.16E-007, 
 17.00,   2.13E-007, 
 17.10,   2.33E-007, 
 17.20,   1.94E-007, 
 17.30,   1.33E-007, 
 17.40,   3.10E-008, 
 17.50,   2.84E-008, 
 17.60,   1.07E-007, 
 17.70,   5.08E-007, 
 17.80,   7.65E-007, 
 17.90,   8.78E-007, 
 18.00,   8.46E-007, 
 18.10,   9.30E-007, 
 18.20,   7.77E-007, 
 18.30,   4.89E-007, 
 18.40,   4.30E-008, 
 18.50,   9.10E-009, 
 18.60,   4.31E-009, 
 18.70,   2.62E-009, 
 18.80,   2.12E-009, 
 18.90,   1.93E-009, 
 19.00,   1.94E-009, 
 19.10,   1.96E-009, 
 19.20,   1.91E-009, 
 19.30,   1.75E-009, 
 19.40,   1.23E-009, 
 19.50,   6.05E-010, 
 19.60,   2.37E-010, 
 19.70,   3.52E-010, 
 19.80,   9.02E-010, 
 19.90,   1.21E-009, 
 20.00,   1.34E-009, 
 20.10,   1.53E-009, 
 20.20,   1.59E-009, 
 20.30,   1.43E-009, 
 20.40,   9.63E-010, 
 20.50,   2.54E-010, 
 20.60,   3.17E-011, 
 20.70,   3.04E-011, 
 20.80,  -3.17E-011, 
 20.90,  -7.83E-011, 
 21.00,  -4.35E-012, 
 21.10,  -7.39E-011, 
 21.20,  -7.64E-011, 
 21.30,  -7.02E-011, 
 21.40,  -1.46E-010, 
 21.50,  -1.29E-010, 
 21.60,  -1.40E-010, 
 21.70,  -2.55E-011, 
 21.80,   2.23E-010, 
 21.90,   4.70E-010, 
 22.00,   8.07E-010, 
 22.10,   8.01E-010, 
 22.20,   6.42E-010, 
 22.30,   3.27E-010, 
 22.40,   2.42E-010, 
 22.50,   1.27E-010, 
 22.60,   7.70E-011, 
 22.70,   6.83E-011, 
 22.80,   4.35E-012, 
 22.90,  -7.83E-011, 
 23.00,  -4.10E-011, 
 23.10,  -9.32E-011, 
 23.20,  -1.52E-010, 
 23.30,  -1.25E-010, 
 23.40,  -1.29E-010, 
 23.50,  -1.71E-010, 
 23.60,  -1.69E-010, 
 23.70,  -1.22E-010, 
 23.80,  -3.35E-011, 
 23.90,   9.01E-011, 
 24.00,   1.26E-010, 
 24.10,   1.06E-010, 
 24.20,   1.12E-010, 
 24.30,   1.07E-010, 
 24.40,   1.12E-011, 
 24.50,  -2.98E-011, 
 24.60,  -3.60E-011, 
 24.70,   3.54E-011, 
 24.80,   1.71E-010, 
 24.90,   3.83E-010, 
 25.00,   4.81E-010, 
 25.10,   8.08E-010, 
 25.20,   8.24E-010, 
 25.30,   7.10E-010, 
 25.40,   2.73E-010, 
 25.50,   1.80E-010, 
 25.60,   9.94E-011, 
 25.70,   2.22E-010, 
 25.80,   9.40E-010, 
 25.90,   2.03E-009, 
 26.00,   2.84E-009, 
 26.10,   3.31E-009, 
 26.20,   3.42E-009, 
 26.30,   3.18E-009, 
 26.40,   2.00E-009, 
 26.50,   1.20E-009, 
 26.60,   8.64E-010, 
 26.70,   8.55E-010, 
 26.80,   1.51E-009, 
 26.90,   3.35E-009, 
 27.00,   4.88E-009, 
 27.10,   5.95E-009, 
 27.20,   6.10E-009, 
 27.30,   5.73E-009, 
 27.40,   4.03E-009, 
 27.50,   3.21E-009, 
 27.60,   4.01E-009, 
 27.70,   8.48E-009, 
 27.80,   4.51E-008, 
 27.90,   1.03E-007, 
 28.00,   1.10E-007, 
 28.10,   1.08E-007, 
 28.20,   9.60E-008, 
 28.30,   5.64E-008, 
 28.40,   1.32E-008, 
 28.50,   5.55E-009, 
 28.60,   3.36E-009, 
 28.70,   2.54E-009, 
 28.80,   3.27E-009, 
 28.90,   6.16E-009, 
 29.00,   8.61E-009, 
 29.10,   1.03E-008, 
 29.20,   1.04E-008, 
 29.30,   8.77E-009, 
 29.40,   4.89E-009, 
 29.50,   2.71E-009, 
 29.60,   1.64E-009, 
 29.70,   1.14E-009, 
 29.80,   1.26E-009, 
 29.90,   2.36E-009, 
 30.00,   3.38E-009, 
 30.10,   4.17E-009, 
 30.20,   4.37E-009, 
 30.30,   3.89E-009, 
 30.40,   2.28E-009, 
 30.50,   1.29E-009, 
 30.60,   8.47E-010, 
 30.70,   3.93E-010, 
 30.80,   3.58E-010, 
 30.90,   7.81E-010, 
 31.00,   1.27E-009, 
 31.10,   1.56E-009, 
 31.20,   1.67E-009, 
 31.30,   1.61E-009, 
 31.40,   1.12E-009, 
 31.50,   7.65E-010, 
 31.60,   4.75E-010, 
 31.70,   7.81E-010, 
 31.80,   2.25E-009, 
 31.90,   6.23E-009, 
 32.00,   9.94E-009, 
 32.10,   1.25E-008, 
 32.20,   1.27E-008, 
 32.30,   9.40E-009, 
 32.40,   4.70E-009, 
 32.50,   2.61E-009, 
 32.60,   1.51E-009, 
 32.70,   8.57E-010, 
 32.80,   3.96E-010, 
 32.90,   2.48E-010, 
 33.00,   2.59E-010, 
 33.10,   1.72E-010, 
 33.20,   1.50E-010, 
 33.30,   1.28E-010, 
 33.40,   8.26E-011, 
 33.50,  -2.48E-012, 
 33.60,  -6.58E-011, 
 33.70,  -9.32E-012, 
 33.80,   4.35E-012, 
 33.90,   6.52E-011, 
 34.00,   1.32E-010, 
 34.10,   1.75E-010, 
 34.20,   1.61E-010, 
 34.30,   7.76E-011, 
 34.40,  -8.70E-012, 
 34.50,  -4.84E-011, 
 34.60,  -1.04E-010, 
 34.70,  -1.17E-010, 
 34.80,  -1.57E-010, 
 34.90,  -8.76E-011, 
 35.00,  -1.02E-010, 
 35.10,  -1.21E-010, 
 35.20,  -1.25E-010, 
 35.30,  -1.04E-010, 
 35.40,  -1.21E-010, 
 35.50,  -8.88E-011, 
 35.60,  -5.09E-011, 
 35.70,  -5.28E-011, 
 35.80,   6.83E-012, 
 35.90,   9.81E-011, 
 36.00,   1.82E-010, 
 36.10,   1.79E-010, 
 36.20,   2.25E-010, 
 36.30,   2.04E-010, 
 36.40,   1.30E-010, 
 36.50,   9.01E-011, 
 36.60,   3.54E-011, 
 36.70,  -3.23E-011, 
 36.80,  -1.68E-011, 
 36.90,   3.23E-011, 
 37.00,   1.64E-010, 
 37.10,   2.25E-010, 
 37.20,   3.29E-010, 
 37.30,   3.05E-010, 
 37.40,   2.25E-010, 
 37.50,   1.33E-010, 
 37.60,   1.14E-010, 
 37.70,   3.54E-011, 
 37.80,   3.73E-011, 
 37.90,   1.49E-010, 
 38.00,   3.06E-010, 
 38.10,   6.06E-010, 
 38.20,   8.02E-010, 
 38.30,   6.16E-010, 
 38.40,   2.12E-010, 
 38.50,   1.20E-010, 
 38.60,   3.79E-011, 
