Jan 19, 2018  03:04:35 PM
Residual Gas Analyzer Software 
Software Version, 3.101.209

Analog Scan Setup:

Data Points in Scan, 641 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
 38.70,   2.73E-010, 
 38.80,   3.22E-010, 
 38.90,   9.99E-010, 
 39.00,   2.34E-009, 
 39.10,   3.69E-009, 
 39.20,   4.61E-009, 
 39.30,   4.94E-009, 
 39.40,   3.44E-009, 
 39.50,   1.91E-009, 
 39.60,   1.13E-009, 
 39.70,   6.22E-010, 
 39.80,   4.78E-010, 
 39.90,   9.67E-010, 
 40.00,   1.62E-009, 
 40.10,   2.29E-009, 
 40.20,   2.77E-009, 
 40.30,   2.85E-009, 
 40.40,   2.02E-009, 
 40.50,   1.28E-009, 
 40.60,   8.34E-010, 
 40.70,   4.26E-010, 
 40.80,   4.36E-010, 
 40.90,   1.11E-009, 
 41.00,   2.79E-009, 
 41.10,   5.27E-009, 
 41.20,   6.95E-009, 
 41.30,   7.61E-009, 
 41.40,   5.55E-009, 
 41.50,   3.06E-009, 
 41.60,   1.84E-009, 
 41.70,   1.14E-009, 
 41.80,   8.61E-010, 
 41.90,   1.12E-009, 
 42.00,   2.36E-009, 
 42.10,   4.22E-009, 
 42.20,   5.54E-009, 
 42.30,   6.04E-009, 
 42.40,   4.30E-009, 
 42.50,   2.40E-009, 
 42.60,   1.50E-009, 
 42.70,   1.11E-009, 
 42.80,   9.83E-010, 
 42.90,   1.51E-009, 
 43.00,   3.61E-009, 
 43.10,   7.12E-009, 
 43.20,   9.73E-009, 
 43.30,   1.10E-008, 
 43.40,   7.49E-009, 
 43.50,   4.68E-009, 
 43.60,   3.76E-009, 
 43.70,   4.11E-009, 
 43.80,   5.71E-009, 
 43.90,   1.69E-008, 
 44.00,   6.83E-008, 
 44.10,   1.07E-007, 
 44.20,   1.10E-007, 
 44.30,   7.48E-008, 
 44.40,   1.81E-008, 
 44.50,   6.38E-009, 
 44.60,   3.38E-009, 
 44.70,   2.02E-009, 
 44.80,   1.41E-009, 
 44.90,   1.13E-009, 
 45.00,   1.64E-009, 
 45.10,   2.74E-009, 
 45.20,   3.61E-009, 
 45.30,   3.82E-009, 
 45.40,   2.64E-009, 
 45.50,   1.54E-009, 
 45.60,   8.50E-010, 
 45.70,   3.20E-010, 
 45.80,   2.22E-010, 
 45.90,   2.10E-010, 
 46.00,   3.58E-010, 
 46.10,   9.10E-010, 
 46.20,   1.19E-009, 
 46.30,   1.34E-009, 
 46.40,   8.46E-010, 
 46.50,   3.05E-010, 
 46.60,   1.39E-010, 
 46.70,  -1.86E-012, 
 46.80,  -1.06E-010, 
 46.90,  -9.75E-011, 
 47.00,  -9.63E-011, 
 47.10,  -1.04E-010, 
 47.20,  -4.35E-011, 
 47.30,   5.09E-011, 
 47.40,  -2.86E-011, 
 47.50,  -3.23E-011, 
 47.60,  -3.73E-012, 
 47.70,  -9.19E-011, 
 47.80,  -5.84E-011, 
 47.90,  -1.55E-011, 
 48.00,   2.30E-011, 
 48.10,   1.59E-010, 
 48.20,   1.71E-010, 
 48.30,   1.76E-010, 
 48.40,   9.63E-011, 
 48.50,   7.45E-012, 
 48.60,  -5.78E-011, 
 48.70,  -1.14E-010, 
 48.80,  -1.20E-010, 
 48.90,  -1.09E-010, 
 49.00,  -2.48E-011, 
 49.10,  -4.04E-011, 
 49.20,  -1.30E-011, 
 49.30,  -3.11E-012, 
 49.40,  -6.02E-011, 
 49.50,  -6.09E-011, 
 49.60,  -4.41E-011, 
 49.70,  -4.47E-011, 
 49.80,   3.60E-011, 
 49.90,  -6.21E-013, 
 50.00,  -1.18E-011, 
 50.10,   1.16E-010, 
 50.20,   2.41E-010, 
 50.30,   3.43E-010, 
 50.40,   2.48E-010, 
 50.50,   1.29E-010, 
 50.60,   1.80E-011, 
 50.70,  -2.92E-011, 
 50.80,  -5.78E-011, 
 50.90,  -6.96E-011, 
 51.00,   3.11E-012, 
 51.10,   5.96E-011, 
 51.20,   1.67E-010, 
 51.30,   3.01E-010, 
 51.40,   2.33E-010, 
 51.50,   1.19E-010, 
 51.60,   1.68E-011, 
 51.70,   3.11E-011, 
 51.80,   2.30E-011, 
 51.90,  -2.24E-011, 
 52.00,  -1.74E-011, 
 52.10,   2.73E-011, 
 52.20,   1.30E-010, 
 52.30,   2.25E-010, 
 52.40,   1.50E-010, 
 52.50,   5.65E-011, 
 52.60,  -3.79E-011, 
 52.70,  -2.67E-011, 
 52.80,  -4.60E-011, 
 52.90,  -9.44E-011, 
 53.00,  -9.32E-011, 
 53.10,   5.53E-011, 
 53.20,   2.73E-010, 
 53.30,   4.39E-010, 
 53.40,   3.57E-010, 
 53.50,   2.03E-010, 
 53.60,   1.45E-010, 
 53.70,   7.95E-011, 
 53.80,   3.04E-011, 
 53.90,   5.22E-011, 
 54.00,   3.48E-011, 
 54.10,   7.39E-011, 
 54.20,   1.60E-010, 
 54.30,   3.83E-010, 
 54.40,   4.06E-010, 
 54.50,   2.83E-010, 
 54.60,   1.63E-010, 
 54.70,   3.04E-011, 
 54.80,   1.61E-011, 
 54.90,   4.35E-011, 
 55.00,   1.30E-010, 
 55.10,   3.16E-010, 
 55.20,   9.37E-010, 
 55.30,   1.58E-009, 
 55.40,   1.40E-009, 
 55.50,   7.20E-010, 
 55.60,   2.02E-010, 
 55.70,   1.55E-010, 
 55.80,   6.46E-011, 
 55.90,   2.73E-011, 
 56.00,   1.11E-010, 
 56.10,   1.73E-010, 
 56.20,   4.61E-010, 
 56.30,   1.04E-009, 
 56.40,   9.83E-010, 
 56.50,   4.58E-010, 
 56.60,   2.20E-010, 
 56.70,   8.45E-011, 
 56.80,   6.46E-011, 
 56.90,   3.17E-011, 
 57.00,   1.74E-011, 
 57.10,   5.28E-011, 
 57.20,   2.69E-010, 
 57.30,   8.62E-010, 
 57.40,   9.65E-010, 
 57.50,   4.54E-010, 
 57.60,   2.11E-010, 
 57.70,   1.16E-010, 
 57.80,   2.73E-011, 
 57.90,   1.37E-011, 
 58.00,  -2.98E-011, 
 58.10,  -4.78E-011, 
 58.20,   6.96E-011, 
 58.30,   2.45E-010, 
 58.40,   2.68E-010, 
 58.50,   1.38E-010, 
 58.60,   2.86E-011, 
 58.70,  -3.66E-011, 
 58.80,  -7.14E-011, 
 58.90,  -8.76E-011, 
 59.00,  -1.24E-010, 
 59.10,  -1.03E-010, 
 59.20,  -2.67E-011, 
 59.30,  -3.73E-012, 
 59.40,   8.07E-012, 
 59.50,  -3.11E-011, 
 59.60,  -5.59E-011, 
 59.70,  -7.27E-011, 
 59.80,  -4.72E-011, 
 59.90,  -6.65E-011, 
 60.00,  -5.84E-011, 
 60.10,  -3.04E-011, 
 60.20,   5.90E-011, 
 60.30,   1.82E-010, 
 60.40,   2.29E-010, 
 60.50,   1.02E-010, 
 60.60,  -6.21E-012, 
 60.70,  -9.07E-011, 
 60.80,  -7.95E-011, 
 60.90,  -8.07E-011, 
 61.00,  -1.14E-010, 
 61.10,  -6.02E-011, 
 61.20,   8.07E-012, 
 61.30,   6.46E-011, 
 61.40,   1.02E-010, 
 61.50,   6.27E-011, 
 61.60,   2.30E-011, 
 61.70,  -5.65E-011, 
 61.80,  -9.81E-011, 
 61.90,  -7.08E-011, 
 62.00,  -6.46E-011, 
 62.10,  -1.35E-010, 
 62.20,  -1.13E-010, 
 62.30,  -1.24E-010, 
 62.40,  -1.40E-010, 
 62.50,  -1.47E-010, 
 62.60,  -1.15E-010, 
 62.70,  -1.55E-010, 
 62.80,  -1.99E-010, 
 62.90,  -1.67E-010, 
 63.00,  -1.12E-010, 
 63.10,  -1.26E-010, 
 63.20,  -1.47E-010, 
 63.30,  -1.12E-010, 
 63.40,  -6.58E-011, 
 63.50,  -1.24E-011, 
 63.60,   3.23E-011, 
 63.70,  -2.48E-011, 
 63.80,  -1.34E-010, 
 63.90,  -1.60E-010, 
 64.00,  -1.22E-010, 
 64.10,  -1.16E-010, 
 64.20,  -3.73E-011, 
 64.30,   3.79E-011, 
 64.40,  -3.42E-011, 
 64.50,  -3.79E-011, 
 64.60,  -3.48E-011, 
 64.70,   5.59E-012, 
 64.80,  -3.91E-011, 
 64.90,  -5.28E-011, 
 65.00,  -5.71E-011, 
