Jan 19, 2018  03:04:35 PM
Residual Gas Analyzer Software 
Software Version, 3.101.209

Analog Scan Setup:

Data Points in Scan, 641 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 65, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.61E-004 
Filament Current, 1.00, mAmps


  1.00,   1.48E-008, 
  1.10,   1.54E-008, 
  1.20,   6.99E-008, 
  1.30,   3.53E-007, 
  1.40,   3.13E-007, 
  1.50,   2.82E-007, 
  1.60,   2.98E-007, 
  1.70,   3.20E-007, 
  1.80,   3.25E-007, 
  1.90,   3.31E-007, 
  2.00,   2.91E-007, 
  2.10,   2.90E-007, 
  2.20,   2.44E-007, 
  2.30,   1.98E-007, 
  2.40,   1.43E-007, 
  2.50,   3.67E-008, 
  2.60,   1.09E-008, 
  2.70,   6.75E-009, 
  2.80,   5.26E-009, 
  2.90,   4.45E-009, 
  3.00,   3.93E-009, 
  3.10,   3.52E-009, 
  3.20,   3.17E-009, 
  3.30,   2.86E-009, 
  3.40,   2.68E-009, 
  3.50,   2.47E-009, 
  3.60,   2.27E-009, 
  3.70,   2.14E-009, 
  3.80,   2.07E-009, 
  3.90,   1.90E-009, 
  4.00,   1.79E-009, 
  4.10,   1.62E-009, 
  4.20,   1.50E-009, 
  4.30,   1.42E-009, 
  4.40,   1.26E-009, 
  4.50,   1.16E-009, 
  4.60,   1.14E-009, 
  4.70,   1.04E-009, 
  4.80,   1.02E-009, 
  4.90,   1.02E-009, 
  5.00,   9.08E-010, 
  5.10,   8.70E-010, 
  5.20,   8.34E-010, 
  5.30,   8.09E-010, 
  5.40,   8.33E-010, 
  5.50,   7.94E-010, 
  5.60,   5.84E-010, 
  5.70,   4.91E-010, 
  5.80,   4.80E-010, 
  5.90,   5.39E-010, 
  6.00,   7.43E-010, 
  6.10,   5.99E-010, 
  6.20,   5.41E-010, 
  6.30,   5.18E-010, 
  6.40,   6.84E-010, 
  6.50,   7.94E-010, 
  6.60,   6.66E-010, 
  6.70,   3.81E-010, 
  6.80,   3.94E-010, 
  6.90,   4.30E-010, 
  7.00,   3.95E-010, 
  7.10,   3.55E-010, 
  7.20,   3.37E-010, 
  7.30,   3.41E-010, 
  7.40,   3.34E-010, 
  7.50,   3.34E-010, 
  7.60,   3.67E-010, 
  7.70,   3.83E-010, 
  7.80,   3.55E-010, 
  7.90,   3.27E-010, 
  8.00,   3.06E-010, 
  8.10,   3.48E-010, 
  8.20,   3.04E-010, 
  8.30,   2.27E-010, 
  8.40,   2.78E-010, 
  8.50,   3.25E-010, 
  8.60,   2.92E-010, 
  8.70,   2.51E-010, 
  8.80,   2.85E-010, 
  8.90,   2.74E-010, 
  9.00,   2.13E-010, 
  9.10,   2.58E-010, 
  9.20,   3.06E-010, 
  9.30,   3.12E-010, 
  9.40,   2.29E-010, 
  9.50,   2.33E-010, 
  9.60,   2.25E-010, 
  9.70,   1.94E-010, 
  9.80,   2.17E-010, 
  9.90,   9.69E-011, 
 10.00,   1.16E-010, 
 10.10,   1.50E-010, 
 10.20,   1.63E-010, 
 10.30,   1.52E-010, 
 10.40,   1.30E-010, 
 10.50,   1.49E-010, 
 10.60,   1.06E-010, 
 10.70,   1.52E-010, 
 10.80,   1.99E-010, 
 10.90,   2.39E-010, 
 11.00,   2.31E-010, 
 11.10,   2.04E-010, 
 11.20,   1.99E-010, 
 11.30,   2.65E-010, 
 11.40,   3.84E-010, 
 11.50,   6.85E-010, 
 11.60,   1.83E-009, 
 11.70,   4.55E-009, 
 11.80,   7.41E-009, 
 11.90,   9.97E-009, 
 12.00,   1.21E-008, 
 12.10,   1.33E-008, 
 12.20,   1.28E-008, 
 12.30,   1.07E-008, 
 12.40,   6.67E-009, 
 12.50,   3.59E-009, 
 12.60,   2.29E-009, 
 12.70,   2.02E-009, 
 12.80,   2.06E-009, 
 12.90,   2.25E-009, 
 13.00,   2.36E-009, 
 13.10,   2.50E-009, 
 13.20,   2.52E-009, 
 13.30,   2.36E-009, 
 13.40,   1.83E-009, 
 13.50,   1.40E-009, 
 13.60,   1.58E-009, 
 13.70,   3.41E-009, 
 13.80,   5.88E-009, 
 13.90,   7.99E-009, 
 14.00,   9.59E-009, 
 14.10,   1.05E-008, 
 14.20,   1.05E-008, 
 14.30,   9.14E-009, 
 14.40,   6.37E-009, 
 14.50,   3.74E-009, 
 14.60,   2.70E-009, 
 14.70,   3.54E-009, 
 14.80,   5.57E-009, 
 14.90,   7.27E-009, 
 15.00,   8.60E-009, 
 15.10,   9.30E-009, 
 15.20,   9.64E-009, 
 15.30,   8.88E-009, 
 15.40,   6.77E-009, 
 15.50,   4.70E-009, 
 15.60,   6.13E-009, 
 15.70,   1.89E-008, 
 15.80,   3.61E-008, 
 15.90,   4.70E-008, 
 16.00,   4.97E-008, 
 16.10,   5.34E-008, 
 16.20,   4.73E-008, 
 16.30,   3.92E-008, 
 16.40,   1.87E-008, 
 16.50,   1.42E-008, 
 16.60,   4.13E-008, 
 16.70,   1.97E-007, 
 16.80,   2.88E-007, 
 16.90,   3.44E-007, 
 17.00,   3.35E-007, 
 17.10,   3.66E-007, 
 17.20,   3.05E-007, 
 17.30,   2.39E-007, 
 17.40,   5.46E-008, 
 17.50,   4.58E-008, 
 17.60,   1.77E-007, 
 17.70,   7.74E-007, 
 17.80,   1.16E-006, 
 17.90,   1.38E-006, 
 18.00,   1.33E-006, 
 18.10,   1.47E-006, 
 18.20,   1.22E-006, 
 18.30,   9.45E-007, 
 18.40,   1.00E-007, 
 18.50,   1.26E-008, 
 18.60,   5.35E-009, 
 18.70,   3.36E-009, 
 18.80,   3.13E-009, 
 18.90,   3.54E-009, 
 19.00,   3.81E-009, 
 19.10,   3.93E-009, 
 19.20,   4.00E-009, 
 19.30,   3.72E-009, 
 19.40,   2.59E-009, 
 19.50,   1.46E-009, 
 19.60,   9.53E-010, 
 19.70,   9.40E-010, 
 19.80,   1.41E-009, 
 19.90,   2.00E-009, 
 20.00,   2.39E-009, 
 20.10,   2.56E-009, 
 20.20,   2.70E-009, 
 20.30,   2.60E-009, 
 20.40,   1.89E-009, 
 20.50,   1.03E-009, 
 20.60,   4.10E-010, 
 20.70,   2.03E-010, 
 20.80,   1.34E-010, 
 20.90,   3.85E-011, 
 21.00,  -3.60E-011, 
 21.10,  -1.16E-010, 
 21.20,  -8.63E-011, 
 21.30,  -5.40E-011, 
 21.40,  -2.17E-011, 
 21.50,  -5.59E-011, 
 21.60,  -3.98E-011, 
 21.70,   5.59E-011, 
 21.80,   3.60E-010, 
 21.90,   7.80E-010, 
 22.00,   1.04E-009, 
 22.10,   1.20E-009, 
 22.20,   1.14E-009, 
 22.30,   1.12E-009, 
 22.40,   6.82E-010, 
 22.50,   2.12E-010, 
 22.60,   1.16E-010, 
 22.70,   2.17E-011, 
 22.80,   1.61E-011, 
 22.90,  -6.21E-012, 
 23.00,  -4.84E-011, 
 23.10,  -5.28E-011, 
 23.20,  -1.06E-010, 
 23.30,  -1.09E-010, 
 23.40,  -1.50E-010, 
 23.50,  -1.56E-010, 
 23.60,  -1.06E-010, 
 23.70,  -1.12E-011, 
 23.80,   5.16E-011, 
 23.90,   1.40E-010, 
 24.00,   3.01E-010, 
 24.10,   3.46E-010, 
 24.20,   3.04E-010, 
 24.30,   3.25E-010, 
 24.40,   2.40E-010, 
 24.50,   1.13E-010, 
 24.60,   4.72E-011, 
 24.70,   1.29E-010, 
 24.80,   3.33E-010, 
 24.90,   8.99E-010, 
 25.00,   1.28E-009, 
 25.10,   1.35E-009, 
 25.20,   1.33E-009, 
 25.30,   1.26E-009, 
 25.40,   8.65E-010, 
 25.50,   3.88E-010, 
 25.60,   3.65E-010, 
 25.70,   5.93E-010, 
 25.80,   1.66E-009, 
 25.90,   3.58E-009, 
 26.00,   5.21E-009, 
 26.10,   6.14E-009, 
 26.20,   6.20E-009, 
 26.30,   5.91E-009, 
 26.40,   3.99E-009, 
 26.50,   2.35E-009, 
 26.60,   1.59E-009, 
 26.70,   1.50E-009, 
 26.80,   2.65E-009, 
 26.90,   5.95E-009, 
 27.00,   8.92E-009, 
 27.10,   1.11E-008, 
 27.20,   1.14E-008, 
 27.30,   1.07E-008, 
 27.40,   7.29E-009, 
 27.50,   5.20E-009, 
 27.60,   6.20E-009, 
 27.70,   1.47E-008, 
 27.80,   7.63E-008, 
 27.90,   1.71E-007, 
 28.00,   1.75E-007, 
 28.10,   1.82E-007, 
 28.20,   1.58E-007, 
 28.30,   1.09E-007, 
 28.40,   2.18E-008, 
 28.50,   7.05E-009, 
 28.60,   4.05E-009, 
 28.70,   3.17E-009, 
 28.80,   4.50E-009, 
 28.90,   1.06E-008, 
 29.00,   1.73E-008, 
 29.10,   2.10E-008, 
 29.20,   2.01E-008, 
 29.30,   1.74E-008, 
 29.40,   8.45E-009, 
 29.50,   4.16E-009, 
 29.60,   2.46E-009, 
 29.70,   1.66E-009, 
 29.80,   1.82E-009, 
 29.90,   3.58E-009, 
 30.00,   5.47E-009, 
 30.10,   6.75E-009, 
 30.20,   6.95E-009, 
 30.30,   6.52E-009, 
 30.40,   4.09E-009, 
 30.50,   2.28E-009, 
 30.60,   1.43E-009, 
 30.70,   9.84E-010, 
 30.80,   8.52E-010, 
 30.90,   1.41E-009, 
 31.00,   2.12E-009, 
 31.10,   2.78E-009, 
 31.20,   3.08E-009, 
 31.30,   3.09E-009, 
 31.40,   2.27E-009, 
 31.50,   1.56E-009, 
 31.60,   1.23E-009, 
 31.70,   1.34E-009, 
 31.80,   2.84E-009, 
 31.90,   8.54E-009, 
 32.00,   1.49E-008, 
 32.10,   1.93E-008, 
 32.20,   1.87E-008, 
 32.30,   1.48E-008, 
 32.40,   6.61E-009, 
 32.50,   3.31E-009, 
 32.60,   1.88E-009, 
 32.70,   1.08E-009, 
 32.80,   5.61E-010, 
 32.90,   2.62E-010, 
 33.00,   1.93E-010, 
 33.10,   1.45E-010, 
 33.20,   6.52E-011, 
 33.30,   9.63E-011, 
 33.40,   2.86E-011, 
 33.50,  -4.78E-011, 
 33.60,  -5.16E-011, 
 33.70,  -6.09E-011, 
 33.80,  -4.35E-012, 
 33.90,   3.60E-011, 
 34.00,   8.94E-011, 
 34.10,   7.27E-011, 
 34.20,   6.58E-011, 
 34.30,   7.33E-011, 
 34.40,   3.11E-011, 
 34.50,  -4.91E-011, 
 34.60,  -3.23E-011, 
 34.70,  -5.59E-012, 
 34.80,  -1.43E-011, 
 34.90,  -4.72E-011, 
 35.00,  -1.68E-011, 
 35.10,  -6.21E-013, 
 35.20,  -1.49E-011, 
 35.30,  -4.66E-011, 
 35.40,  -7.76E-011, 
 35.50,  -1.27E-010, 
 35.60,  -1.36E-010, 
 35.70,  -1.22E-010, 
 35.80,  -1.17E-010, 
 35.90,   1.49E-011, 
 36.00,   2.01E-010, 
 36.10,   3.32E-010, 
 36.20,   3.54E-010, 
 36.30,   3.68E-010, 
 36.40,   2.30E-010, 
 36.50,   1.55E-010, 
 36.60,   7.70E-011, 
 36.70,   4.97E-011, 
 36.80,  -3.85E-011, 
 36.90,   5.09E-011, 
 37.00,   2.62E-010, 
 37.10,   3.83E-010, 
 37.20,   6.80E-010, 
 37.30,   8.96E-010, 
 37.40,   4.26E-010, 
 37.50,   2.19E-010, 
 37.60,   1.42E-010, 
 37.70,   8.32E-011, 
 37.80,   2.67E-011, 
 37.90,   1.44E-010, 
 38.00,   4.45E-010, 
 38.10,   9.82E-010, 
 38.20,   1.18E-009, 
 38.30,   1.22E-009, 
 38.40,   9.11E-010, 
 38.50,   4.07E-010, 
 38.60,   2.60E-010, 
