Jan 19, 2018  03:11:28 PM
Residual Gas Analyzer Software 
Software Version, 3.101.209

Analog Scan Setup:

Data Points in Scan, 641 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 65, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.61E-004 
Filament Current, 1.00, mAmps


  1.00,   1.04E-008, 
  1.10,   1.11E-008, 
  1.20,   5.12E-008, 
  1.30,   2.52E-007, 
  1.40,   2.04E-007, 
  1.50,   1.89E-007, 
  1.60,   2.25E-007, 
  1.70,   2.45E-007, 
  1.80,   2.51E-007, 
  1.90,   2.50E-007, 
  2.00,   2.24E-007, 
  2.10,   2.15E-007, 
  2.20,   1.88E-007, 
  2.30,   1.47E-007, 
  2.40,   9.93E-008, 
  2.50,   2.45E-008, 
  2.60,   8.92E-009, 
  2.70,   5.73E-009, 
  2.80,   4.39E-009, 
  2.90,   3.57E-009, 
  3.00,   3.14E-009, 
  3.10,   2.75E-009, 
  3.20,   2.41E-009, 
  3.30,   2.18E-009, 
  3.40,   1.97E-009, 
  3.50,   1.79E-009, 
  3.60,   1.66E-009, 
  3.70,   1.55E-009, 
  3.80,   1.40E-009, 
  3.90,   1.30E-009, 
  4.00,   1.22E-009, 
  4.10,   1.16E-009, 
  4.20,   1.04E-009, 
  4.30,   9.83E-010, 
  4.40,   8.63E-010, 
  4.50,   7.94E-010, 
  4.60,   7.89E-010, 
  4.70,   7.68E-010, 
  4.80,   7.14E-010, 
  4.90,   5.63E-010, 
  5.00,   4.15E-010, 
  5.10,   4.63E-010, 
  5.20,   6.47E-010, 
  5.30,   4.94E-010, 
  5.40,   3.66E-010, 
  5.50,   4.12E-010, 
  5.60,   4.19E-010, 
  5.70,   4.84E-010, 
  5.80,   4.76E-010, 
  5.90,   4.10E-010, 
  6.00,   3.39E-010, 
  6.10,   3.44E-010, 
  6.20,   4.34E-010, 
  6.30,   4.16E-010, 
  6.40,   3.99E-010, 
  6.50,   3.48E-010, 
  6.60,   3.40E-010, 
  6.70,   3.49E-010, 
  6.80,   3.20E-010, 
  6.90,   3.28E-010, 
  7.00,   2.98E-010, 
  7.10,   2.70E-010, 
  7.20,   2.84E-010, 
  7.30,   2.84E-010, 
  7.40,   2.64E-010, 
  7.50,   2.43E-010, 
  7.60,   2.09E-010, 
  7.70,   2.43E-010, 
  7.80,   2.22E-010, 
  7.90,   1.72E-010, 
  8.00,   8.45E-011, 
  8.10,   1.34E-010, 
  8.20,   1.53E-010, 
  8.30,   1.84E-010, 
  8.40,   1.93E-010, 
  8.50,   1.97E-010, 
  8.60,   1.83E-010, 
  8.70,   1.88E-010, 
  8.80,   1.97E-010, 
  8.90,   1.63E-010, 
  9.00,   1.01E-010, 
  9.10,   1.32E-010, 
  9.20,   1.20E-010, 
  9.30,   8.26E-011, 
  9.40,   9.25E-011, 
  9.50,   1.20E-010, 
  9.60,   1.22E-010, 
  9.70,   1.12E-010, 
  9.80,   7.33E-011, 
  9.90,   5.09E-011, 
 10.00,   7.39E-011, 
 10.10,   9.94E-011, 
 10.20,   9.69E-011, 
 10.30,   1.19E-010, 
 10.40,   1.04E-010, 
 10.50,   1.80E-010, 
 10.60,   1.62E-010, 
 10.70,   2.09E-010, 
 10.80,   1.75E-010, 
 10.90,   1.61E-010, 
 11.00,   1.65E-010, 
 11.10,   1.42E-010, 
 11.20,   1.40E-010, 
 11.30,   1.30E-010, 
 11.40,   2.12E-010, 
 11.50,   4.62E-010, 
 11.60,   1.48E-009, 
 11.70,   3.48E-009, 
 11.80,   5.35E-009, 
 11.90,   7.21E-009, 
 12.00,   8.54E-009, 
 12.10,   9.35E-009, 
 12.20,   9.05E-009, 
 12.30,   7.75E-009, 
 12.40,   4.90E-009, 
 12.50,   2.76E-009, 
 12.60,   1.78E-009, 
 12.70,   1.46E-009, 
 12.80,   1.48E-009, 
 12.90,   1.53E-009, 
 13.00,   1.61E-009, 
 13.10,   1.75E-009, 
 13.20,   1.82E-009, 
 13.30,   1.67E-009, 
 13.40,   1.24E-009, 
 13.50,   9.08E-010, 
 13.60,   1.17E-009, 
 13.70,   2.64E-009, 
 13.80,   4.38E-009, 
 13.90,   5.93E-009, 
 14.00,   7.05E-009, 
 14.10,   7.73E-009, 
 14.20,   7.71E-009, 
 14.30,   6.87E-009, 
 14.40,   4.62E-009, 
 14.50,   2.81E-009, 
 14.60,   2.13E-009, 
 14.70,   2.76E-009, 
 14.80,   4.06E-009, 
 14.90,   5.21E-009, 
 15.00,   6.18E-009, 
 15.10,   6.83E-009, 
 15.20,   6.85E-009, 
 15.30,   6.37E-009, 
 15.40,   4.74E-009, 
 15.50,   3.53E-009, 
 15.60,   4.84E-009, 
 15.70,   1.37E-008, 
 15.80,   2.62E-008, 
 15.90,   3.41E-008, 
 16.00,   3.67E-008, 
 16.10,   3.96E-008, 
 16.20,   3.49E-008, 
 16.30,   2.82E-008, 
 16.40,   1.34E-008, 
 16.50,   1.08E-008, 
 16.60,   3.25E-008, 
 16.70,   1.55E-007, 
 16.80,   2.21E-007, 
 16.90,   2.57E-007, 
 17.00,   2.51E-007, 
 17.10,   2.76E-007, 
 17.20,   2.25E-007, 
 17.30,   1.58E-007, 
 17.40,   3.61E-008, 
 17.50,   3.51E-008, 
 17.60,   1.42E-007, 
 17.70,   6.20E-007, 
 17.80,   9.03E-007, 
 17.90,   1.03E-006, 
 18.00,   9.95E-007, 
 18.10,   1.10E-006, 
 18.20,   9.17E-007, 
 18.30,   6.07E-007, 
 18.40,   5.28E-008, 
 18.50,   1.01E-008, 
 18.60,   4.71E-009, 
 18.70,   2.94E-009, 
 18.80,   2.43E-009, 
 18.90,   2.37E-009, 
 19.00,   2.33E-009, 
 19.10,   2.36E-009, 
 19.20,   2.39E-009, 
 19.30,   2.27E-009, 
 19.40,   1.51E-009, 
 19.50,   9.11E-010, 
 19.60,   3.78E-010, 
 19.70,   3.70E-010, 
 19.80,   1.03E-009, 
 19.90,   1.46E-009, 
 20.00,   1.75E-009, 
 20.10,   1.93E-009, 
 20.20,   1.93E-009, 
 20.30,   1.83E-009, 
 20.40,   1.20E-009, 
 20.50,   6.12E-010, 
 20.60,   1.40E-010, 
 20.70,   8.39E-011, 
 20.80,   5.34E-011, 
 20.90,   1.86E-012, 
 21.00,  -8.45E-011, 
 21.10,  -1.42E-010, 
 21.20,  -1.75E-010, 
 21.30,  -1.35E-010, 
 21.40,  -1.48E-010, 
 21.50,  -1.60E-010, 
 21.60,  -1.60E-010, 
 21.70,  -2.30E-011, 
 21.80,   2.20E-010, 
 21.90,   5.35E-010, 
 22.00,   8.20E-010, 
 22.10,   8.32E-010, 
 22.20,   7.61E-010, 
 22.30,   7.01E-010, 
 22.40,   2.24E-010, 
 22.50,   2.55E-011, 
 22.60,  -6.96E-011, 
 22.70,  -1.27E-010, 
 22.80,  -1.22E-010, 
 22.90,  -1.43E-010, 
 23.00,  -1.43E-010, 
 23.10,  -1.18E-010, 
 23.20,  -1.11E-010, 
 23.30,  -1.16E-010, 
 23.40,  -1.43E-010, 
 23.50,  -1.49E-010, 
 23.60,  -1.41E-010, 
 23.70,  -1.33E-010, 
 23.80,  -8.07E-011, 
 23.90,  -1.18E-011, 
 24.00,   6.09E-011, 
 24.10,   8.32E-011, 
 24.20,   1.63E-010, 
 24.30,   2.27E-010, 
 24.40,   1.79E-010, 
 24.50,   1.30E-010, 
 24.60,   2.86E-011, 
 24.70,   4.91E-011, 
 24.80,   2.04E-010, 
 24.90,   4.61E-010, 
 25.00,   8.85E-010, 
 25.10,   9.27E-010, 
 25.20,   9.56E-010, 
 25.30,   8.46E-010, 
 25.40,   3.98E-010, 
 25.50,   1.99E-010, 
 25.60,   1.94E-010, 
 25.70,   3.65E-010, 
 25.80,   1.32E-009, 
 25.90,   2.63E-009, 
 26.00,   3.60E-009, 
 26.10,   4.23E-009, 
 26.20,   4.24E-009, 
 26.30,   4.01E-009, 
 26.40,   2.65E-009, 
 26.50,   1.67E-009, 
 26.60,   1.16E-009, 
 26.70,   1.03E-009, 
 26.80,   1.91E-009, 
 26.90,   4.25E-009, 
 27.00,   6.24E-009, 
 27.10,   7.42E-009, 
 27.20,   7.52E-009, 
 27.30,   7.08E-009, 
 27.40,   4.94E-009, 
 27.50,   3.79E-009, 
 27.60,   4.71E-009, 
 27.70,   1.04E-008, 
 27.80,   5.64E-008, 
 27.90,   1.27E-007, 
 28.00,   1.32E-007, 
 28.10,   1.32E-007, 
 28.20,   1.16E-007, 
 28.30,   7.21E-008, 
 28.40,   1.56E-008, 
 28.50,   5.99E-009, 
 28.60,   3.47E-009, 
 28.70,   2.61E-009, 
 28.80,   3.64E-009, 
 28.90,   7.41E-009, 
 29.00,   1.10E-008, 
 29.10,   1.35E-008, 
 29.20,   1.32E-008, 
 29.30,   1.09E-008, 
 29.40,   5.81E-009, 
 29.50,   3.08E-009, 
 29.60,   1.86E-009, 
 29.70,   1.25E-009, 
 29.80,   1.37E-009, 
 29.90,   2.69E-009, 
 30.00,   3.97E-009, 
 30.10,   4.89E-009, 
 30.20,   5.04E-009, 
 30.30,   4.63E-009, 
 30.40,   2.84E-009, 
 30.50,   1.59E-009, 
 30.60,   9.32E-010, 
 30.70,   4.42E-010, 
 30.80,   3.90E-010, 
 30.90,   1.06E-009, 
 31.00,   1.45E-009, 
 31.10,   1.89E-009, 
 31.20,   1.95E-009, 
 31.30,   1.91E-009, 
 31.40,   1.35E-009, 
 31.50,   8.97E-010, 
 31.60,   7.30E-010, 
 31.70,   8.93E-010, 
 31.80,   2.36E-009, 
 31.90,   6.89E-009, 
 32.00,   1.14E-008, 
 32.10,   1.47E-008, 
 32.20,   1.46E-008, 
 32.30,   1.11E-008, 
 32.40,   5.28E-009, 
 32.50,   2.73E-009, 
 32.60,   1.55E-009, 
 32.70,   8.95E-010, 
 32.80,   3.68E-010, 
 32.90,   1.52E-010, 
 33.00,   5.22E-011, 
 33.10,  -6.21E-012, 
 33.20,  -6.83E-012, 
 33.30,   1.93E-011, 
 33.40,  -4.35E-011, 
 33.50,  -4.47E-011, 
 33.60,  -7.14E-011, 
 33.70,  -5.59E-011, 
 33.80,  -8.57E-011, 
 33.90,   1.49E-011, 
 34.00,   1.17E-010, 
 34.10,   7.33E-011, 
 34.20,  -8.70E-012, 
 34.30,  -2.11E-011, 
 34.40,  -6.21E-011, 
 34.50,  -6.40E-011, 
 34.60,  -7.20E-011, 
 34.70,  -1.02E-010, 
 34.80,  -1.02E-010, 
 34.90,  -9.94E-011, 
 35.00,  -1.61E-010, 
 35.10,  -8.82E-011, 
 35.20,  -1.18E-011, 
 35.30,  -5.22E-011, 
 35.40,  -1.04E-010, 
 35.50,  -1.24E-010, 
 35.60,  -1.46E-010, 
 35.70,  -7.39E-011, 
 35.80,  -4.22E-011, 
 35.90,   4.97E-011, 
 36.00,   8.45E-011, 
 36.10,   1.84E-010, 
 36.20,   2.12E-010, 
 36.30,   2.24E-010, 
 36.40,   1.03E-010, 
 36.50,  -3.79E-011, 
 36.60,  -7.45E-011, 
 36.70,  -8.63E-011, 
 36.80,  -6.15E-011, 
 36.90,   4.84E-011, 
 37.00,   1.47E-010, 
 37.10,   2.57E-010, 
 37.20,   2.76E-010, 
 37.30,   3.31E-010, 
 37.40,   1.59E-010, 
 37.50,   4.29E-011, 
 37.60,   6.34E-011, 
 37.70,   3.73E-012, 
 37.80,   9.94E-012, 
 37.90,   9.57E-011, 
 38.00,   3.14E-010, 
 38.10,   7.45E-010, 
 38.20,   8.61E-010, 
 38.30,   7.72E-010, 
 38.40,   3.02E-010, 
 38.50,   1.51E-010, 
