Jan 19, 2018  03:03:30 PM
Residual Gas Analyzer Software 
Software Version, 3.101.209

Analog Scan Setup:

Data Points in Scan, 641 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 65, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.61E-004 
Filament Current, 1.00, mAmps


  1.00,   1.53E-008, 
  1.10,   1.62E-008, 
  1.20,   8.42E-008, 
  1.30,   3.73E-007, 
  1.40,   3.10E-007, 
  1.50,   2.89E-007, 
  1.60,   3.20E-007, 
  1.70,   3.42E-007, 
  1.80,   3.48E-007, 
  1.90,   3.48E-007, 
  2.00,   3.08E-007, 
  2.10,   3.01E-007, 
  2.20,   2.60E-007, 
  2.30,   2.03E-007, 
  2.40,   1.41E-007, 
  2.50,   3.23E-008, 
  2.60,   1.06E-008, 
  2.70,   6.73E-009, 
  2.80,   5.31E-009, 
  2.90,   4.55E-009, 
  3.00,   4.05E-009, 
  3.10,   3.72E-009, 
  3.20,   3.37E-009, 
  3.30,   3.14E-009, 
  3.40,   2.87E-009, 
  3.50,   2.61E-009, 
  3.60,   2.39E-009, 
  3.70,   2.20E-009, 
  3.80,   2.10E-009, 
  3.90,   1.91E-009, 
  4.00,   1.84E-009, 
  4.10,   1.70E-009, 
  4.20,   1.57E-009, 
  4.30,   1.43E-009, 
  4.40,   1.32E-009, 
  4.50,   1.27E-009, 
  4.60,   1.19E-009, 
  4.70,   1.08E-009, 
  4.80,   1.06E-009, 
  4.90,   1.05E-009, 
  5.00,   1.10E-009, 
  5.10,   1.06E-009, 
  5.20,   1.05E-009, 
  5.30,   8.97E-010, 
  5.40,   8.40E-010, 
  5.50,   7.83E-010, 
  5.60,   7.40E-010, 
  5.70,   5.66E-010, 
  5.80,   5.69E-010, 
  5.90,   7.01E-010, 
  6.00,   4.73E-010, 
  6.10,   5.72E-010, 
  6.20,   5.71E-010, 
  6.30,   6.93E-010, 
  6.40,   8.24E-010, 
  6.50,   5.40E-010, 
  6.60,   4.70E-010, 
  6.70,   4.43E-010, 
  6.80,   5.16E-010, 
  6.90,   4.83E-010, 
  7.00,   4.32E-010, 
  7.10,   4.07E-010, 
  7.20,   4.20E-010, 
  7.30,   3.73E-010, 
  7.40,   3.97E-010, 
  7.50,   3.93E-010, 
  7.60,   4.40E-010, 
  7.70,   3.87E-010, 
  7.80,   3.47E-010, 
  7.90,   3.28E-010, 
  8.00,   3.58E-010, 
  8.10,   3.90E-010, 
  8.20,   3.37E-010, 
  8.30,   2.72E-010, 
  8.40,   3.17E-010, 
  8.50,   2.58E-010, 
  8.60,   2.79E-010, 
  8.70,   2.45E-010, 
  8.80,   2.18E-010, 
  8.90,   2.48E-010, 
  9.00,   2.13E-010, 
  9.10,   2.21E-010, 
  9.20,   2.13E-010, 
  9.30,   2.23E-010, 
  9.40,   2.43E-010, 
  9.50,   2.12E-010, 
  9.60,   1.88E-010, 
  9.70,   1.99E-010, 
  9.80,   2.27E-010, 
  9.90,   1.80E-010, 
 10.00,   1.86E-010, 
 10.10,   1.87E-010, 
 10.20,   1.65E-010, 
 10.30,   2.12E-010, 
 10.40,   2.23E-010, 
 10.50,   2.72E-010, 
 10.60,   2.72E-010, 
 10.70,   2.98E-010, 
 10.80,   3.60E-010, 
 10.90,   2.68E-010, 
 11.00,   2.70E-010, 
 11.10,   2.74E-010, 
 11.20,   2.52E-010, 
 11.30,   2.47E-010, 
 11.40,   3.40E-010, 
 11.50,   8.47E-010, 
 11.60,   2.10E-009, 
 11.70,   4.97E-009, 
 11.80,   7.88E-009, 
 11.90,   1.08E-008, 
 12.00,   1.30E-008, 
 12.10,   1.40E-008, 
 12.20,   1.33E-008, 
 12.30,   1.11E-008, 
 12.40,   6.68E-009, 
 12.50,   3.50E-009, 
 12.60,   2.20E-009, 
 12.70,   1.89E-009, 
 12.80,   2.01E-009, 
 12.90,   2.19E-009, 
 13.00,   2.49E-009, 
 13.10,   2.67E-009, 
 13.20,   2.61E-009, 
 13.30,   2.49E-009, 
 13.40,   1.97E-009, 
 13.50,   1.44E-009, 
 13.60,   1.83E-009, 
 13.70,   3.88E-009, 
 13.80,   6.49E-009, 
 13.90,   8.76E-009, 
 14.00,   1.05E-008, 
 14.10,   1.15E-008, 
 14.20,   1.12E-008, 
 14.30,   9.79E-009, 
 14.40,   6.53E-009, 
 14.50,   3.71E-009, 
 14.60,   2.76E-009, 
 14.70,   3.86E-009, 
 14.80,   5.94E-009, 
 14.90,   7.80E-009, 
 15.00,   9.25E-009, 
 15.10,   1.02E-008, 
 15.20,   1.04E-008, 
 15.30,   9.43E-009, 
 15.40,   6.98E-009, 
 15.50,   4.95E-009, 
 15.60,   6.89E-009, 
 15.70,   2.16E-008, 
 15.80,   3.95E-008, 
 15.90,   5.09E-008, 
 16.00,   5.31E-008, 
 16.10,   5.67E-008, 
 16.20,   4.97E-008, 
 16.30,   4.05E-008, 
 16.40,   1.89E-008, 
 16.50,   1.53E-008, 
 16.60,   4.98E-008, 
 16.70,   2.17E-007, 
 16.80,   3.10E-007, 
 16.90,   3.66E-007, 
 17.00,   3.55E-007, 
 17.10,   3.87E-007, 
 17.20,   3.19E-007, 
 17.30,   2.46E-007, 
 17.40,   5.24E-008, 
 17.50,   5.13E-008, 
 17.60,   2.07E-007, 
 17.70,   8.41E-007, 
 17.80,   1.25E-006, 
 17.90,   1.47E-006, 
 18.00,   1.41E-006, 
 18.10,   1.56E-006, 
 18.20,   1.28E-006, 
 18.30,   9.66E-007, 
 18.40,   8.92E-008, 
 18.50,   1.21E-008, 
 18.60,   5.39E-009, 
 18.70,   3.57E-009, 
 18.80,   3.44E-009, 
 18.90,   3.85E-009, 
 19.00,   4.13E-009, 
 19.10,   4.37E-009, 
 19.20,   4.33E-009, 
 19.30,   4.09E-009, 
 19.40,   2.84E-009, 
 19.50,   1.59E-009, 
 19.60,   1.06E-009, 
 19.70,   9.82E-010, 
 19.80,   1.54E-009, 
 19.90,   2.06E-009, 
 20.00,   2.51E-009, 
 20.10,   2.81E-009, 
 20.20,   2.79E-009, 
 20.30,   2.60E-009, 
 20.40,   1.73E-009, 
 20.50,   8.87E-010, 
 20.60,   2.45E-010, 
 20.70,   1.48E-010, 
 20.80,   6.83E-011, 
 20.90,   2.05E-011, 
 21.00,  -6.27E-011, 
 21.10,  -5.47E-011, 
 21.20,  -6.40E-011, 
 21.30,  -7.14E-011, 
 21.40,  -5.47E-011, 
 21.50,  -4.97E-011, 
 21.60,  -3.11E-012, 
 21.70,   1.24E-010, 
 21.80,   4.35E-010, 
 21.90,   9.67E-010, 
 22.00,   1.15E-009, 
 22.10,   1.19E-009, 
 22.20,   1.23E-009, 
 22.30,   1.15E-009, 
 22.40,   6.57E-010, 
 22.50,   2.16E-010, 
 22.60,   1.34E-010, 
 22.70,   8.57E-011, 
 22.80,   8.70E-012, 
 22.90,  -9.32E-012, 
 23.00,  -8.14E-011, 
 23.10,  -8.32E-011, 
 23.20,  -9.13E-011, 
 23.30,  -7.95E-011, 
 23.40,  -1.20E-010, 
 23.50,  -1.37E-010, 
 23.60,  -1.47E-010, 
 23.70,  -9.01E-011, 
 23.80,   2.80E-011, 
 23.90,   1.20E-010, 
 24.00,   2.38E-010, 
 24.10,   3.18E-010, 
 24.20,   3.01E-010, 
 24.30,   2.77E-010, 
 24.40,   1.64E-010, 
 24.50,   6.83E-011, 
 24.60,   9.01E-011, 
 24.70,   1.00E-010, 
 24.80,   3.86E-010, 
 24.90,   9.99E-010, 
 25.00,   1.27E-009, 
 25.10,   1.33E-009, 
 25.20,   1.35E-009, 
 25.30,   1.35E-009, 
 25.40,   9.60E-010, 
 25.50,   4.52E-010, 
 25.60,   3.59E-010, 
 25.70,   7.17E-010, 
 25.80,   1.85E-009, 
 25.90,   3.90E-009, 
 26.00,   5.59E-009, 
 26.10,   6.46E-009, 
 26.20,   6.53E-009, 
 26.30,   6.24E-009, 
 26.40,   4.09E-009, 
 26.50,   2.37E-009, 
 26.60,   1.64E-009, 
 26.70,   1.64E-009, 
 26.80,   2.96E-009, 
 26.90,   6.54E-009, 
 27.00,   9.90E-009, 
 27.10,   1.21E-008, 
 27.20,   1.21E-008, 
 27.30,   1.15E-008, 
 27.40,   7.40E-009, 
 27.50,   5.36E-009, 
 27.60,   6.74E-009, 
 27.70,   1.70E-008, 
 27.80,   8.74E-008, 
 27.90,   1.84E-007, 
 28.00,   1.86E-007, 
 28.10,   1.94E-007, 
 28.20,   1.69E-007, 
 28.30,   1.12E-007, 
 28.40,   2.15E-008, 
 28.50,   7.08E-009, 
 28.60,   4.10E-009, 
 28.70,   3.31E-009, 
 28.80,   5.04E-009, 
 28.90,   1.20E-008, 
 29.00,   1.90E-008, 
 29.10,   2.27E-008, 
 29.20,   2.13E-008, 
 29.30,   1.83E-008, 
 29.40,   8.55E-009, 
 29.50,   4.14E-009, 
 29.60,   2.47E-009, 
 29.70,   1.74E-009, 
 29.80,   2.02E-009, 
 29.90,   4.04E-009, 
 30.00,   5.93E-009, 
 30.10,   7.19E-009, 
 30.20,   7.34E-009, 
 30.30,   6.84E-009, 
 30.40,   4.21E-009, 
 30.50,   2.39E-009, 
 30.60,   1.40E-009, 
 30.70,   9.50E-010, 
 30.80,   8.45E-010, 
 30.90,   1.50E-009, 
 31.00,   2.30E-009, 
 31.10,   2.98E-009, 
 31.20,   3.24E-009, 
 31.30,   3.27E-009, 
 31.40,   2.31E-009, 
 31.50,   1.52E-009, 
 31.60,   1.19E-009, 
 31.70,   1.44E-009, 
 31.80,   3.07E-009, 
 31.90,   9.16E-009, 
 32.00,   1.57E-008, 
 32.10,   2.01E-008, 
 32.20,   1.92E-008, 
 32.30,   1.51E-008, 
 32.40,   6.68E-009, 
 32.50,   3.42E-009, 
 32.60,   1.90E-009, 
 32.70,   1.14E-009, 
 32.80,   6.57E-010, 
 32.90,   2.55E-010, 
 33.00,   1.73E-010, 
 33.10,   2.26E-010, 
 33.20,   2.30E-010, 
 33.30,   1.55E-010, 
 33.40,   1.06E-010, 
 33.50,   3.66E-011, 
 33.60,   1.12E-011, 
 33.70,   5.90E-011, 
 33.80,   4.04E-011, 
 33.90,   3.23E-011, 
 34.00,   1.22E-010, 
 34.10,   1.89E-010, 
 34.20,   1.88E-010, 
 34.30,   1.31E-010, 
 34.40,   5.78E-011, 
 34.50,   0.00E+000, 
 34.60,  -8.14E-011, 
 34.70,  -1.03E-010, 
 34.80,  -1.08E-010, 
 34.90,  -6.77E-011, 
 35.00,  -4.35E-011, 
 35.10,  -4.72E-011, 
 35.20,  -7.33E-011, 
 35.30,  -1.99E-011, 
 35.40,  -8.01E-011, 
 35.50,  -4.53E-011, 
 35.60,  -7.95E-011, 
 35.70,  -4.72E-011, 
 35.80,  -2.17E-011, 
 35.90,   4.78E-011, 
 36.00,   2.40E-010, 
 36.10,   3.95E-010, 
 36.20,   4.18E-010, 
 36.30,   4.47E-010, 
 36.40,   3.03E-010, 
 36.50,   1.89E-010, 
 36.60,   9.50E-011, 
 36.70,   5.53E-011, 
 36.80,   1.61E-011, 
 36.90,   9.32E-011, 
 37.00,   2.54E-010, 
 37.10,   4.41E-010, 
 37.20,   7.96E-010, 
 37.30,   7.95E-010, 
 37.40,   3.40E-010, 
 37.50,   2.00E-010, 
 37.60,   9.50E-011, 
 37.70,   4.35E-011, 
 37.80,   4.16E-011, 
 37.90,   2.01E-010, 
 38.00,   5.50E-010, 
 38.10,   1.01E-009, 
 38.20,   1.15E-009, 
 38.30,   1.25E-009, 
 38.40,   9.05E-010, 
 38.50,   4.04E-010, 
 38.60,   2.52E-010, 
 38.70,   2.81E-010, 
