Jan 19, 2018  03:00:28 PM
Residual Gas Analyzer Software 
Software Version, 3.101.209

Analog Scan Setup:

Data Points in Scan, 641 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 65, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.61E-004 
Filament Current, 1.00, mAmps


  1.00,   1.80E-008, 
  1.10,   1.99E-008, 
  1.20,   1.81E-007, 
  1.30,   3.97E-007, 
  1.40,   2.08E-007, 
  1.50,   3.34E-007, 
  1.60,   4.08E-007, 
  1.70,   4.20E-007, 
  1.80,   4.33E-007, 
  1.90,   3.89E-007, 
  2.00,   3.80E-007, 
  2.10,   3.26E-007, 
  2.20,   2.99E-007, 
  2.30,   2.17E-007, 
  2.40,   9.75E-008, 
  2.50,   1.82E-008, 
  2.60,   8.77E-009, 
  2.70,   6.45E-009, 
  2.80,   5.45E-009, 
  2.90,   4.83E-009, 
  3.00,   4.43E-009, 
  3.10,   4.06E-009, 
  3.20,   3.68E-009, 
  3.30,   3.45E-009, 
  3.40,   3.13E-009, 
  3.50,   2.89E-009, 
  3.60,   2.62E-009, 
  3.70,   2.39E-009, 
  3.80,   2.24E-009, 
  3.90,   2.09E-009, 
  4.00,   1.98E-009, 
  4.10,   1.89E-009, 
  4.20,   1.78E-009, 
  4.30,   1.68E-009, 
  4.40,   1.57E-009, 
  4.50,   1.50E-009, 
  4.60,   1.39E-009, 
  4.70,   1.38E-009, 
  4.80,   1.29E-009, 
  4.90,   1.23E-009, 
  5.00,   1.19E-009, 
  5.10,   1.14E-009, 
  5.20,   1.09E-009, 
  5.30,   1.05E-009, 
  5.40,   1.05E-009, 
  5.50,   1.01E-009, 
  5.60,   9.57E-010, 
  5.70,   8.84E-010, 
  5.80,   8.66E-010, 
  5.90,   7.27E-010, 
  6.00,   5.83E-010, 
  6.10,   7.12E-010, 
  6.20,   8.51E-010, 
  6.30,   5.26E-010, 
  6.40,   5.13E-010, 
  6.50,   5.54E-010, 
  6.60,   5.76E-010, 
  6.70,   5.97E-010, 
  6.80,   5.66E-010, 
  6.90,   5.74E-010, 
  7.00,   5.48E-010, 
  7.10,   5.20E-010, 
  7.20,   4.98E-010, 
  7.30,   4.80E-010, 
  7.40,   5.33E-010, 
  7.50,   4.42E-010, 
  7.60,   5.14E-010, 
  7.70,   5.85E-010, 
  7.80,   6.29E-010, 
  7.90,   5.97E-010, 
  8.00,   5.37E-010, 
  8.10,   5.38E-010, 
  8.20,   4.12E-010, 
  8.30,   3.73E-010, 
  8.40,   2.99E-010, 
  8.50,   3.59E-010, 
  8.60,   3.22E-010, 
  8.70,   2.91E-010, 
  8.80,   3.11E-010, 
  8.90,   3.48E-010, 
  9.00,   4.42E-010, 
  9.10,   4.08E-010, 
  9.20,   3.99E-010, 
  9.30,   4.58E-010, 
  9.40,   4.08E-010, 
  9.50,   3.62E-010, 
  9.60,   3.58E-010, 
  9.70,   3.60E-010, 
  9.80,   3.40E-010, 
  9.90,   3.04E-010, 
 10.00,   3.82E-010, 
 10.10,   3.77E-010, 
 10.20,   3.50E-010, 
 10.30,   3.04E-010, 
 10.40,   2.61E-010, 
 10.50,   3.04E-010, 
 10.60,   3.12E-010, 
 10.70,   3.53E-010, 
 10.80,   3.43E-010, 
 10.90,   3.96E-010, 
 11.00,   3.63E-010, 
 11.10,   3.71E-010, 
 11.20,   4.17E-010, 
 11.30,   5.26E-010, 
 11.40,   8.73E-010, 
 11.50,   1.46E-009, 
 11.60,   3.99E-009, 
 11.70,   7.77E-009, 
 11.80,   1.14E-008, 
 11.90,   1.51E-008, 
 12.00,   1.64E-008, 
 12.10,   1.70E-008, 
 12.20,   1.51E-008, 
 12.30,   1.09E-008, 
 12.40,   5.60E-009, 
 12.50,   3.23E-009, 
 12.60,   2.44E-009, 
 12.70,   2.44E-009, 
 12.80,   2.61E-009, 
 12.90,   2.95E-009, 
 13.00,   3.18E-009, 
 13.10,   3.36E-009, 
 13.20,   3.23E-009, 
 13.30,   2.92E-009, 
 13.40,   2.20E-009, 
 13.50,   2.03E-009, 
 13.60,   3.19E-009, 
 13.70,   6.28E-009, 
 13.80,   9.18E-009, 
 13.90,   1.21E-008, 
 14.00,   1.35E-008, 
 14.10,   1.44E-008, 
 14.20,   1.30E-008, 
 14.30,   1.03E-008, 
 14.40,   5.74E-009, 
 14.50,   3.57E-009, 
 14.60,   3.55E-009, 
 14.70,   5.88E-009, 
 14.80,   8.41E-009, 
 14.90,   1.10E-008, 
 15.00,   1.25E-008, 
 15.10,   1.35E-008, 
 15.20,   1.25E-008, 
 15.30,   1.05E-008, 
 15.40,   6.70E-009, 
 15.50,   6.12E-009, 
 15.60,   1.49E-008, 
 15.70,   3.95E-008, 
 15.80,   5.65E-008, 
 15.90,   6.50E-008, 
 16.00,   6.58E-008, 
 16.10,   6.61E-008, 
 16.20,   5.71E-008, 
 16.30,   3.66E-008, 
 16.40,   1.73E-008, 
 16.50,   2.71E-008, 
 16.60,   1.49E-007, 
 16.70,   3.31E-007, 
 16.80,   4.09E-007, 
 16.90,   4.50E-007, 
 17.00,   4.48E-007, 
 17.10,   4.40E-007, 
 17.20,   3.73E-007, 
 17.30,   1.78E-007, 
 17.40,   4.75E-008, 
 17.50,   1.10E-007, 
 17.60,   5.74E-007, 
 17.70,   1.31E-006, 
 17.80,   1.66E-006, 
 17.90,   1.83E-006, 
 18.00,   1.80E-006, 
 18.10,   1.80E-006, 
 18.20,   1.53E-006, 
 18.30,   6.53E-007, 
 18.40,   3.09E-008, 
 18.50,   8.52E-009, 
 18.60,   4.62E-009, 
 18.70,   4.11E-009, 
 18.80,   4.64E-009, 
 18.90,   5.57E-009, 
 19.00,   5.82E-009, 
 19.10,   6.31E-009, 
 19.20,   6.06E-009, 
 19.30,   5.17E-009, 
 19.40,   3.04E-009, 
 19.50,   1.83E-009, 
 19.60,   1.33E-009, 
 19.70,   1.62E-009, 
 19.80,   2.30E-009, 
 19.90,   3.00E-009, 
 20.00,   3.31E-009, 
 20.10,   3.67E-009, 
 20.20,   3.59E-009, 
 20.30,   3.05E-009, 
 20.40,   1.87E-009, 
 20.50,   1.11E-009, 
 20.60,   5.51E-010, 
 20.70,   2.66E-010, 
 20.80,   1.16E-010, 
 20.90,   3.66E-011, 
 21.00,   6.65E-011, 
 21.10,   1.23E-010, 
 21.20,   1.15E-010, 
 21.30,   1.17E-010, 
 21.40,   5.03E-011, 
 21.50,   6.09E-011, 
 21.60,   1.10E-010, 
 21.70,   3.89E-010, 
 21.80,   1.02E-009, 
 21.90,   1.38E-009, 
 22.00,   1.51E-009, 
 22.10,   1.62E-009, 
 22.20,   1.52E-009, 
 22.30,   1.21E-009, 
 22.40,   5.89E-010, 
 22.50,   3.26E-010, 
 22.60,   2.72E-010, 
 22.70,   1.57E-010, 
 22.80,   1.42E-010, 
 22.90,   8.14E-011, 
 23.00,   1.74E-011, 
 23.10,   5.90E-011, 
 23.20,   2.11E-011, 
 23.30,   5.65E-011, 
 23.40,   6.02E-011, 
 23.50,   6.65E-011, 
 23.60,   8.63E-011, 
 23.70,   1.12E-010, 
 23.80,   2.68E-010, 
 23.90,   4.14E-010, 
 24.00,   4.58E-010, 
 24.10,   5.52E-010, 
 24.20,   6.20E-010, 
 24.30,   5.27E-010, 
 24.40,   3.19E-010, 
 24.50,   2.02E-010, 
 24.60,   2.01E-010, 
 24.70,   3.25E-010, 
 24.80,   8.84E-010, 
 24.90,   1.44E-009, 
 25.00,   1.66E-009, 
 25.10,   1.85E-009, 
 25.20,   1.86E-009, 
 25.30,   1.66E-009, 
 25.40,   1.09E-009, 
 25.50,   8.49E-010, 
 25.60,   5.85E-010, 
 25.70,   1.33E-009, 
 25.80,   3.29E-009, 
 25.90,   6.04E-009, 
 26.00,   7.46E-009, 
 26.10,   8.18E-009, 
 26.20,   7.99E-009, 
 26.30,   6.65E-009, 
 26.40,   3.84E-009, 
 26.50,   2.34E-009, 
 26.60,   1.80E-009, 
 26.70,   2.37E-009, 
 26.80,   5.49E-009, 
 26.90,   1.08E-008, 
 27.00,   1.44E-008, 
 27.10,   1.62E-008, 
 27.20,   1.55E-008, 
 27.30,   1.26E-008, 
 27.40,   7.41E-009, 
 27.50,   6.75E-009, 
 27.60,   1.18E-008, 
 27.70,   4.58E-008, 
 27.80,   1.74E-007, 
 27.90,   2.26E-007, 
 28.00,   2.37E-007, 
 28.10,   2.09E-007, 
 28.20,   1.94E-007, 
 28.30,   7.54E-008, 
 28.40,   1.27E-008, 
 28.50,   5.67E-009, 
 28.60,   3.83E-009, 
 28.70,   4.11E-009, 
 28.80,   9.36E-009, 
 28.90,   2.08E-008, 
 29.00,   2.65E-008, 
 29.10,   2.79E-008, 
 29.20,   2.57E-008, 
 29.30,   1.74E-008, 
 29.40,   6.88E-009, 
 29.50,   3.62E-009, 
 29.60,   2.29E-009, 
 29.70,   1.96E-009, 
 29.80,   3.28E-009, 
 29.90,   6.11E-009, 
 30.00,   8.10E-009, 
 30.10,   9.06E-009, 
 30.20,   8.93E-009, 
 30.30,   7.08E-009, 
 30.40,   3.78E-009, 
 30.50,   2.10E-009, 
 30.60,   1.31E-009, 
 30.70,   9.92E-010, 
 30.80,   1.27E-009, 
 30.90,   2.33E-009, 
 31.00,   3.30E-009, 
 31.10,   4.03E-009, 
 31.20,   4.19E-009, 
 31.30,   3.63E-009, 
 31.40,   2.26E-009, 
 31.50,   1.52E-009, 
 31.60,   1.40E-009, 
 31.70,   2.04E-009, 
 31.80,   5.97E-009, 
 31.90,   1.45E-008, 
 32.00,   2.11E-008, 
 32.10,   2.27E-008, 
 32.20,   2.16E-008, 
 32.30,   1.27E-008, 
 32.40,   5.46E-009, 
 32.50,   2.87E-009, 
 32.60,   1.59E-009, 
 32.70,   1.02E-009, 
 32.80,   5.62E-010, 
 32.90,   3.16E-010, 
 33.00,   3.17E-010, 
 33.10,   3.48E-010, 
 33.20,   3.72E-010, 
 33.30,   2.70E-010, 
 33.40,   1.61E-010, 
 33.50,   1.59E-010, 
 33.60,   1.22E-010, 
 33.70,   1.29E-010, 
 33.80,   1.71E-010, 
 33.90,   2.22E-010, 
 34.00,   3.16E-010, 
 34.10,   3.32E-010, 
 34.20,   3.20E-010, 
 34.30,   2.27E-010, 
 34.40,   9.50E-011, 
 34.50,   7.39E-011, 
 34.60,   7.89E-011, 
 34.70,   3.66E-011, 
 34.80,   8.14E-011, 
 34.90,   3.73E-011, 
 35.00,   7.45E-011, 
 35.10,   7.64E-011, 
 35.20,   7.02E-011, 
 35.30,   1.80E-011, 
 35.40,   6.77E-011, 
 35.50,   5.47E-011, 
 35.60,   5.28E-011, 
 35.70,   4.41E-011, 
 35.80,   9.88E-011, 
 35.90,   3.04E-010, 
 36.00,   5.06E-010, 
 36.10,   5.89E-010, 
 36.20,   6.17E-010, 
 36.30,   5.11E-010, 
 36.40,   3.51E-010, 
 36.50,   2.22E-010, 
 36.60,   1.79E-010, 
 36.70,   1.26E-010, 
 36.80,   2.14E-010, 
 36.90,   4.34E-010, 
 37.00,   6.52E-010, 
 37.10,   9.97E-010, 
 37.20,   9.28E-010, 
 37.30,   8.14E-010, 
 37.40,   3.68E-010, 
 37.50,   2.65E-010, 
 37.60,   1.91E-010, 
 37.70,   1.52E-010, 
 37.80,   1.29E-010, 
 37.90,   4.65E-010, 
 38.00,   1.12E-009, 
 38.10,   1.42E-009, 
 38.20,   1.58E-009, 
 38.30,   1.40E-009, 
 38.40,   9.08E-010, 
 38.50,   4.39E-010, 
 38.60,   3.22E-010, 
 38.70,   3.95E-010, 
 38.80,   6.86E-010, 
 38.90,   2.05E-009, 
