Jan 19, 2018  02:59:32 PM
Residual Gas Analyzer Software 
Software Version, 3.101.209

Analog Scan Setup:

Data Points in Scan, 641 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 65, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.61E-004 
Filament Current, 1.00, mAmps


  1.00,   1.96E-008, 
  1.10,   2.08E-008, 
  1.20,   1.85E-007, 
  1.30,   4.43E-007, 
  1.40,   2.48E-007, 
  1.50,   3.63E-007, 
  1.60,   4.38E-007, 
  1.70,   4.53E-007, 
  1.80,   4.65E-007, 
  1.90,   4.22E-007, 
  2.00,   4.04E-007, 
  2.10,   3.53E-007, 
  2.20,   3.25E-007, 
  2.30,   2.36E-007, 
  2.40,   1.13E-007, 
  2.50,   2.03E-008, 
  2.60,   9.29E-009, 
  2.70,   6.77E-009, 
  2.80,   5.73E-009, 
  2.90,   5.02E-009, 
  3.00,   4.59E-009, 
  3.10,   4.19E-009, 
  3.20,   3.79E-009, 
  3.30,   3.51E-009, 
  3.40,   3.24E-009, 
  3.50,   2.96E-009, 
  3.60,   2.77E-009, 
  3.70,   2.61E-009, 
  3.80,   2.43E-009, 
  3.90,   2.26E-009, 
  4.00,   2.11E-009, 
  4.10,   1.97E-009, 
  4.20,   1.86E-009, 
  4.30,   1.75E-009, 
  4.40,   1.63E-009, 
  4.50,   1.50E-009, 
  4.60,   1.45E-009, 
  4.70,   1.36E-009, 
  4.80,   1.32E-009, 
  4.90,   1.26E-009, 
  5.00,   1.19E-009, 
  5.10,   1.16E-009, 
  5.20,   1.11E-009, 
  5.30,   1.06E-009, 
  5.40,   1.03E-009, 
  5.50,   9.59E-010, 
  5.60,   8.57E-010, 
  5.70,   9.22E-010, 
  5.80,   9.06E-010, 
  5.90,   8.77E-010, 
  6.00,   8.29E-010, 
  6.10,   7.51E-010, 
  6.20,   8.01E-010, 
  6.30,   6.63E-010, 
  6.40,   4.96E-010, 
  6.50,   5.20E-010, 
  6.60,   5.17E-010, 
  6.70,   5.43E-010, 
  6.80,   5.58E-010, 
  6.90,   5.69E-010, 
  7.00,   5.56E-010, 
  7.10,   5.29E-010, 
  7.20,   4.63E-010, 
  7.30,   5.12E-010, 
  7.40,   5.06E-010, 
  7.50,   5.04E-010, 
  7.60,   5.15E-010, 
  7.70,   5.28E-010, 
  7.80,   5.50E-010, 
  7.90,   5.40E-010, 
  8.00,   5.43E-010, 
  8.10,   5.05E-010, 
  8.20,   3.84E-010, 
  8.30,   3.75E-010, 
  8.40,   4.24E-010, 
  8.50,   5.12E-010, 
  8.60,   4.42E-010, 
  8.70,   4.27E-010, 
  8.80,   3.73E-010, 
  8.90,   3.25E-010, 
  9.00,   3.19E-010, 
  9.10,   2.46E-010, 
  9.20,   2.48E-010, 
  9.30,   3.05E-010, 
  9.40,   3.46E-010, 
  9.50,   3.83E-010, 
  9.60,   3.23E-010, 
  9.70,   3.47E-010, 
  9.80,   2.98E-010, 
  9.90,   3.13E-010, 
 10.00,   3.66E-010, 
 10.10,   3.59E-010, 
 10.20,   3.84E-010, 
 10.30,   3.45E-010, 
 10.40,   3.01E-010, 
 10.50,   2.99E-010, 
 10.60,   3.42E-010, 
 10.70,   3.47E-010, 
 10.80,   2.76E-010, 
 10.90,   2.86E-010, 
 11.00,   2.81E-010, 
 11.10,   2.86E-010, 
 11.20,   3.31E-010, 
 11.30,   4.48E-010, 
 11.40,   8.67E-010, 
 11.50,   1.53E-009, 
 11.60,   3.85E-009, 
 11.70,   7.81E-009, 
 11.80,   1.18E-008, 
 11.90,   1.57E-008, 
 12.00,   1.74E-008, 
 12.10,   1.81E-008, 
 12.20,   1.61E-008, 
 12.30,   1.21E-008, 
 12.40,   6.12E-009, 
 12.50,   3.48E-009, 
 12.60,   2.48E-009, 
 12.70,   2.53E-009, 
 12.80,   2.75E-009, 
 12.90,   3.09E-009, 
 13.00,   3.29E-009, 
 13.10,   3.45E-009, 
 13.20,   3.38E-009, 
 13.30,   3.08E-009, 
 13.40,   2.24E-009, 
 13.50,   1.95E-009, 
 13.60,   3.06E-009, 
 13.70,   6.28E-009, 
 13.80,   9.49E-009, 
 13.90,   1.27E-008, 
 14.00,   1.44E-008, 
 14.10,   1.54E-008, 
 14.20,   1.40E-008, 
 14.30,   1.12E-008, 
 14.40,   6.22E-009, 
 14.50,   3.80E-009, 
 14.60,   3.66E-009, 
 14.70,   5.95E-009, 
 14.80,   8.64E-009, 
 14.90,   1.15E-008, 
 15.00,   1.31E-008, 
 15.10,   1.43E-008, 
 15.20,   1.35E-008, 
 15.30,   1.16E-008, 
 15.40,   7.29E-009, 
 15.50,   6.27E-009, 
 15.60,   1.42E-008, 
 15.70,   4.03E-008, 
 15.80,   5.92E-008, 
 15.90,   6.95E-008, 
 16.00,   7.00E-008, 
 16.10,   7.26E-008, 
 16.20,   6.23E-008, 
 16.30,   4.25E-008, 
 16.40,   1.90E-008, 
 16.50,   2.73E-008, 
 16.60,   1.43E-007, 
 16.70,   3.46E-007, 
 16.80,   4.28E-007, 
 16.90,   4.85E-007, 
 17.00,   4.75E-007, 
 17.10,   4.84E-007, 
 17.20,   4.07E-007, 
 17.30,   2.20E-007, 
 17.40,   5.20E-008, 
 17.50,   1.08E-007, 
 17.60,   5.49E-007, 
 17.70,   1.37E-006, 
 17.80,   1.75E-006, 
 17.90,   2.00E-006, 
 18.00,   1.91E-006, 
 18.10,   1.99E-006, 
 18.20,   1.66E-006, 
 18.30,   8.29E-007, 
 18.40,   4.05E-008, 
 18.50,   9.62E-009, 
 18.60,   4.99E-009, 
 18.70,   4.35E-009, 
 18.80,   5.02E-009, 
 18.90,   6.10E-009, 
 19.00,   6.51E-009, 
 19.10,   6.93E-009, 
 19.20,   6.70E-009, 
 19.30,   5.89E-009, 
 19.40,   3.48E-009, 
 19.50,   1.98E-009, 
 19.60,   1.36E-009, 
 19.70,   1.59E-009, 
 19.80,   2.32E-009, 
 19.90,   3.14E-009, 
 20.00,   3.61E-009, 
 20.10,   3.99E-009, 
 20.20,   3.86E-009, 
 20.30,   3.45E-009, 
 20.40,   2.17E-009, 
 20.50,   1.16E-009, 
 20.60,   5.54E-010, 
 20.70,   2.52E-010, 
 20.80,   1.09E-010, 
 20.90,   1.22E-010, 
 21.00,   1.11E-010, 
 21.10,   9.13E-011, 
 21.20,   1.37E-011, 
 21.30,   1.93E-011, 
 21.40,   4.84E-011, 
 21.50,   2.55E-011, 
 21.60,   9.69E-011, 
 21.70,   3.12E-010, 
 21.80,   9.15E-010, 
 21.90,   1.28E-009, 
 22.00,   1.38E-009, 
 22.10,   1.49E-009, 
 22.20,   1.56E-009, 
 22.30,   1.37E-009, 
 22.40,   8.07E-010, 
 22.50,   2.32E-010, 
 22.60,   1.34E-010, 
 22.70,   9.57E-011, 
 22.80,   3.60E-011, 
 22.90,  -4.10E-011, 
 23.00,  -6.77E-011, 
 23.10,  -1.00E-010, 
 23.20,  -1.09E-010, 
 23.30,  -1.02E-010, 
 23.40,  -8.63E-011, 
 23.50,  -1.12E-010, 
 23.60,  -1.25E-010, 
 23.70,  -3.85E-011, 
 23.80,   2.14E-010, 
 23.90,   4.27E-010, 
 24.00,   4.94E-010, 
 24.10,   6.25E-010, 
 24.20,   7.84E-010, 
 24.30,   4.11E-010, 
 24.40,   2.02E-010, 
 24.50,   1.40E-010, 
 24.60,   1.73E-010, 
 24.70,   3.12E-010, 
 24.80,   8.49E-010, 
 24.90,   1.42E-009, 
 25.00,   1.66E-009, 
 25.10,   1.90E-009, 
 25.20,   1.86E-009, 
 25.30,   1.63E-009, 
 25.40,   1.03E-009, 
 25.50,   4.57E-010, 
 25.60,   4.94E-010, 
 25.70,   1.27E-009, 
 25.80,   3.29E-009, 
 25.90,   6.16E-009, 
 26.00,   7.86E-009, 
 26.10,   8.89E-009, 
 26.20,   8.74E-009, 
 26.30,   7.53E-009, 
 26.40,   4.38E-009, 
 26.50,   2.59E-009, 
 26.60,   1.97E-009, 
 26.70,   2.44E-009, 
 26.80,   5.32E-009, 
 26.90,   1.11E-008, 
 27.00,   1.53E-008, 
 27.10,   1.75E-008, 
 27.20,   1.68E-008, 
 27.30,   1.43E-008, 
 27.40,   8.10E-009, 
 27.50,   6.91E-009, 
 27.60,   1.19E-008, 
 27.70,   4.26E-008, 
 27.80,   1.72E-007, 
 27.90,   2.44E-007, 
 28.00,   2.48E-007, 
 28.10,   2.31E-007, 
 28.20,   2.11E-007, 
 28.30,   9.82E-008, 
 28.40,   1.53E-008, 
 28.50,   6.17E-009, 
 28.60,   4.04E-009, 
 28.70,   4.27E-009, 
 28.80,   9.09E-009, 
 28.90,   2.16E-008, 
 29.00,   2.82E-008, 
 29.10,   3.06E-008, 
 29.20,   2.81E-008, 
 29.30,   2.06E-008, 
 29.40,   7.95E-009, 
 29.50,   3.93E-009, 
 29.60,   2.43E-009, 
 29.70,   1.99E-009, 
 29.80,   3.20E-009, 
 29.90,   6.27E-009, 
 30.00,   8.43E-009, 
 30.10,   9.88E-009, 
 30.20,   9.63E-009, 
 30.30,   8.00E-009, 
 30.40,   4.34E-009, 
 30.50,   2.35E-009, 
 30.60,   1.46E-009, 
 30.70,   1.08E-009, 
 30.80,   1.26E-009, 
 30.90,   2.27E-009, 
 31.00,   3.29E-009, 
 31.10,   4.17E-009, 
 31.20,   4.41E-009, 
 31.30,   4.00E-009, 
 31.40,   2.53E-009, 
 31.50,   1.66E-009, 
 31.60,   1.44E-009, 
 31.70,   2.00E-009, 
 31.80,   5.66E-009, 
 31.90,   1.49E-008, 
 32.00,   2.21E-008, 
 32.10,   2.43E-008, 
 32.20,   2.27E-008, 
 32.30,   1.47E-008, 
 32.40,   6.00E-009, 
 32.50,   3.07E-009, 
 32.60,   1.74E-009, 
 32.70,   9.87E-010, 
 32.80,   4.23E-010, 
 32.90,   3.39E-010, 
 33.00,   2.54E-010, 
 33.10,   2.46E-010, 
 33.20,   2.15E-010, 
 33.30,   2.10E-010, 
 33.40,   1.17E-010, 
 33.50,   9.32E-012, 
 33.60,   3.54E-011, 
 33.70,   9.94E-012, 
 33.80,   2.17E-011, 
 33.90,   9.44E-011, 
 34.00,   2.07E-010, 
 34.10,   1.98E-010, 
 34.20,   1.63E-010, 
 34.30,   9.57E-011, 
 34.40,   9.32E-012, 
 34.50,  -6.21E-013, 
 34.60,  -4.29E-011, 
 34.70,  -1.03E-010, 
 34.80,  -5.78E-011, 
 34.90,  -4.78E-011, 
 35.00,   2.17E-011, 
 35.10,   7.08E-011, 
 35.20,   3.73E-011, 
 35.30,  -1.06E-011, 
 35.40,   4.35E-012, 
 35.50,   2.24E-011, 
 35.60,   4.78E-011, 
 35.70,   7.83E-011, 
 35.80,   1.38E-010, 
 35.90,   3.29E-010, 
 36.00,   4.34E-010, 
 36.10,   5.70E-010, 
 36.20,   6.07E-010, 
 36.30,   5.36E-010, 
 36.40,   2.71E-010, 
 36.50,   1.34E-010, 
 36.60,   7.70E-011, 
 36.70,   6.77E-011, 
 36.80,   1.37E-010, 
 36.90,   3.23E-010, 
 37.00,   5.33E-010, 
 37.10,   8.81E-010, 
 37.20,   1.01E-009, 
 37.30,   9.20E-010, 
 37.40,   3.76E-010, 
 37.50,   2.56E-010, 
 37.60,   1.43E-010, 
 37.70,   6.89E-011, 
 37.80,   1.45E-010, 
 37.90,   5.09E-010, 
 38.00,   1.12E-009, 
 38.10,   1.41E-009, 
 38.20,   1.60E-009, 
 38.30,   1.46E-009, 
 38.40,   9.63E-010, 
 38.50,   3.96E-010, 
 38.60,   2.71E-010, 
 38.70,   2.74E-010, 
 38.80,   5.18E-010, 
